"PERMISSION","STATUS","INFO","DESCRIPTION","CODE MAPPINGS"
"android.permission.ACCESS_COARSE_LOCATION","dangerous","coarse (network-based) location","Access coarse location sources, such as the mobile network database, to determine an approximate phone location, where available. Malicious applications can use this to determine approximately where you are.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                com/learnium/RNDeviceInfo/RNDeviceModule.java                                                                                                                                                                                                    com/reactnativecommunity/geolocation/GeolocationModule.java                                                                                                                                                                                                    defpackage/ba6.java                                                                                                                                                                                                    defpackage/ik3.java"
"android.permission.ACCESS_FINE_LOCATION","dangerous","fine (GPS) location","Access fine location sources, such as the Global Positioning System on the phone, where available. Malicious applications can use this to determine where you are and may consume additional battery power.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    com/learnium/RNDeviceInfo/RNDeviceModule.java                                                                                                                                                                                                    com/reactnativecommunity/geolocation/GeolocationModule.java                                                                                                                                                                                                    defpackage/ba6.java                                                                                                                                                                                                    defpackage/ik3.java"
"android.permission.ACCESS_NETWORK_STATE","normal","view network status","Allows an application to view the status of all networks.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            com/RNFetchBlob/RNFetchBlobReq.java                                                                                                                                                                                                    com/adobe/marketing/mobile/lifecycle/LifecycleExtension.java                                                                                                                                                                                                    com/brightcove/player/analytics/DefaultAnalyticsHandler.java                                                                                                                                                                                                    com/brightcove/player/network/ConnectivityMonitor.java                                                                                                                                                                                                    com/brightcove/player/network/DownloadManager.java                                                                                                                                                                                                    com/gm/energyassistant/datamodels/BaseGeminiJavaScriptInterface.java                                                                                                                                                                                                    com/here/sdk/core/engine/AndroidConnectivityStatusNotifier.java                                                                                                                                                                                                    com/here/sdk/mapview/NetworkChangeCallback.java                                                                                                                                                                                                    com/here/sdk/mapview/NetworkChangesObserver.java                                                                                                                                                                                                    com/launchdarkly/sdk/android/a.java                                                                                                                                                                                                    com/learnium/RNDeviceInfo/RNDeviceModule.java                                                                                                                                                                                                    com/microsoft/identity/common/adal/internal/net/DefaultConnectionService.java                                                                                                                                                                                                    defpackage/a14.java                                                                                                                                                                                                    defpackage/ca1.java                                                                                                                                                                                                    defpackage/d28.java                                                                                                                                                                                                    defpackage/e67.java                                                                                                                                                                                                    defpackage/he.java                                                                                                                                                                                                    defpackage/if7.java                                                                                                                                                                                                    defpackage/ih0.java                                                                                                                                                                                                    defpackage/ih7.java                                                                                                                                                                                                    defpackage/jq8.java                                                                                                                                                                                                    defpackage/ld.java                                                                                                                                                                                                    defpackage/m22.java                                                                                                                                                                                                    defpackage/ow6.java                                                                                                                                                                                                    defpackage/ru0.java                                                                                                                                                                                                    defpackage/sg3.java                                                                                                                                                                                                    defpackage/xt5.java                                                                                                                                                                                                    defpackage/yn0.java"
"android.permission.ACCESS_WIFI_STATE","normal","view Wi-Fi status","Allows an application to view the information about the status of Wi-Fi.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        com/here/sdk/core/engine/AndroidConnectivityStatusNotifier.java                                                                                                                                                                                                    com/here/sdk/mapview/NetworkChangesObserver.java                                                                                                                                                                                                    com/learnium/RNDeviceInfo/RNDeviceModule.java                                                                                                                                                                                                    defpackage/ru0.java"
"android.permission.BLUETOOTH","normal","create Bluetooth connections","Allows applications to connect to paired bluetooth devices.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            com/RNFetchBlob/RNFetchBlobReq.java                                                                                                                                                                                                    com/brightcove/player/network/ConnectivityMonitor.java                                                                                                                                                                                                    com/gm/energyassistant/datamodels/GeminiProjectionSlaveJavaScriptInterface.java                                                                                                                                                                                                    com/gm/gemini/MainActivity.java                                                                                                                                                                                                    com/gm/gemini/core/BluetoothBroadcastReceiver.java                                                                                                                                                                                                    com/gm/gemini/tardis/HybridCommunicator.java                                                                                                                                                                                                    com/gm/gemini/tardis/batmobile/BatmobileCommunicator.java                                                                                                                                                                                                    com/gm/gemini/tardis/ctek/k.java                                                                                                                                                                                                    com/gm/gemini/tardis/ctek/l.java                                                                                                                                                                                                    com/gm/tardis/core/trailer/a.java                                                                                                                                                                                                    com/gm/tardis/core/trailer/b.java                                                                                                                                                                                                    com/gm/vipkit/ProtocolManger.java                                                                                                                                                                                                    com/here/sdk/core/engine/AndroidConnectivityStatusNotifier.java                                                                                                                                                                                                    com/launchdarkly/sdk/android/a.java                                                                                                                                                                                                    com/learnium/RNDeviceInfo/RNDeviceModule.java                                                                                                                                                                                                    defpackage/bj4.java                                                                                                                                                                                                    defpackage/ca1.java                                                                                                                                                                                                    defpackage/ch8.java                                                                                                                                                                                                    defpackage/d28.java                                                                                                                                                                                                    defpackage/e67.java                                                                                                                                                                                                    defpackage/eb8.java                                                                                                                                                                                                    defpackage/eq.java                                                                                                                                                                                                    defpackage/et.java                                                                                                                                                                                                    defpackage/fq3.java                                                                                                                                                                                                    defpackage/he.java                                                                                                                                                                                                    defpackage/hv8.java                                                                                                                                                                                                    defpackage/i80.java                                                                                                                                                                                                    defpackage/if7.java                                                                                                                                                                                                    defpackage/ih0.java                                                                                                                                                                                                    defpackage/jq8.java                                                                                                                                                                                                    defpackage/jt8.java                                                                                                                                                                                                    defpackage/kg2.java                                                                                                                                                                                                    defpackage/l70.java                                                                                                                                                                                                    defpackage/ld.java                                                                                                                                                                                                    defpackage/m22.java                                                                                                                                                                                                    defpackage/mm7.java                                                                                                                                                                                                    defpackage/my1.java                                                                                                                                                                                                    defpackage/n01.java                                                                                                                                                                                                    defpackage/ow6.java                                                                                                                                                                                                    defpackage/pc8.java                                                                                                                                                                                                    defpackage/pi8.java                                                                                                                                                                                                    defpackage/pt8.java                                                                                                                                                                                                    defpackage/qn0.java                                                                                                                                                                                                    defpackage/rc8.java                                                                                                                                                                                                    defpackage/ru0.java                                                                                                                                                                                                    defpackage/sa0.java                                                                                                                                                                                                    defpackage/si8.java                                                                                                                                                                                                    defpackage/sq8.java                                                                                                                                                                                                    defpackage/t80.java                                                                                                                                                                                                    defpackage/u80.java                                                                                                                                                                                                    defpackage/v30.java                                                                                                                                                                                                    defpackage/vg0.java                                                                                                                                                                                                    defpackage/vi5.java                                                                                                                                                                                                    defpackage/vn0.java                                                                                                                                                                                                    defpackage/xi4.java                                                                                                                                                                                                    defpackage/xt5.java                                                                                                                                                                                                    defpackage/zu3.java"
"android.permission.BLUETOOTH_ADMIN","normal","bluetooth administration","Allows applications to discover and pair bluetooth devices.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    com/gm/energyassistant/datamodels/GeminiProjectionSlaveJavaScriptInterface.java                                                                                                                                                                                                    com/gm/gemini/tardis/HybridCommunicator.java                                                                                                                                                                                                    com/gm/gemini/tardis/ctek/k.java                                                                                                                                                                                                    defpackage/eb8.java                                                                                                                                                                                                    defpackage/pc8.java                                                                                                                                                                                                    defpackage/pi8.java                                                                                                                                                                                                    defpackage/pt8.java                                                                                                                                                                                                    defpackage/sa0.java                                                                                                                                                                                                    defpackage/si8.java                                                                                                                                                                                                    defpackage/u80.java                                                                                                                                                                                                    defpackage/zu3.java"
"android.permission.BLUETOOTH_CONNECT","dangerous","necessary for connecting to paired Bluetooth devices.","Required to be able to connect to paired Bluetooth devices.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        defpackage/pc8.java                                                                                                                                                                                                    defpackage/pt8.java                                                                                                                                                                                                    defpackage/sa0.java"
"android.permission.BLUETOOTH_SCAN","dangerous","required for discovering and pairing Bluetooth devices.","Required to be able to discover and pair nearby Bluetooth devices.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        defpackage/eb8.java                                                                                                                                                                                                    defpackage/si8.java"
"android.permission.CALL_PHONE","dangerous","directly call phone numbers","Allows the application to call phone numbers without your intervention. Malicious applications may cause unexpected calls on your phone bill. Note that this does not allow the application to call emergency numbers.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                com/gm/energyassistant/datamodels/GeminiAppJavaScriptInterface.java                                                                                                                                                                                                    com/gm/energyassistant/datamodels/GeminiMobileSlaveJavaScriptInterface.java                                                                                                                                                                                                    com/gm/gemini/a.java                                                                                                                                                                                                    com/gm/gemini/tardis/HybridCommunicator.java                                                                                                                                                                                                    com/gm/plugin/ble/ui/fullscreen/infoblock/a.java                                                                                                                                                                                                    com/gm/plugin/family_link/ui/fullscreen/EditContactFragment.java                                                                                                                                                                                                    defpackage/cr7.java                                                                                                                                                                                                    defpackage/e02.java                                                                                                                                                                                                    defpackage/hf1.java                                                                                                                                                                                                    defpackage/i06.java                                                                                                                                                                                                    defpackage/n26.java                                                                                                                                                                                                    defpackage/og2.java                                                                                                                                                                                                    defpackage/pi1.java                                                                                                                                                                                                    defpackage/sk7.java                                                                                                                                                                                                    defpackage/tk7.java                                                                                                                                                                                                    defpackage/uk7.java                                                                                                                                                                                                    defpackage/z39.java"
"android.permission.CAMERA","dangerous","take pictures and videos","Allows application to take pictures and videos with the camera. This allows the application to collect images that the camera is seeing at any time.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            defpackage/wf0.java"
