"NO","ISSUE","SEVERITY","STANDARDS","FILES","OPTIONS"
"1","The App logs information. Sensitive information should never be logged.","info","CWE: CWE-532: Insertion of Sensitive Information into Log File                                               OWASP MASVS: MSTG-STORAGE-3","Show Files                                                                                                                                com/adobe/marketing/mobile/AbstractHitsDatabase.java                                                                                                                                      com/adobe/marketing/mobile/AnalyticsDispatcherAnalyticsResponseContent.java                                                                                                                                      com/adobe/marketing/mobile/AnalyticsDispatcherAnalyticsResponseIdentity.java                                                                                                                                      com/adobe/marketing/mobile/AnalyticsExtension.java                                                                                                                                      com/adobe/marketing/mobile/AnalyticsHitsDatabase.java                                                                                                                                      com/adobe/marketing/mobile/AnalyticsListenerAcquisitionResponseContent.java                                                                                                                                      com/adobe/marketing/mobile/AnalyticsListenerAnalyticsRequestContent.java                                                                                                                                      com/adobe/marketing/mobile/AnalyticsListenerAnalyticsRequestIdentity.java                                                                                                                                      com/adobe/marketing/mobile/AnalyticsListenerConfigurationResponseContent.java                                                                                                                                      com/adobe/marketing/mobile/AnalyticsListenerGenericRequestReset.java                                                                                                                                      com/adobe/marketing/mobile/AnalyticsListenerGenericTrackRequestContent.java                                                                                                                                      com/adobe/marketing/mobile/AnalyticsListenerHubBooted.java                                                                                                                                      com/adobe/marketing/mobile/AnalyticsListenerHubSharedState.java                                                                                                                                      com/adobe/marketing/mobile/AnalyticsListenerLifecycleRequestContent.java                                                                                                                                      com/adobe/marketing/mobile/AnalyticsListenerLifecycleResponseContent.java                                                                                                                                      com/adobe/marketing/mobile/AnalyticsListenerRulesEngineResponseContent.java                                                                                                                                      com/adobe/marketing/mobile/AnalyticsState.java                                                                                                                                      com/adobe/marketing/mobile/AndroidCompressedFileService.java                                                                                                                                      com/adobe/marketing/mobile/AndroidDatabase.java                                                                                                                                      com/adobe/marketing/mobile/AndroidEventHistoryDatabase.java                                                                                                                                      com/adobe/marketing/mobile/AndroidLoggingService.java                                                                                                                                      com/adobe/marketing/mobile/AndroidNetworkServiceOverrider.java                                                                                                                                      com/adobe/marketing/mobile/CacheManager.java                                                                                                                                      com/adobe/marketing/mobile/ConfigurationDownloader.java                                                                                                                                      com/adobe/marketing/mobile/ConfigurationExtension.java                                                                                                                                      com/adobe/marketing/mobile/Core.java                                                                                                                                      com/adobe/marketing/mobile/DataMarshaller.java                                                                                                                                      com/adobe/marketing/mobile/DispatcherAnalyticsRequestContentIdentity.java                                                                                                                                      com/adobe/marketing/mobile/DispatcherConfigurationRequestContentIdentity.java                                                                                                                                      com/adobe/marketing/mobile/DispatcherIdentityResponseIdentityIdentity.java                                                                                                                                      com/adobe/marketing/mobile/EventBus.java                                                                                                                                      com/adobe/marketing/mobile/EventHub.java                                                                                                                                      com/adobe/marketing/mobile/HitQueue.java                                                                                                                                      com/adobe/marketing/mobile/IdentityCore.java                                                                                                                                      com/adobe/marketing/mobile/IdentityExtension.java                                                                                                                                      com/adobe/marketing/mobile/IdentityHitSchema.java                                                                                                                                      com/adobe/marketing/mobile/IdentityHitsDatabase.java                                                                                                                                      com/adobe/marketing/mobile/LifecycleCore.java                                                                                                                                      com/adobe/marketing/mobile/LifecycleExtension.java                                                                                                                                      com/adobe/marketing/mobile/LifecycleMetricsBuilder.java                                                                                                                                      com/adobe/marketing/mobile/LifecycleSession.java                                                                                                                                      com/adobe/marketing/mobile/LifecycleV2DataStoreCache.java                                                                                                                                      com/adobe/marketing/mobile/LifecycleV2DispatcherApplicationState.java                                                                                                                                      com/adobe/marketing/mobile/LifecycleV2StateManager.java                                                                                                                                      com/adobe/marketing/mobile/Matcher.java                                                                                                                                      com/adobe/marketing/mobile/MobileCore.java                                                                                                                                      com/adobe/marketing/mobile/MobileIdentities.java                                                                                                                                      com/adobe/marketing/mobile/PersistentProfileData.java                                                                                                                                      com/adobe/marketing/mobile/RuleConditionHistorical.java                                                                                                                                      com/adobe/marketing/mobile/RulesEngine.java                                                                                                                                      com/adobe/marketing/mobile/RulesRemoteDownloader.java                                                                                                                                      com/adobe/marketing/mobile/SignalCore.java                                                                                                                                      com/adobe/marketing/mobile/SignalExtension.java                                                                                                                                      com/adobe/marketing/mobile/StringEncoder.java                                                                                                                                      com/adobe/marketing/mobile/TimerState.java                                                                                                                                      com/adobe/marketing/mobile/ZipBundleHandler.java                                                                                                                                      com/contoworks/kontocloud/uicomponents/widget/PaymentForm.java                                                                                                                                      com/dd/plist/BinaryPropertyListParser.java                                                                                                                                      com/github/anrwatchdog/ANRWatchDog.java                                                                                                                                      com/gto/tsm/agentlibrary/a/C0058.java                                                                                                                                      com/gto/tsm/agentlibrary/c/C0063.java                                                                                                                                      com/gto/tsm/agentlibrary/proxy/Agent.java                                                                                                                                      com/gto/tsm/secureElementLayer/d/C0088.java                                                                                                                                      com/gto/tsm/secureElementLayer/d/C0089.java                                                                                                                                      com/gto/tsm/secureElementLayer/d/Cif.java                                                                                                                                      com/gto/tsm/secureElementLayer/e/C0090.java                                                                                                                                      com/gto/tsm/secureElementLayer/e/C0091.java                                                                                                                                      com/gto/tsm/secureElementLayer/e/iF.java                                                                                                                                      com/gto/tsm/secureElementLayer/omapiwrapper/SEService.java                                                                                                                                      com/huawei/se/SeOperatorHandler.java                                                                                                                                      com/microsoft/appcenter/AbstractAppCenterService.java                                                                                                                                      com/microsoft/appcenter/AppCenter.java                                                                                                                                      com/microsoft/appcenter/Flags.java                                                                                                                                      com/microsoft/appcenter/analytics/Analytics.java                                                                                                                                      com/microsoft/appcenter/analytics/channel/AnalyticsValidator.java                                                                                                                                      com/microsoft/appcenter/channel/DefaultChannel.java                                                                                                                                      com/microsoft/appcenter/crashes/Crashes.java                                                                                                                                      com/microsoft/appcenter/crashes/ingestion/models/AbstractErrorLog.java                                                                                                                                      com/microsoft/appcenter/crashes/ingestion/models/ErrorAttachmentLog.java                                                                                                                                      com/microsoft/appcenter/crashes/ingestion/models/HandledErrorLog.java                                                                                                                                      com/microsoft/appcenter/crashes/ingestion/models/ManagedErrorLog.java                                                                                                                                      com/microsoft/appcenter/crashes/utils/ErrorLogHelper.java                                                                                                                                      com/microsoft/appcenter/http/AbstractAppCallTemplate.java                                                                                                                                      com/microsoft/appcenter/http/DefaultHttpClientCallTask.java                                                                                                                                      com/microsoft/appcenter/ingestion/OneCollectorIngestion.java                                                                                                                                      com/microsoft/appcenter/ingestion/models/AbstractLog.java                                                                                                                                      com/microsoft/appcenter/ingestion/models/one/CommonSchemaDataUtils.java                                                                                                                                      com/microsoft/appcenter/ingestion/models/one/CommonSchemaLog.java                                                                                                                                      com/microsoft/appcenter/ingestion/models/one/PartAUtils.java                                                                                                                                      com/microsoft/appcenter/persistence/DatabasePersistence.java                                                                                                                                      com/microsoft/appcenter/utils/AppCenterLog.java                                                                                                                                      com/microsoft/appcenter/utils/IdHelper.java                                                                                                                                      com/microsoft/appcenter/utils/storage/DatabaseManager.java                                                                                                                                      de/audi/onetouch/cms/LocalizedStringMenuInflater.java                                                                                                                                      de/audi/onetouch/gem/tools/LogsGemFragment.java                                                                                                                                      de/audi/onetouch/navigation/view/BottomSheetBehavior.java                                                                                                                                      dev/chrisbanes/insetter/Insetter.java                                                                                                                                      io/opentelemetry/exporter/logging/SystemOutLogRecordExporter.java                                                                                                                                      org/altbeacon/beacon/BeaconParser.java                                                                                                                                      org/altbeacon/beacon/logging/ApiTrackingLogger.java                                                                                                                                      org/altbeacon/beacon/logging/InfoAndroidLogger.java                                                                                                                                      org/altbeacon/beacon/logging/VerboseAndroidLogger.java                                                                                                                                      org/altbeacon/beacon/logging/WarningAndroidLogger.java                                                                                                                                      org/altbeacon/beacon/service/ScanHelper.java                                                                                                                                      org/altbeacon/beacon/service/ScanState.java                                                                                                                                      org/altbeacon/beacon/utils/EddystoneTelemetryAccessor.java                                                                                                                                      org/eclipse/jetty/server/DebugListener.java                                                                                                                                      org/eclipse/jetty/server/Server.java                                                                                                                                      org/eclipse/jetty/server/ShutdownMonitor.java                                                                                                                                      org/eclipse/jetty/util/TypeUtil.java                                                                                                                                      org/eclipse/jetty/util/Uptime.java                                                                                                                                      org/eclipse/jetty/util/component/ContainerLifeCycle.java                                                                                                                                      org/eclipse/jetty/util/log/AbstractLogger.java                                                                                                                                      org/eclipse/jetty/util/log/JavaUtilLog.java                                                                                                                                      org/eclipse/jetty/util/log/JettyLogHandler.java                                                                                                                                      org/eclipse/jetty/util/log/Log.java                                                                                                                                      org/eclipse/jetty/util/log/LoggerLog.java                                                                                                                                      org/eclipse/jetty/util/log/Slf4jLog.java                                                                                                                                      org/eclipse/jetty/util/log/StacklessLogging.java                                                                                                                                      org/eclipse/jetty/util/log/StdErrLog.java                                                                                                                                      org/eclipse/jetty/util/security/Password.java                                                                                                                                      org/eclipse/jetty/util/security/UnixCrypt.java                                                                                                                                      technology/cariad/cat/license/LicenseManager$generateHtml$2.java                                                                                                                                      technology/cariad/cat/license/LicenseManager.java                                                                                                                                      technology/cariad/cat/license/LicenseScanner.java                                                                                                                                      technology/cariad/cat/logger/LogExceptionsExecutor.java                                                                                                                                      technology/cariad/cat/logger/sink/EncryptedFileLogSink.java                                                                                                                                      technology/cariad/cat/logger/sink/FileLogSink.java                                                                                                                                      technology/cariad/cat/logger/sink/SystemOutLogSink.java                                                                                                                                      technology/cariad/cat/mangocracker/Engine.java                                                                                                                                      technology/cariad/cat/mangocracker/Scene.java                                                                                                                                      technology/cariad/cat/mangocracker/SceneView.java                                                                                                                                      technology/cariad/cat/mangocracker/ViewListener.java                                                                                                                                      technology/cariad/cat/network/tracing/offline/model/Event$Log$$serializer.java                                                                                                                                      technology/cariad/cat/remoteparkassist/deprecated/quartettappkit/fragment/ViewModelFragment.java","Suppress the rule android_logging in de.myaudi.mobile.assistant                         Suppress the rule android_logging in de.myaudi.mobile.assistant only from these files"
"2","Files may contain hardcoded sensitive information like usernames, passwords, keys etc.","warning","CWE: CWE-312: Cleartext Storage of Sensitive Information                        OWASP Top 10: M9: Reverse Engineering                        OWASP MASVS: MSTG-STORAGE-14","Show Files                                                                                                                                cariad/charging/multicharge/common/presentation/login/LoginUiState.java                                                                                                                                      cariad/charging/multicharge/kitten/invoices/presentation/overview/InvoiceItem.java                                                                                                                                      com/microsoft/appcenter/channel/DefaultChannel.java                                                                                                                                      de/audi/onetouch/alertservices/geofence/GeofencingService.java                                                                                                                                      de/audi/onetouch/alertservices/speedalert/SpeedalertService.java                                                                                                                                      de/audi/onetouch/alertservices/speedalertvcf/VCFSpeedAlertService.java                                                                                                                                      de/audi/onetouch/alertservices/speedalertvcf/VCFSpeedAlertServiceKt.java                                                                                                                                      de/audi/onetouch/alertservices/valetalert/ValetAlertService.java                                                                                                                                      de/audi/onetouch/audiasamatchmaker/AAAMService.java                                                                                                                                      de/audi/onetouch/backend/connectors/CoreConnectors.java                                                                                                                                      de/audi/onetouch/bluetooth/BLEService.java                                                                                                                                      de/audi/onetouch/bluetooth/pso/PSOService.java                                                                                                                                      de/audi/onetouch/bookandpark/BookAndParkService.java                                                                                                                                      de/audi/onetouch/charging/VCFChargingService.java                                                                                                                                      de/audi/onetouch/charging/elli/MultiChargingService.java                                                                                                                                      de/audi/onetouch/customermobilityprediction/CustomerMobilityPredictionService.java                                                                                                                                      de/audi/onetouch/dataprivacy/DataPrivacyService.java                                                                                                                                      de/audi/onetouch/etronrouteplanning/MBBConsumptionDataService.java                                                                                                                                      de/audi/onetouch/etronrouteplanning/VCFConsumptionDataService.java                                                                                                                                      de/audi/onetouch/exteriorlight/LUXService.java                                                                                                                                      de/audi/onetouch/exteriorlight/ppe/LUXPPEService.java                                                                                                                                      de/audi/onetouch/fleetservice/FleetService.java                                                                                                                                      de/audi/onetouch/fragment/RetainingField.java                                                                                                                                      de/audi/onetouch/fragment/SystemUIManager.java                                                                                                                                      de/audi/onetouch/functionsondemand/MBBShopService.java                                                                                                                                      de/audi/onetouch/functionsondemand/VCFShopService.java                                                                                                                                      de/audi/onetouch/gamifiedloyalty/GamifiedLoyaltyService.java                                                                                                                                      de/audi/onetouch/gem/push/PushNotificationsTestViewModel.java                                                                                                                                      de/audi/onetouch/mobilekey/MobileKeyService.java                                                                                                                                      de/audi/onetouch/mobilekey/mobiledevicemanagement/MDMService.java                                                                                                                                      de/audi/onetouch/mobilityserviceprovider/DcsService.java                                                                                                                                      de/audi/onetouch/mobilityserviceprovider/DcsVehicleService.java                                                                                                                                      de/audi/onetouch/navigation/ReservableChargingStationsService.java                                                                                                                                      de/audi/onetouch/navigation/carfinder/CarFinderService.java                                                                                                                                      de/audi/onetouch/navigation/carfinder/CarFinderServicePOIManager.java                                                                                                                                      de/audi/onetouch/navigation/destinationmemory/DestinationMemoryService.java                                                                                                                                      de/audi/onetouch/navigation/lastmile/LastMileService.java                                                                                                                                      de/audi/onetouch/navigation/manager/FusedPOIManager.java                                                                                                                                      de/audi/onetouch/navigation/myaudidestinations/MyAudiDestinationServicePOIManager.java                                                                                                                                      de/audi/onetouch/navigation/myaudidestinations/OnlineDestinationService.java                                                                                                                                      de/audi/onetouch/navigation/poimanagement/PoiManagementChargingStationProviderService.java                                                                                                                                      de/audi/onetouch/navigation/poimanager/FavoritePOIManager.java                                                                                                                                      de/audi/onetouch/navigation/poimanager/HereSyncService.java                                                                                                                                      de/audi/onetouch/navigation/poimanager/NavigationPOIManagerKt.java                                                                                                                                      de/audi/onetouch/navigation/poimanager/ReceivedDestinationPOIManager.java                                                                                                                                      de/audi/onetouch/navigation/poimanager/RecentPOIManager.java                                                                                                                                      de/audi/onetouch/navigation/route/active/HereActiveRouteService.java                                                                                                                                      de/audi/onetouch/navigation/route/here/HereNetworkRouter.java                                                                                                                                      de/audi/onetouch/onlinelogbook/OLBProfileService.java                                                                                                                                      de/audi/onetouch/onlinelogbook/OLBService.java                                                                                                                                      de/audi/onetouch/pilotedparking/RPAConfiguration.java                                                                                                                                      de/audi/onetouch/pilotedparking/RPAService.java                                                                                                                                      de/audi/onetouch/pilotedparking/VehicleMeasurements.java                                                                                                                                      de/audi/onetouch/plugandcharge/PNCService.java                                                                                                                                      de/audi/onetouch/plugandchargelegacy/LegacyPNCService.java                                                                                                                                      de/audi/onetouch/profile/icf/ICFConnectionService.java                                                                                                                                      de/audi/onetouch/profile/notifications/newscenter/NewsCenterService.java                                                                                                                                      de/audi/onetouch/profile/services/amazon/AmazonMusicService.java                                                                                                                                      de/audi/onetouch/profile/services/news/NewsFeedService.java                                                                                                                                      de/audi/onetouch/profile/services/twitter/TwitterService.java                                                                                                                                      de/audi/onetouch/profile/worthknowing/helpandcontact/faq/FAQService.java                                                                                                                                      de/audi/onetouch/profile/worthknowing/releasenotes/ReleaseNotesService.java                                                                                                                                      de/audi/onetouch/promotions/Promotion.java                                                                                                                                      de/audi/onetouch/promotions/PromotionsManager.java                                                                                                                                      de/audi/onetouch/push/PushNotificationGroup.java                                                                                                                                      de/audi/onetouch/remoteauxiliaryheating/RAHService.java                                                                                                                                      de/audi/onetouch/remotehonkandflash/RHFService.java                                                                                                                                      de/audi/onetouch/remotelockunlock/RLUService.java                                                                                                                                      de/audi/onetouch/remotepretripclimatisation/MBBClimatisationService.java                                                                                                                                      de/audi/onetouch/remotepretripclimatisation/VCFClimatisationService.java                                                                                                                                      de/audi/onetouch/remotestart/RemoteStartServiceKt.java                                                                                                                                      de/audi/onetouch/remotevehicletracking/RVTService.java                                                                                                                                      de/audi/onetouch/retrofitting/RetrofittingService.java                                                                                                                                      de/audi/onetouch/rhmi/RhmiDataService.java                                                                                                                                      de/audi/onetouch/rhmi/VehicleConnectionService.java                                                                                                                                      de/audi/onetouch/root/UIPresenter.java                                                                                                                                      de/audi/onetouch/rts/RTSService.java                                                                                                                                      de/audi/onetouch/service/FavoriteServicePartnerService.java                                                                                                                                      de/audi/onetouch/service/ServicePlanService.java                                                                                                                                      de/audi/onetouch/service/VehicleServicePartnerService.java                                                                                                                                      de/audi/onetouch/service/appointments/ServiceAppointmentsService.java                                                                                                                                      de/audi/onetouch/service/holoride/HolorideService.java                                                                                                                                      de/audi/onetouch/service/onlineserviceappointment/OnlineServiceAppointmentService.java                                                                                                                                      de/audi/onetouch/service/predictivemaintenance/PredictiveMaintenanceServiceKt.java                                                                                                                                      de/audi/onetouch/service/servicepartner/DealerSearchService.java                                                                                                                                      de/audi/onetouch/setup/assistant/EnrollmentService.java                                                                                                                                      de/audi/onetouch/shortcuts/ShortcutService.java                                                                                                                                      de/audi/onetouch/spin/BiometricSPINKt.java                                                                                                                                      de/audi/onetouch/spin/SPINService.java                                                                                                                                      de/audi/onetouch/theftalarm/DWAService.java                                                                                                                                      de/audi/onetouch/theftalarm/VTSService.java                                                                                                                                      de/audi/onetouch/vehicle/VCFPushService.java                                                                                                                                      de/audi/onetouch/vehicle/VehicleMetaDataService.java                                                                                                                                      de/audi/onetouch/vehicleconfiguration/licensescreen/LicenseScreenService.java                                                                                                                                      de/audi/onetouch/vehicledashboard/DashboardAppNavigation.java                                                                                                                                      de/audi/onetouch/vehiclestatus/vcf/AccessService.java                                                                                                                                      de/audi/onetouch/vehiclestatus/vcf/BodyStatusService.java                                                                                                                                      de/audi/onetouch/vehiclestatus/vcf/FuelStatusService.java                                                                                                                                      de/audi/onetouch/vehiclestatus/vcf/LightsService.java                                                                                                                                      de/audi/onetouch/vehiclestatus/vcf/MeasurementsService.java                                                                                                                                      de/audi/onetouch/vehiclestatus/vcf/OilLevelService.java                                                                                                                                      de/audi/onetouch/vehiclestatus/vcf/VehicleHealthInspectionService.java                                                                                                                                      de/audi/onetouch/vehiclestatus/vcf/VehicleStatusService.java                                                                                                                                      de/audi/onetouch/vehiclestatus/vcf/WakeUpService.java                                                                                                                                      de/audi/onetouch/vehiclestatus/vcf/WakeUpWarningsService.java                                                                                                                                      de/audi/onetouch/vehiclestatus/vcf/WarningsService.java                                                                                                                                      de/audi/onetouch/wegaforms/QueryParameter.java                                                                                                                                      de/quartettmobile/audipartnerservicesearch/Dealer.java                                                                                                                                      de/quartettmobile/digitalchargingsolutions/TokenResponse.java                                                                                                                                      org/altbeacon/beacon/service/MonitoringData.java                                                                                                                                      org/altbeacon/beacon/service/RangingData.java                                                                                                                                      org/altbeacon/beacon/service/SettingsData.java                                                                                                                                      org/altbeacon/beacon/service/StartRMData.java                                                                                                                                      org/eclipse/jetty/client/HttpClientTransport.java                                                                                                                                      org/eclipse/jetty/io/ClientConnectionFactory.java                                                                                                                                      org/eclipse/jetty/io/ManagedSelector.java                                                                                                                                      org/eclipse/jetty/io/ssl/SslClientConnectionFactory.java                                                                                                                                      org/eclipse/jetty/security/authentication/FormAuthenticator.java                                                                                                                                      org/eclipse/jetty/server/handler/ContextHandler.java                                                                                                                                      org/eclipse/jetty/util/component/Dumpable.java                                                                                                                                      org/eclipse/jetty/websocket/server/WebSocketUpgradeFilter.java                                                                                                                                      technology/cariad/cat/audials/Audials.java                                                                                                                                      technology/cariad/cat/audials/requests/discovery/DiscoveryRequestBody.java                                                                                                                                      technology/cariad/cat/audials/requests/session/NewSessionRequestBody.java                                                                                                                                      technology/cariad/cat/bleident/BLEInformation.java                                                                                                                                      technology/cariad/cat/bleident/DDA.java                                                                                                                                      technology/cariad/cat/contacts/Contact.java                                                                                                                                      technology/cariad/cat/destinationmemory/model/RouteOptions.java                                                                                                                                      technology/cariad/cat/destinationmemory/network/model/RouteOptionsDto.java                                                                                                                                      technology/cariad/cat/exteriorlightpluginaudi/internal/viewmodel/MatrixBeamDimSignViewModel.java                                                                                                                                      technology/cariad/cat/exteriorlightpluginaudi/internal/viewmodel/MatrixBeamHideVehicleViewModel.java                                                                                                                                      technology/cariad/cat/genx/crypto/EdDSASigning.java                                                                                                                                      technology/cariad/cat/idk/IdentityKit.java                                                                                                                                      technology/cariad/cat/idk/documentconsent/Document.java                                                                                                                                      technology/cariad/cat/idk/token/JWTToken.java                                                                                                                                      technology/cariad/cat/imagecache/ImageClient.java                                                                                                                                      technology/cariad/cat/keychain/KeychainImplKt.java                                                                                                                                      technology/cariad/cat/mbb/mobiledevicepairing/PairingData.java                                                                                                                                      technology/cariad/cat/mbb/mobilekey/MobileKeyPermission.java                                                                                                                                      technology/cariad/cat/mbb/remotestartkey/RemoteStartKey.java                                                                                                                                      technology/cariad/cat/mbb/twitter/Configuration.java                                                                                                                                      technology/cariad/cat/mbb/twitter/OAuthCredentials.java                                                                                                                                      technology/cariad/cat/reachability/WifiBroadcastReceiver.java                                                                                                                                      technology/cariad/cat/rhmiimagecache/ImageETag.java","Suppress the rule android_hardcoded in de.myaudi.mobile.assistant                         Suppress the rule android_hardcoded in de.myaudi.mobile.assistant only from these files"
"3","SHA-1 is a weak hash known to have hash collisions.","warning","CWE: CWE-327: Use of a Broken or Risky Cryptographic Algorithm                        OWASP Top 10: M5: Insufficient Cryptography                        OWASP MASVS: MSTG-CRYPTO-4","org/eclipse/jetty/websocket/common/AcceptHash.java                                                                                                                            technology/cariad/cat/audials/requests/AudialsRequestKt.java                                                                                                                            technology/cariad/cat/mbb/twitter/TwitterAPIRequest.java","Suppress the rule android_sha1 in de.myaudi.mobile.assistant                         Suppress the rule android_sha1 in de.myaudi.mobile.assistant only from these files"
"4","MD5 is a weak hash known to have hash collisions.","warning","CWE: CWE-327: Use of a Broken or Risky Cryptographic Algorithm                        OWASP Top 10: M5: Insufficient Cryptography                        OWASP MASVS: MSTG-CRYPTO-4","org/eclipse/jetty/security/authentication/DigestAuthenticator.java                                                                                                                            org/eclipse/jetty/util/security/Credential.java","Suppress the rule android_md5 in de.myaudi.mobile.assistant                         Suppress the rule android_md5 in de.myaudi.mobile.assistant only from these files"
"5","App uses SQLite Database and execute raw SQL query. Untrusted user input in raw SQL queries can cause SQL Injection. Also sensitive information should be encrypted and written to the database.","warning","CWE: CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')                        OWASP Top 10: M7: Client Code Quality","Show Files                                                                                                                                com/adobe/marketing/mobile/AndroidDatabase.java                                                                                                                                      com/adobe/marketing/mobile/AndroidEventHistoryDatabase.java                                                                                                                                      com/microsoft/appcenter/persistence/DatabasePersistence.java                                                                                                                                      com/microsoft/appcenter/utils/storage/DatabaseManager.java","Suppress the rule android_sql_raw_query in de.myaudi.mobile.assistant                         Suppress the rule android_sql_raw_query in de.myaudi.mobile.assistant only from these files"
"6","Debug configuration enabled. Production builds must not be debuggable.","high","CWE: CWE-919: Weaknesses in Mobile Applications                        OWASP Top 10: M1: Improper Platform Usage                        OWASP MASVS: MSTG-RESILIENCE-2","com/contoworks/kontocloud/uicomponents/BuildConfig.java","Suppress the rule android_aar_jar_debug_enabled in de.myaudi.mobile.assistant                         Suppress the rule android_aar_jar_debug_enabled in de.myaudi.mobile.assistant only from these files"
"7","IP Address disclosure","warning","CWE: CWE-200: Information Exposure                                               OWASP MASVS: MSTG-CODE-2","Show Files                                                                                                                                org/eclipse/jetty/client/util/SPNEGOAuthentication.java                                                                                                                                      org/eclipse/jetty/io/ByteArrayEndPoint.java                                                                                                                                      org/eclipse/jetty/security/ConfigurableSpnegoLoginService.java                                                                                                                                      org/eclipse/jetty/security/SpnegoLoginService.java                                                                                                                                      org/eclipse/jetty/server/AbstractNetworkConnector.java                                                                                                                                      org/eclipse/jetty/server/Request.java                                                                                                                                      org/eclipse/jetty/server/ShutdownMonitor.java                                                                                                                                      org/eclipse/jetty/server/session/SessionContext.java                                                                                                                                      org/eclipse/jetty/util/StringUtil.java                                                                                                                                      technology/cariad/cat/network/ConnectivityCheckerKt.java                                                                                                                                      technology/cariad/cat/rhmi/discovery/legacy/UDPAdvertiseSender.java","Suppress the rule android_ip_disclosure in de.myaudi.mobile.assistant                         Suppress the rule android_ip_disclosure in de.myaudi.mobile.assistant only from these files"
"8","Insecure WebView Implementation. Execution of user controlled code in WebView is a critical Security Hole.","warning","CWE: CWE-749: Exposed Dangerous Method or Function                        OWASP Top 10: M1: Improper Platform Usage                        OWASP MASVS: MSTG-PLATFORM-7","Show Files                                                                                                                                com/contoworks/kontocloud/uicomponents/widget/PaymentForm.java                                                                                                                                      de/audi/onetouch/profile/services/news/SearchNewsFeedFragment.java                                                                                                                                      de/audi/onetouch/web/WebPageIntegratorFragment.java                                                                                                                                      de/audi/onetouch/wegaforms/WebFormFragment.java","Suppress the rule android_webview in de.myaudi.mobile.assistant                         Suppress the rule android_webview in de.myaudi.mobile.assistant only from these files"
"9","Ensure that user controlled URLs never reaches the Webview. Enabling file access from URLs in WebView can leak sensitive information from the file system.","warning","CWE: CWE-200: Information Exposure                        OWASP Top 10: M1: Improper Platform Usage                        OWASP MASVS: MSTG-PLATFORM-7","com/contoworks/kontocloud/uicomponents/widget/PaymentForm.java","Suppress the rule android_webview_allow_file_from_url in de.myaudi.mobile.assistant                         Suppress the rule android_webview_allow_file_from_url in de.myaudi.mobile.assistant only from these files"
"10","The App uses an insecure Random Number Generator.","warning","CWE: CWE-330: Use of Insufficiently Random Values                        OWASP Top 10: M5: Insufficient Cryptography                        OWASP MASVS: MSTG-CRYPTO-6","Show Files                                                                                                                                com/microsoft/appcenter/http/HttpClientRetryer.java                                                                                                                                      de/audi/onetouch/navigation/lastmile/LastMileService.java                                                                                                                                      io/opentelemetry/sdk/internal/AndroidFriendlyRandomHolder.java                                                                                                                                      io/opentelemetry/sdk/internal/RandomSupplier.java                                                                                                                                      io/opentelemetry/sdk/metrics/internal/exemplar/ExemplarReservoir.java                                                                                                                                      io/opentelemetry/sdk/metrics/internal/exemplar/RandomFixedSizeExemplarReservoir.java                                                                                                                                      io/opentelemetry/sdk/trace/RandomIdGenerator.java                                                                                                                                      org/eclipse/jetty/client/util/DigestAuthentication.java                                                                                                                                      org/eclipse/jetty/server/session/DefaultSessionIdManager.java                                                                                                                                      org/eclipse/jetty/websocket/client/masks/RandomMasker.java","Suppress the rule android_insecure_random in de.myaudi.mobile.assistant                         Suppress the rule android_insecure_random in de.myaudi.mobile.assistant only from these files"
