"PERMISSION","STATUS","INFO","DESCRIPTION","CODE MAPPINGS"
"android.permission.ACCESS_BACKGROUND_LOCATION","dangerous","access location in background","Allows an app to access location in the background.","Show Files                                                                                                                                                                                                                                                                                                                            com/mapbox/common/location/AndroidLiveTrackingClient.java                                                                                                                                                                                                    com/mapbox/common/location/GoogleLiveTrackingClient.java                                                                                                                                                                                                    com/mapbox/common/location/ProxyGoogleFusedLocationProviderClient.java                                                                                                                                                                                                    com/mapbox/common/location/compat/LocationEngineImpl.java                                                                                                                                                                                                    com/mapbox/maps/plugin/locationcomponent/DefaultLocationProvider.java                                                                                                                                                                                                    toyotaone/commonlib/location/LocationContractImp.java                                                                                                                                                                                                    toyotaone/commonlib/location/RealUserLocationProvider.java"
"android.permission.ACCESS_COARSE_LOCATION","dangerous","coarse (network-based) location","Access coarse location sources, such as the mobile network database, to determine an approximate phone location, where available. Malicious applications can use this to determine approximately where you are.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    com/mapbox/common/location/AndroidLiveTrackingClient.java                                                                                                                                                                                                    com/mapbox/common/location/LocationServiceImpl.java                                                                                                                                                                                                    com/mapbox/common/location/compat/LocationEngineImpl.java                                                                                                                                                                                                    oneapp/mapdata/location/LocationState.java                                                                                                                                                                                                    oneapp/utils/providers/UserLocationServiceProvider.java                                                                                                                                                                                                    org/forgerock/android/auth/collector/LocationCollector.java                                                                                                                                                                                                    toyotaone/commonlib/location/RealUserLocationProvider.java"
"android.permission.ACCESS_FINE_LOCATION","dangerous","fine (GPS) location","Access fine location sources, such as the Global Positioning System on the phone, where available. Malicious applications can use this to determine where you are and may consume additional battery power.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        com/mapbox/common/location/AndroidLiveTrackingClient.java                                                                                                                                                                                                    com/mapbox/common/location/LocationServiceImpl.java                                                                                                                                                                                                    com/mapbox/common/location/compat/LocationEngineImpl.java                                                                                                                                                                                                    oneapp/mapdata/location/LocationState.java                                                                                                                                                                                                    oneapp/utils/providers/UserLocationServiceProvider.java                                                                                                                                                                                                    org/forgerock/android/auth/collector/LocationCollector.java                                                                                                                                                                                                    toyotaone/commonlib/location/RealUserLocationProvider.java"
"android.permission.ACCESS_NETWORK_STATE","normal","view network status","Allows an application to view the status of all networks.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        b0/a.java                                                                                                                                                                                                    com/abb/junoappsdk/AppSdkInitializer.java                                                                                                                                                                                                    com/apptentive/android/sdk/util/Util.java                                                                                                                                                                                                    com/bumptech/glide/manager/q.java                                                                                                                                                                                                    com/datadog/android/core/internal/net/info/BroadcastReceiverNetworkInfoProvider.java                                                                                                                                                                                                    com/idemia/deviceagent/OTDeviceAgent.java                                                                                                                                                                                                    com/mapbox/common/Reachability.java                                                                                                                                                                                                    com/mapbox/common/module/okhttp/RestrictedClientsProvider.java                                                                                                                                                                                                    com/mapbox/maps/module/telemetry/PhoneState.java                                                                                                                                                                                                    com/pierfrancescosoffritti/androidyoutubeplayer/core/player/utils/c.java                                                                                                                                                                                                    com/salesforce/marketingcloud/MCService.java                                                                                                                                                                                                    com/salesforce/marketingcloud/sfmcsdk/util/NetworkUtils.java                                                                                                                                                                                                    jc/e.java                                                                                                                                                                                                    jp/co/denso/dklib/DKLib.java                                                                                                                                                                                                    jp/co/denso/dklib/DeactivateKeyCtl.java                                                                                                                                                                                                    jp/co/denso/dklib/DownloadKeyCtl.java                                                                                                                                                                                                    jp/co/denso/dklib/KeyRotationCtl.java                                                                                                                                                                                                    kq/a.java                                                                                                                                                                                                    o1/d.java                                                                                                                                                                                                    ru/a.java                                                                                                                                                                                                    toyotaone/commonlib/networkconnect/NetworkConnectionHelper.java"
"android.permission.ACCESS_WIFI_STATE","normal","view Wi-Fi status","Allows an application to view the information about the status of Wi-Fi.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    com/abb/junoappsdk/AppSdkInitializer.java                                                                                                                                                                                                    com/bumptech/glide/manager/q.java                                                                                                                                                                                                    com/idemia/deviceagent/OTDeviceAgent.java                                                                                                                                                                                                    com/mapbox/common/module/okhttp/RestrictedClientsProvider.java                                                                                                                                                                                                    com/mapbox/maps/module/telemetry/PhoneState.java                                                                                                                                                                                                    jp/co/denso/dklib/DKLib.java                                                                                                                                                                                                    o1/d.java                                                                                                                                                                                                    org/forgerock/android/auth/collector/NetworkCollector.java"
"android.permission.AUTHENTICATE_ACCOUNTS","dangerous","act as an account authenticator","Allows an application to use the account authenticator capabilities of the Account Manager, including creating accounts as well as obtaining and setting their passwords.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    org/forgerock/android/auth/AccountSingleSignOnManager.java"
"android.permission.BLUETOOTH","normal","create Bluetooth connections","Allows applications to connect to paired bluetooth devices.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            com/abb/cdblesdk/connection/device/CDBleBaseDevice.java                                                                                                                                                                                                    com/apptentive/android/sdk/util/Util.java                                                                                                                                                                                                    com/datadog/android/core/internal/net/info/BroadcastReceiverNetworkInfoProvider.java                                                                                                                                                                                                    com/mapbox/common/Reachability.java                                                                                                                                                                                                    com/pierfrancescosoffritti/androidyoutubeplayer/core/player/utils/c.java                                                                                                                                                                                                    com/polidea/rxandroidble/exceptions/BleGattException.java                                                                                                                                                                                                    io/digital_key/internal/TlsBle.java                                                                                                                                                                                                    io/digital_key/internal/g.java                                                                                                                                                                                                    jp/co/denso/dklib/BLEPeripheral.java                                                                                                                                                                                                    jp/co/denso/dklib/DKLib.java                                                                                                                                                                                                    oneapp/utils/bluetooth/BluetoothManagerImpl.java                                                                                                                                                                                                    org/forgerock/android/auth/collector/BluetoothCollector.java                                                                                                                                                                                                    p/e.java                                                                                                                                                                                                    ru/a.java                                                                                                                                                                                                    t/d.java"
"android.permission.BLUETOOTH_ADMIN","normal","bluetooth administration","Allows applications to discover and pair bluetooth devices.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    io/digital_key/internal/TlsBle.java                                                                                                                                                                                                    io/digital_key/internal/g.java                                                                                                                                                                                                    jp/co/denso/dklib/BLEPeripheral.java                                                                                                                                                                                                    jp/co/denso/dklib/DKLib.java                                                                                                                                                                                                    t/d.java"
"android.permission.BLUETOOTH_ADVERTISE","dangerous","required to advertise to nearby Bluetooth devices.","Required to be able to advertise to nearby Bluetooth devices.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        jp/co/denso/dklib/BLEPeripheral.java"
"android.permission.BLUETOOTH_CONNECT","dangerous","necessary for connecting to paired Bluetooth devices.","Required to be able to connect to paired Bluetooth devices.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        io/digital_key/internal/TlsBle.java                                                                                                                                                                                                    io/digital_key/internal/g.java"
