"NO","ISSUE","SEVERITY","STANDARDS","FILES","OPTIONS"
"1","This App uses SSL certificate pinning to detect or  prevent MITM attacks in secure communication channel.","secure","OWASP MASVS: MSTG-NETWORK-4","Show Files                                                                                                                                F5/g.java                                                                                                                                      com/att/iot/retail/sdk/core/network/RetrofitFactory.java                                                                                                                                      com/qualtrics/digital/LatencyReportingService.java                                                                                                                                      com/qualtrics/digital/SiteInterceptService.java                                                                                                                                      org/conscrypt/Conscrypt.java                                                                                                                                      org/conscrypt/DefaultSSLContextImpl.java                                                                                                                                      org/conscrypt/SSLParametersImpl.java                                                                                                                                      org/eclipse/paho/client/mqttv3/internal/security/SSLSocketFactoryFactory.java","Suppress the rule android_ssl_pinning in com.acura.acuralink.connect                         Suppress the rule android_ssl_pinning in com.acura.acuralink.connect only from these files"
"2","The App logs information. Sensitive information should never be logged.","info","CWE: CWE-532: Insertion of Sensitive Information into Log File                                               OWASP MASVS: MSTG-STORAGE-3","Show Files                                                                                                                                Ai/a.java                                                                                                                                      B1/l.java                                                                                                                                      B2/k.java                                                                                                                                      B3/a.java                                                                                                                                      B6/a.java                                                                                                                                      C1/e.java                                                                                                                                      C1/f.java                                                                                                                                      Ci/a.java                                                                                                                                      D/e.java                                                                                                                                      D3/c.java                                                                                                                                      D5/m.java                                                                                                                                      E1/a.java                                                                                                                                      E2/a.java                                                                                                                                      F/z.java                                                                                                                                      G1/f.java                                                                                                                                      G1/i.java                                                                                                                                      G1/l.java                                                                                                                                      G3/f.java                                                                                                                                      H6/m.java                                                                                                                                      I/e.java                                                                                                                                      J1/a.java                                                                                                                                      L/c.java                                                                                                                                      M0/b.java                                                                                                                                      N0/a.java                                                                                                                                      O1/C0722w.java                                                                                                                                      O1/E.java                                                                                                                                      O1/P.java                                                                                                                                      O1/Q.java                                                                                                                                      O2/a.java                                                                                                                                      O5/a.java                                                                                                                                      Qe/a.java                                                                                                                                      S/b.java                                                                                                                                      S1/c.java                                                                                                                                      S2/a.java                                                                                                                                      S2/b.java                                                                                                                                      S2/e.java                                                                                                                                      S2/h.java                                                                                                                                      S4/I0.java                                                                                                                                      T3/d.java                                                                                                                                      U/a.java                                                                                                                                      U3/b.java                                                                                                                                      V2/I.java                                                                                                                                      Ve/c.java                                                                                                                                      W3/h.java                                                                                                                                      X1/c.java                                                                                                                                      Y2/B.java                                                                                                                                      Y2/F.java                                                                                                                                      Y2/p.java                                                                                                                                      Y2/s.java                                                                                                                                      Y2/u.java                                                                                                                                      Y4/b.java                                                                                                                                      Yh/c.java                                                                                                                                      Z/a.java                                                                                                                                      Z0/A0.java                                                                                                                                      Z0/C0841b.java                                                                                                                                      Z0/C0854h0.java                                                                                                                                      Z0/C0855i.java                                                                                                                                      Z0/C0861l.java                                                                                                                                      Z0/C0878y.java                                                                                                                                      Z0/I0.java                                                                                                                                      Z0/L.java                                                                                                                                      Z0/L0.java                                                                                                                                      Z0/O.java                                                                                                                                      Z0/u0.java                                                                                                                                      Z4/c.java                                                                                                                                      a0/AbstractC0882a.java                                                                                                                                      b0/AbstractC1094a.java                                                                                                                                      b0/C1096c.java                                                                                                                                      b3/C1115b.java                                                                                                                                      c1/C1150b.java                                                                                                                                      c3/AbstractC1163g.java                                                                                                                                      c3/o.java                                                                                                                                      c3/p.java                                                                                                                                      c4/i.java                                                                                                                                      com/adjust/sdk/Logger.java                                                                                                                                      com/adjust/sdk/sig/NativeLibHelper.java                                                                                                                                      com/adjust/sdk/sig/Signer.java                                                                                                                                      com/adjust/sdk/sig/d.java                                                                                                                                      com/amazonaws/cognito/clientcontext/data/UserContextDataProvider.java                                                                                                                                      com/amazonaws/cognito/clientcontext/datacollection/ApplicationDataCollector.java                                                                                                                                      com/amazonaws/cognito/clientcontext/util/SignatureGenerator.java                                                                                                                                      com/amazonaws/logging/AndroidLog.java                                                                                                                                      com/amazonaws/logging/ConsoleLog.java                                                                                                                                      com/amazonaws/mobile/auth/core/DefaultSignInResultHandler.java                                                                                                                                      com/amazonaws/mobile/auth/core/IdentityManager.java                                                                                                                                      com/amazonaws/mobile/auth/core/signin/SignInManager.java                                                                                                                                      com/amazonaws/mobile/client/AWSMobileClient.java                                                                                                                                      com/amazonaws/mobile/client/activities/HostedUIRedirectActivity.java                                                                                                                                      com/amazonaws/mobile/client/internal/InternalCallback.java                                                                                                                                      com/amazonaws/mobile/client/internal/oauth2/OAuth2Client.java                                                                                                                                      com/amazonaws/mobileconnectors/cognitoidentityprovider/CognitoUserSession.java                                                                                                                                      com/appdynamics/eumagent/runtime/b.java                                                                                                                                      com/appdynamics/eumagent/runtime/crashes/NativeCrashHandler.java                                                                                                                                      com/appdynamics/eumagent/runtime/logging/ADLog.java                                                                                                                                      com/att/iot/retail/sdk/ui/screens/editpaymentifno/EditPaymentInfoViewModel$onUpdatePayment$1.java                                                                                                                                      com/bumptech/glide/b.java                                                                                                                                      com/bumptech/glide/load/data/b.java                                                                                                                                      com/bumptech/glide/load/data/j.java                                                                                                                                      com/bumptech/glide/load/data/l.java                                                                                                                                      com/bumptech/glide/load/engine/GlideException.java                                                                                                                                      com/bumptech/glide/load/engine/h.java                                                                                                                                      com/bumptech/glide/load/engine/i.java                                                                                                                                      com/bumptech/glide/load/engine/j.java                                                                                                                                      com/bumptech/glide/load/engine/v.java                                                                                                                                      com/bumptech/glide/load/model/ByteBufferEncoder.java                                                                                                                                      com/bumptech/glide/load/model/ByteBufferFileLoader.java                                                                                                                                      com/bumptech/glide/load/model/FileLoader.java                                                                                                                                      com/bumptech/glide/load/model/ResourceLoader.java                                                                                                                                      com/bumptech/glide/load/model/ResourceUriLoader.java                                                                                                                                      com/bumptech/glide/load/model/StreamEncoder.java                                                                                                                                      com/bumptech/glide/load/resource/bitmap/C1222c.java                                                                                                                                      com/bumptech/glide/load/resource/bitmap/C1225f.java                                                                                                                                      com/bumptech/glide/load/resource/bitmap/DefaultImageHeaderParser.java                                                                                                                                      com/bumptech/glide/load/resource/bitmap/G.java                                                                                                                                      com/bumptech/glide/load/resource/bitmap/J.java                                                                                                                                      com/bumptech/glide/load/resource/bitmap/t.java                                                                                                                                      com/bumptech/glide/load/resource/bitmap/u.java                                                                                                                                      com/bumptech/glide/load/resource/bitmap/y.java                                                                                                                                      com/bumptech/glide/request/h.java                                                                                                                                      com/github/mikephil/charting/charts/BarChart.java                                                                                                                                      com/github/mikephil/charting/charts/a.java                                                                                                                                      com/github/mikephil/charting/charts/b.java                                                                                                                                      com/honda/common/module/dashboard/dashboardhelpers/m.java                                                                                                                                      com/honda/common/module/findmycar/view/activity/FindMyCarActivity.java                                                                                                                                      com/honda/common/module/microserver/interceptor/HondaLinkRequestInterceptor.java                                                                                                                                      com/honda/common/module/microserver/interceptor/PreflightResponseInterceptor.java                                                                                                                                      com/honda/common/module/microserver/lastmile/LastMileModule.java                                                                                                                                      com/honda/common/module/microserver/lastmile/LastMileModuleFactory.java                                                                                                                                      com/honda/common/module/microserver/modules/location/a.java                                                                                                                                      com/honda/common/module/microserver/websocket/WebShoulderModuleFactory.java                                                                                                                                      com/honda/common/utils/J.java                                                                                                                                      com/honda/common/utils/P.java                                                                                                                                      com/honda/common/utils/d0.java                                                                                                                                      com/honda/common/utils/logger/ViewLogsActivity.java                                                                                                                                      com/qualtrics/digital/ActionSet.java                                                                                                                                      com/qualtrics/digital/DateExpression.java                                                                                                                                      com/qualtrics/digital/DayExpression.java                                                                                                                                      com/qualtrics/digital/DurationExpression.java                                                                                                                                      com/qualtrics/digital/EmbeddedFeedbackOrchestrator.java                                                                                                                                      com/qualtrics/digital/InterceptDefinition.java                                                                                                                                      com/qualtrics/digital/Properties.java                                                                                                                                      com/qualtrics/digital/Qualtrics.java                                                                                                                                      com/qualtrics/digital/QualtricsLog.java                                                                                                                                      com/qualtrics/digital/QualtricsPopOverFragment.java                                                                                                                                      com/qualtrics/digital/QualtricsSurveyActivity.java                                                                                                                                      com/qualtrics/digital/QualtricsSurveyExpression.java                                                                                                                                      com/qualtrics/digital/ServiceInterceptor.java                                                                                                                                      com/qualtrics/digital/TimeExpression.java                                                                                                                                      com/qualtrics/digital/VariableExpression.java                                                                                                                                      com/qualtrics/digital/ViewCountExpression.java                                                                                                                                      com/qualtrics/digital/WebViewInterface.java                                                                                                                                      com/qualtrics/digital/resolvers/CustomPropertyResolver.java                                                                                                                                      com/qualtrics/digital/resolvers/DateTimeTypeResolvers.java                                                                                                                                      com/qualtrics/digital/resolvers/QualtricsSurveyResolver.java                                                                                                                                      com/qualtrics/digital/resolvers/SamplingResolver.java                                                                                                                                      com/qualtrics/digital/resolvers/TimeSpentInAppResolver.java                                                                                                                                      com/qualtrics/digital/resolvers/ViewCountResolver.java                                                                                                                                      com/uievolution/microserver/MSServiceHelper.java                                                                                                                                      com/uievolution/microserver/MicroServer.java                                                                                                                                      com/uievolution/microserver/lwipdriver/LWIPParam.java                                                                                                                                      com/uievolution/microserver/modules/HttpsTunnelingModuleFactory.java                                                                                                                                      com/uievolution/microserver/modules/addressbook/b.java                                                                                                                                      com/uievolution/microserver/modules/addressbook/d.java                                                                                                                                      com/uievolution/microserver/modules/canaria/c.java                                                                                                                                      com/uievolution/microserver/modules/messaging/b.java                                                                                                                                      com/uievolution/microserver/modules/messaging/c.java                                                                                                                                      com/uievolution/microserver/modules/messaging/f.java                                                                                                                                      com/uievolution/microserver/modules/messaging/g.java                                                                                                                                      com/uievolution/microserver/modules/messaging/h.java                                                                                                                                      com/uievolution/microserver/modules/messaging/i.java                                                                                                                                      com/uievolution/microserver/utils/PRNGFixes.java                                                                                                                                      d/AbstractC1899d.java                                                                                                                                      d1/d.java                                                                                                                                      d1/e.java                                                                                                                                      e0/AbstractC1955a.java                                                                                                                                      f1/c.java                                                                                                                                      f1/e.java                                                                                                                                      f3/ViewOnClickListenerC2356h.java                                                                                                                                      g3/AbstractC2427d.java                                                                                                                                      h0/h.java                                                                                                                                      h1/C2482i.java                                                                                                                                      h1/k.java                                                                                                                                      hk/C2548a.java                                                                                                                                      hk/h.java                                                                                                                                      i0/C2557d.java                                                                                                                                      i1/C2563e.java                                                                                                                                      i1/i.java                                                                                                                                      i3/b.java                                                                                                                                      i3/d.java                                                                                                                                      i3/f.java                                                                                                                                      i3/h.java                                                                                                                                      io/github/inflationx/calligraphy3/ReflectionUtils.java                                                                                                                                      io/github/inflationx/calligraphy3/TypefaceUtils.java                                                                                                                                      io/realm/BaseRealm.java                                                                                                                                      io/realm/DynamicRealm.java                                                                                                                                      io/realm/Realm.java                                                                                                                                      io/realm/RealmCache.java                                                                                                                                      io/realm/RealmObject.java                                                                                                                                      io/realm/RealmResults.java                                                                                                                                      io/realm/internal/FinalizerRunnable.java                                                                                                                                      io/realm/internal/OsRealmConfig.java                                                                                                                                      io/realm/internal/RealmCore.java                                                                                                                                      io/realm/internal/Util.java                                                                                                                                      j0/C2846a.java                                                                                                                                      j1/ExecutorServiceC2847a.java                                                                                                                                      k1/l.java                                                                                                                                      l0/b.java                                                                                                                                      l2/C2955a.java                                                                                                                                      m0/M.java                                                                                                                                      n2/g.java                                                                                                                                      n4/g.java                                                                                                                                      n4/o.java                                                                                                                                      o0/j.java                                                                                                                                      o1/C3099a.java                                                                                                                                      o1/C3102d.java                                                                                                                                      o1/C3108j.java                                                                                                                                      o2/AbstractC3109a.java                                                                                                                                      org/conscrypt/Platform.java                                                                                                                                      org/conscrypt/ct/CTVerifier.java                                                                                                                                      p/AbstractC3171a.java                                                                                                                                      q1/C3230e.java                                                                                                                                      q1/q.java                                                                                                                                      q1/r.java                                                                                                                                      q4/C3245f.java                                                                                                                                      r1/C3287d.java                                                                                                                                      s/d.java                                                                                                                                      s2/C3337a.java                                                                                                                                      t1/i.java                                                                                                                                      t2/C3475a.java                                                                                                                                      t3/AbstractC3482d.java                                                                                                                                      tk/SharedPreferencesC3521a.java                                                                                                                                      u2/C3530a.java                                                                                                                                      u2/h.java                                                                                                                                      u3/u.java                                                                                                                                      uk/co/chrisjenx/calligraphy/ReflectionUtils.java                                                                                                                                      uk/co/chrisjenx/calligraphy/TypefaceUtils.java                                                                                                                                      ul/b.java                                                                                                                                      ul/c.java                                                                                                                                      v/f.java                                                                                                                                      vk/C3613b.java                                                                                                                                      w1/AbstractC3618a.java                                                                                                                                      x1/C3711f.java                                                                                                                                      x1/I.java                                                                                                                                      x1/x.java                                                                                                                                      y1/C3777c.java                                                                                                                                      y1/C3780f.java                                                                                                                                      y1/G.java                                                                                                                                      y1/m.java                                                                                                                                      y3/AbstractC3790a.java                                                                                                                                      yc/ViewOnClickListenerC3829e.java                                                                                                                                      yd/c.java                                                                                                                                      yk/c.java","Suppress the rule android_logging in com.acura.acuralink.connect                         Suppress the rule android_logging in com.acura.acuralink.connect only from these files"
"3","Files may contain hardcoded sensitive information like usernames, passwords, keys etc.","warning","CWE: CWE-312: Cleartext Storage of Sensitive Information                        OWASP Top 10: M9: Reverse Engineering                        OWASP MASVS: MSTG-STORAGE-14","Show Files                                                                                                                                A1/g.java                                                                                                                                      V0/f.java                                                                                                                                      Z0/C0878y.java                                                                                                                                      com/adjust/sdk/Constants.java                                                                                                                                      com/amazonaws/auth/CognitoCachingCredentialsProvider.java                                                                                                                                      com/amazonaws/auth/policy/conditions/ConditionFactory.java                                                                                                                                      com/amazonaws/cognito/clientcontext/data/UserContextDataProvider.java                                                                                                                                      com/amazonaws/cognito/clientcontext/datacollection/DeviceDataCollector.java                                                                                                                                      com/amazonaws/internal/keyvaluestore/AWSKeyValueStore.java                                                                                                                                      com/amazonaws/internal/keyvaluestore/KeyProvider18.java                                                                                                                                      com/amazonaws/mobile/auth/core/IdentityManager.java                                                                                                                                      com/amazonaws/mobile/client/AWSMobileClient.java                                                                                                                                      com/amazonaws/mobile/client/internal/oauth2/OAuth2Client.java                                                                                                                                      com/amazonaws/mobileconnectors/cognitoidentityprovider/util/CognitoDeviceHelper.java                                                                                                                                      com/amazonaws/mobileconnectors/cognitoidentityprovider/util/CognitoPinpointSharedContext.java                                                                                                                                      com/amazonaws/mobileconnectors/cognitoidentityprovider/util/CognitoServiceConstants.java                                                                                                                                      com/amazonaws/mobileconnectors/iot/AWSIotKeystoreHelper.java                                                                                                                                      com/amplitude/core/utilities/http/a.java                                                                                                                                      com/appdynamics/eumagent/runtime/b.java                                                                                                                                      com/att/iot/retail/sdk/ui/flows/promo/PromoFlow.java                                                                                                                                      com/att/iot/retail/sdk/ui/flows/trial/TrialFlow.java                                                                                                                                      com/att/iot/retail/sdk/ui/screens/cancelsurvey/CancelSurveyStep.java                                                                                                                                      com/att/iot/retail/sdk/ui/screens/cancelsurvey/CancelSurveyThankYouStep.java                                                                                                                                      com/att/iot/retail/sdk/ui/screens/editpaymentifno/EditPaymentInfoStep.java                                                                                                                                      com/att/iot/retail/sdk/ui/screens/editpaymentwebview/EditPaymentWebViewStep.java                                                                                                                                      com/att/iot/retail/sdk/ui/screens/editsubscriberinfo/EditSubscriberInfoStep.java                                                                                                                                      com/att/iot/retail/sdk/ui/screens/flowcompleted/FlowCompletedStep.java                                                                                                                                      com/att/iot/retail/sdk/ui/screens/managesubscription/ManageSubscriptionStep.java                                                                                                                                      com/att/iot/retail/sdk/ui/screens/paymentinfo/PaymentInfoStep.java                                                                                                                                      com/att/iot/retail/sdk/ui/screens/paymentwebview/PaymentWebViewStep.java                                                                                                                                      com/att/iot/retail/sdk/ui/screens/products/ProductsStep.java                                                                                                                                      com/att/iot/retail/sdk/ui/screens/registration/RegistrationStep.java                                                                                                                                      com/att/iot/retail/sdk/ui/screens/transastionsummary/TransactionSummaryStep.java                                                                                                                                      com/att/iot/retail/sdk/ui/screens/transastionsummarypromo/TransactionSummaryPromo.java                                                                                                                                      com/att/iot/retail/sdk/ui/screens/transastionsummarytrial/TransactionSummaryStepTrial.java                                                                                                                                      com/bumptech/glide/load/engine/d.java                                                                                                                                      com/bumptech/glide/load/engine/o.java                                                                                                                                      com/bumptech/glide/load/engine/t.java                                                                                                                                      com/honda/common/constants/AppConstants.java                                                                                                                                      com/honda/common/model/cporegistration/CPOAccountLinkRequestModel.java                                                                                                                                      com/honda/common/model/sendtocar/acurasendtocarsxmbody/Header.java                                                                                                                                      com/qualtrics/digital/EmbeddedFeedbackUtils.java                                                                                                                                      com/qualtrics/digital/EmbeddedFeedbackUtilsJava.java                                                                                                                                      com/qualtrics/digital/ExpressionDeserializer.java                                                                                                                                      com/qualtrics/digital/QualtricsPopOverFragment.java                                                                                                                                      com/qualtrics/digital/SDKUtils.java                                                                                                                                      com/qualtrics/digital/XMDUtils.java                                                                                                                                      com/qualtrics/digital/utils/TranslationUtils.java                                                                                                                                      com/uievolution/microserver/utils/HttpCatalogs.java                                                                                                                                      e1/C1962f.java                                                                                                                                      gg/b.java                                                                                                                                      io/grpc/internal/L0.java                                                                                                                                      io/reactivex/internal/schedulers/SchedulerPoolFactory.java                                                                                                                                      org/conscrypt/OpenSSLECKeyFactory.java                                                                                                                                      org/conscrypt/OpenSSLRSAKeyFactory.java                                                                                                                                      org/eclipse/paho/client/mqttv3/internal/wire/MqttConnack.java                                                                                                                                      org/eclipse/paho/client/mqttv3/internal/wire/MqttConnect.java                                                                                                                                      org/eclipse/paho/client/mqttv3/internal/wire/MqttDisconnect.java                                                                                                                                      org/eclipse/paho/client/mqttv3/internal/wire/MqttPingReq.java                                                                                                                                      org/eclipse/paho/client/mqttv3/internal/wire/MqttPingResp.java","Suppress the rule android_hardcoded in com.acura.acuralink.connect                         Suppress the rule android_hardcoded in com.acura.acuralink.connect only from these files"
"4","IP Address disclosure","warning","CWE: CWE-200: Information Exposure                                               OWASP MASVS: MSTG-CODE-2","Show Files                                                                                                                                com/uievolution/microserver/interceptor/httpsrequest/LocalHttpsInterceptor.java                                                                                                                                      com/uievolution/microserver/interceptor/request/TimestampInterceptor.java                                                                                                                                      com/uievolution/microserver/lwipdriver/LWIPParam.java                                                                                                                                      com/uievolution/microserver/wifidriver/WiFiDriver.java                                                                                                                                      org/conscrypt/CertificatePriorityComparator.java                                                                                                                                      org/conscrypt/ChainStrengthAnalyzer.java                                                                                                                                      org/conscrypt/EvpMdRef.java                                                                                                                                      org/conscrypt/OAEPParameters.java                                                                                                                                      org/conscrypt/OidData.java                                                                                                                                      org/conscrypt/OpenSSLCipherRSA.java                                                                                                                                      org/conscrypt/OpenSSLECGroupContext.java                                                                                                                                      org/conscrypt/OpenSSLProvider.java                                                                                                                                      org/conscrypt/OpenSSLSignature.java                                                                                                                                      org/conscrypt/TrustManagerImpl.java                                                                                                                                      org/conscrypt/ct/CTConstants.java","Suppress the rule android_ip_disclosure in com.acura.acuralink.connect                         Suppress the rule android_ip_disclosure in com.acura.acuralink.connect only from these files"
"5","Insecure Implementation of SSL. Trusting all the certificates or accepting self signed certificates is a critical Security Hole. This application is vulnerable to MITM attacks","high","CWE: CWE-295: Improper Certificate Validation                        OWASP Top 10: M3: Insecure Communication                        OWASP MASVS: MSTG-NETWORK-3","org/conscrypt/Conscrypt.java","Suppress the rule android_insecure_ssl in com.acura.acuralink.connect                         Suppress the rule android_insecure_ssl in com.acura.acuralink.connect only from these files"
"6","App can read/write to External Storage. Any App can read data written to External Storage.","warning","CWE: CWE-276: Incorrect Default Permissions                        OWASP Top 10: M2: Insecure Data Storage                        OWASP MASVS: MSTG-STORAGE-2","Show Files                                                                                                                                Kb/d.java                                                                                                                                      O1/P.java                                                                                                                                      Ve/b.java                                                                                                                                      com/honda/common/module/microserver/view/activity/MicroserverActivity.java                                                                                                                                      com/honda/common/utils/logger/ViewLogsActivity.java                                                                                                                                      hk/C2548a.java                                                                                                                                      hk/h.java                                                                                                                                      hk/i.java                                                                                                                                      hk/j.java                                                                                                                                      vk/C3613b.java","Suppress the rule android_read_write_external in com.acura.acuralink.connect                         Suppress the rule android_read_write_external in com.acura.acuralink.connect only from these files"
"7","The App uses an insecure Random Number Generator.","warning","CWE: CWE-330: Use of Insufficiently Random Values                        OWASP Top 10: M5: Insufficient Cryptography                        OWASP MASVS: MSTG-CRYPTO-6","Show Files                                                                                                                                Ek/e.java                                                                                                                                      Ek/h.java                                                                                                                                      O1/P.java                                                                                                                                      T0/g.java                                                                                                                                      Xk/a.java                                                                                                                                      Xk/b.java                                                                                                                                      Yk/a.java                                                                                                                                      Z0/Y.java                                                                                                                                      com/adjust/sdk/Util.java                                                                                                                                      com/amazonaws/retry/PredefinedRetryPolicies.java                                                                                                                                      com/qualtrics/digital/SamplingUtil.java                                                                                                                                      io/grpc/internal/C.java                                                                                                                                      io/grpc/internal/E.java                                                                                                                                      io/grpc/internal/y0.java                                                                                                                                      j$/util/concurrent/ThreadLocalRandom.java                                                                                                                                      zk/C3902i.java","Suppress the rule android_insecure_random in com.acura.acuralink.connect                         Suppress the rule android_insecure_random in com.acura.acuralink.connect only from these files"
"8","SHA-1 is a weak hash known to have hash collisions.","warning","CWE: CWE-327: Use of a Broken or Risky Cryptographic Algorithm                        OWASP Top 10: M5: Insufficient Cryptography                        OWASP MASVS: MSTG-CRYPTO-4","Show Files                                                                                                                                U4/z.java                                                                                                                                      X1/a.java                                                                                                                                      Y4/b.java                                                                                                                                      com/uievolution/microserver/utils/Utils.java                                                                                                                                      org/eclipse/paho/client/mqttv3/internal/websocket/WebSocketHandshake.java                                                                                                                                      uk/AbstractC3568a.java","Suppress the rule android_sha1 in com.acura.acuralink.connect                         Suppress the rule android_sha1 in com.acura.acuralink.connect only from these files"
"9","Insecure WebView Implementation. Execution of user controlled code in WebView is a critical Security Hole.","warning","CWE: CWE-749: Exposed Dangerous Method or Function                        OWASP Top 10: M1: Improper Platform Usage                        OWASP MASVS: MSTG-PLATFORM-7","A9/j.java                                                                                                                            com/qualtrics/digital/QualtricsSurveyFragment.java                                                                                                                            od/C3145c.java","Suppress the rule android_webview in com.acura.acuralink.connect                         Suppress the rule android_webview in com.acura.acuralink.connect only from these files"
"10","App uses SQLite Database and execute raw SQL query. Untrusted user input in raw SQL queries can cause SQL Injection. Also sensitive information should be encrypted and written to the database.","warning","CWE: CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')                        OWASP Top 10: M7: Client Code Quality","Show Files                                                                                                                                I2/M.java                                                                                                                                      I2/U.java                                                                                                                                      Z0/C0845d.java                                                                                                                                      Z0/C0851g.java                                                                                                                                      Z0/C0853h.java                                                                                                                                      com/uievolution/microserver/modules/KeyValueStore.java                                                                                                                                      com/uievolution/microserver/modules/messaging/h.java                                                                                                                                      i0/C2556c.java","Suppress the rule android_sql_raw_query in com.acura.acuralink.connect                         Suppress the rule android_sql_raw_query in com.acura.acuralink.connect only from these files"
