"PERMISSION","STATUS","INFO","DESCRIPTION","CODE MAPPINGS"
"android.permission.ACCESS_COARSE_LOCATION","dangerous","coarse (network-based) location","Access coarse location sources, such as the mobile network database, to determine an approximate phone location, where available. Malicious applications can use this to determine approximately where you are.","Show Files                                                                                                                                                                                                                                                        cordova/plugins/Diagnostic_Location.java"
"android.permission.ACCESS_FINE_LOCATION","dangerous","fine (GPS) location","Access fine location sources, such as the Global Positioning System on the phone, where available. Malicious applications can use this to determine where you are and may consume additional battery power.","Show Files                                                                                                                                                                                                                                                                                                                            cordova/plugins/Diagnostic_Location.java"
"android.permission.ACCESS_NETWORK_STATE","normal","view network status","Allows an application to view the status of all networks.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                    cordova/plugins/Diagnostic_Wifi.java"
"android.permission.BLUETOOTH","normal","create Bluetooth connections","Allows applications to connect to paired bluetooth devices.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        cordova/plugins/Diagnostic_Bluetooth.java"
"android.permission.CALL_PHONE","dangerous","directly call phone numbers","Allows the application to call phone numbers without your intervention. Malicious applications may cause unexpected calls on your phone bill. Note that this does not allow the application to call emergency numbers.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                com/adobe/phonegap/push/BackgroundActionButtonHandler.java                                                                                                                                                                                                    com/adobe/phonegap/push/PushHandlerActivity.java                                                                                                                                                                                                    me/leolin/shortcutbadger/impl/OPPOHomeBader.java"
"android.permission.FOREGROUND_SERVICE","normal","enables regular apps to use Service.startForeground.","Allows a regular application to use Service.startForeground.",""
"android.permission.INTERNET","normal","full Internet access","Allows an application to create network sockets.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                com/adobe/phonegap/push/FCMService.java                                                                                                                                                                                                    com/github/kevinsawicki/http/HttpRequest.java                                                                                                                                                                                                    it/sauronsoftware/ftp4j/FTPClient.java                                                                                                                                                                                                    it/sauronsoftware/ftp4j/FTPCommunicationChannel.java                                                                                                                                                                                                    it/sauronsoftware/ftp4j/FTPConnector.java                                                                                                                                                                                                    it/sauronsoftware/ftp4j/connectors/HTTPTunnelConnector.java                                                                                                                                                                                                    it/sauronsoftware/ftp4j/connectors/SOCKS4Connector.java                                                                                                                                                                                                    it/sauronsoftware/ftp4j/connectors/SOCKS5Connector.java"
"android.permission.READ_APP_BADGE","normal","show app notification","Allows an application to show app icon badges.",""
"android.permission.READ_EXTERNAL_STORAGE","dangerous","read external storage contents","Allows an application to read from external storage.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        com/github/kevinsawicki/http/HttpRequest.java                                                                                                                                                                                                    cordova/plugins/Diagnostic.java                                                                                                                                                                                                    io/github/xfally/cordova/plugin/ftp/CDVFtp.java                                                                                                                                                                                                    it/sauronsoftware/ftp4j/FTPClient.java                                                                                                                                                                                                    it/sauronsoftware/ftp4j/connectors/Base64.java                                                                                                                                                                                                    me/leolin/shortcutbadger/impl/OPPOHomeBader.java"
"android.permission.VIBRATE","normal","control vibrator","Allows the application to control the vibrator.",""
"android.permission.WAKE_LOCK","normal","prevent phone from sleeping","Allows an application to prevent the phone from going to sleep.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            cordova/plugins/Diagnostic.java"
"android.permission.WRITE_EXTERNAL_STORAGE","dangerous","read/modify/delete external storage contents","Allows an application to write to external storage.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            com/github/kevinsawicki/http/HttpRequest.java                                                                                                                                                                                                    it/sauronsoftware/ftp4j/FTPClient.java                                                                                                                                                                                                    it/sauronsoftware/ftp4j/connectors/Base64.java"
"com.anddoes.launcher.permission.UPDATE_COUNT","normal","show notification count on app","Show notification count or badge on application launch icon for apex.",""
"com.google.android.c2dm.permission.RECEIVE","normal","recieve push notifications","Allows an application to receive push notifications from cloud.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    com/adobe/phonegap/push/FCMService.java"
"com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE","normal","permission defined by google","A custom permission defined by Google.",""
"com.google.android.gms.permission.AD_ID","normal","application shows advertisements","This app uses a Google advertising ID and can possibly serve advertisements.",""
"com.htc.launcher.permission.READ_SETTINGS","normal","show notification count on app","Show notification count or badge on application launch icon for htc phones.",""
"com.htc.launcher.permission.UPDATE_SHORTCUT","normal","show notification count on app","Show notification count or badge on application launch icon for htc phones.",""
