"NO","ISSUE","SEVERITY","STANDARDS","FILES","OPTIONS"
"1","Files may contain hardcoded sensitive information like usernames, passwords, keys etc.","warning","CWE: CWE-312: Cleartext Storage of Sensitive Information                        OWASP Top 10: M9: Reverse Engineering                        OWASP MASVS: MSTG-STORAGE-14","Show Files                                                                                                                                com/brightcove/player/edge/Authorizer.java                                                                                                                                      com/brightcove/player/edge/EdgeTask.java                                                                                                                                      com/brightcove/player/event/EventEmitterImpl.java                                                                                                                                      com/gm/energyassistant/datamodels/BaseGeminiJavaScriptInterface.java                                                                                                                                      com/gm/energyassistant/datamodels/JsonDeviceInfo.java                                                                                                                                      com/gm/gemini/cms_sdk/model/LanguageDocumentMap.java                                                                                                                                      com/gm/gemini/cms_sdk/model/LegalDocument.java                                                                                                                                      com/gm/gemini/model/VehicleCommand.java                                                                                                                                      com/gm/gemini/tardis/HybridCommunicator.java                                                                                                                                      com/gm/gemini/tardis/TardisPerfectoBuildInfo.java                                                                                                                                      com/gm/onstar/sdk/demo/DemoConstants.java                                                                                                                                      com/gm/tardis/core/notifications/TardisNotificationHandler.java                                                                                                                                      com/gm/tardis/core/push/TardisPushRegistration.java                                                                                                                                      com/gm/vipkit/encryption/CryptoConstants.java                                                                                                                                      com/launchdarkly/sdk/LDContext.java                                                                                                                                      com/microsoft/identity/client/Constants.java                                                                                                                                      com/microsoft/identity/client/SingleAccountPublicClientApplication.java                                                                                                                                      com/microsoft/identity/common/adal/internal/AuthenticationConstants.java                                                                                                                                      com/microsoft/identity/common/internal/activebrokerdiscovery/BrokerDiscoveryClient.java                                                                                                                                      com/microsoft/identity/common/internal/broker/BrokerRequest.java                                                                                                                                      com/microsoft/identity/common/internal/broker/BrokerResult.java                                                                                                                                      com/microsoft/identity/common/internal/cache/ActiveBrokerCache.java                                                                                                                                      com/microsoft/identity/common/internal/cache/ClientActiveBrokerCache.java                                                                                                                                      com/microsoft/identity/common/java/AuthenticationConstants.java                                                                                                                                      com/microsoft/identity/common/java/authscheme/PopAuthenticationSchemeWithClientKeyInternal.java                                                                                                                                      com/microsoft/identity/common/java/dto/AccountRecord.java                                                                                                                                      com/microsoft/identity/common/java/dto/Credential.java                                                                                                                                      com/microsoft/identity/common/java/dto/PrimaryRefreshTokenRecord.java                                                                                                                                      com/microsoft/identity/common/java/eststelemetry/LastRequestTelemetryCache.java                                                                                                                                      com/microsoft/identity/common/java/eststelemetry/SchemaConstants.java                                                                                                                                      com/microsoft/identity/common/java/exception/ClientException.java                                                                                                                                      com/microsoft/identity/common/java/providers/oauth2/IDToken.java                                                                                                                                      com/microsoft/identity/common/java/providers/oauth2/TokenRequest.java                                                                                                                                      com/reactnativegmevchargermodule/GmEvChargerModuleViewManager.java                                                                                                                                      defpackage/dt9.java                                                                                                                                      defpackage/gm6.java                                                                                                                                      defpackage/ms9.java                                                                                                                                      defpackage/wc4.java                                                                                                                                      defpackage/yi3.java                                                                                                                                      defpackage/yn.java                                                                                                                                      org/slf4j/impl/SimpleLogger.java","Suppress the rule android_hardcoded in com.gm.chevrolet.nomad.ownership                         Suppress the rule android_hardcoded in com.gm.chevrolet.nomad.ownership only from these files"
"2","App creates temp file. Sensitive information should never be written into a temp file.","warning","CWE: CWE-276: Incorrect Default Permissions                        OWASP Top 10: M2: Insecure Data Storage                        OWASP MASVS: MSTG-STORAGE-2","Show Files                                                                                                                                com/airbnb/android/react/maps/AirMapModule.java                                                                                                                                      com/eclipsesource/v8/NodeJS.java                                                                                                                                      defpackage/gt5.java                                                                                                                                      defpackage/lx3.java                                                                                                                                      defpackage/ma1.java                                                                                                                                      defpackage/nm4.java                                                                                                                                      defpackage/v22.java                                                                                                                                      defpackage/vf5.java","Suppress the rule android_temp_file in com.gm.chevrolet.nomad.ownership                         Suppress the rule android_temp_file in com.gm.chevrolet.nomad.ownership only from these files"
"3","App can write to App Directory. Sensitive Information should be encrypted.","info","CWE: CWE-276: Incorrect Default Permissions                                               OWASP MASVS: MSTG-STORAGE-14","Show Files                                                                                                                                defpackage/hx4.java                                                                                                                                      defpackage/im3.java                                                                                                                                      defpackage/k03.java                                                                                                                                      defpackage/xg7.java                                                                                                                                      defpackage/yz4.java                                                                                                                                      defpackage/z1.java","Suppress the rule android_write_app_dir in com.gm.chevrolet.nomad.ownership                         Suppress the rule android_write_app_dir in com.gm.chevrolet.nomad.ownership only from these files"
"4","App uses SQLite Database and execute raw SQL query. Untrusted user input in raw SQL queries can cause SQL Injection. Also sensitive information should be encrypted and written to the database.","warning","CWE: CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')                        OWASP Top 10: M7: Client Code Quality","Show Files                                                                                                                                com/activeandroid/ActiveAndroid.java                                                                                                                                      com/activeandroid/DatabaseHelper.java                                                                                                                                      defpackage/ab.java                                                                                                                                      defpackage/ch.java                                                                                                                                      defpackage/dk.java                                                                                                                                      defpackage/dk4.java                                                                                                                                      defpackage/ep6.java                                                                                                                                      defpackage/fp6.java                                                                                                                                      defpackage/gp6.java                                                                                                                                      defpackage/ip6.java                                                                                                                                      defpackage/j24.java                                                                                                                                      defpackage/jp6.java                                                                                                                                      defpackage/kp6.java                                                                                                                                      defpackage/ld9.java                                                                                                                                      defpackage/lu9.java                                                                                                                                      defpackage/p26.java                                                                                                                                      defpackage/pi5.java                                                                                                                                      defpackage/po8.java                                                                                                                                      defpackage/r92.java                                                                                                                                      defpackage/s26.java                                                                                                                                      defpackage/u71.java                                                                                                                                      defpackage/wm4.java                                                                                                                                      defpackage/x78.java                                                                                                                                      defpackage/yv1.java                                                                                                                                      defpackage/z56.java","Suppress the rule android_sql_raw_query in com.gm.chevrolet.nomad.ownership                         Suppress the rule android_sql_raw_query in com.gm.chevrolet.nomad.ownership only from these files"
"5","The App uses an insecure Random Number Generator.","warning","CWE: CWE-330: Use of Insufficiently Random Values                        OWASP Top 10: M5: Insufficient Cryptography                        OWASP MASVS: MSTG-CRYPTO-6","Show Files                                                                                                                                defpackage/bt7.java                                                                                                                                      defpackage/gb3.java                                                                                                                                      defpackage/gs5.java                                                                                                                                      defpackage/gz1.java                                                                                                                                      defpackage/h1.java                                                                                                                                      defpackage/he9.java                                                                                                                                      defpackage/kh5.java                                                                                                                                      defpackage/lq4.java                                                                                                                                      defpackage/on5.java                                                                                                                                      defpackage/uf8.java                                                                                                                                      defpackage/wj.java                                                                                                                                      defpackage/yx0.java                                                                                                                                      defpackage/zd6.java","Suppress the rule android_insecure_random in com.gm.chevrolet.nomad.ownership                         Suppress the rule android_insecure_random in com.gm.chevrolet.nomad.ownership only from these files"
"6","The App logs information. Sensitive information should never be logged.","info","CWE: CWE-532: Insertion of Sensitive Information into Log File                                               OWASP MASVS: MSTG-STORAGE-3","Show Files                                                                                                                                com/activeandroid/ActiveAndroid.java                                                                                                                                      com/activeandroid/Cache.java                                                                                                                                      com/activeandroid/Configuration.java                                                                                                                                      com/activeandroid/DatabaseHelper.java                                                                                                                                      com/activeandroid/Model.java                                                                                                                                      com/activeandroid/query/From.java                                                                                                                                      com/activeandroid/util/IOUtils.java                                                                                                                                      com/activeandroid/util/Log.java                                                                                                                                      com/activeandroid/util/ReflectionUtils.java                                                                                                                                      com/activeandroid/util/SQLiteUtils.java                                                                                                                                      com/brightcove/player/analytics/AnalyticsClient.java                                                                                                                                      com/brightcove/player/analytics/DefaultAnalyticsHandler.java                                                                                                                                      com/brightcove/player/edge/OfflineStoreManager.java                                                                                                                                      com/brightcove/player/logging/Log.java                                                                                                                                      com/brightcove/player/network/DownloadManager.java                                                                                                                                      com/brightcove/player/network/HttpService.java                                                                                                                                      com/brightcove/player/offline/MultiDataSource.java                                                                                                                                      com/brightcove/player/store/BaseStore.java                                                                                                                                      defpackage/b27.java                                                                                                                                      defpackage/bn2.java                                                                                                                                      defpackage/bq4.java                                                                                                                                      defpackage/cd6.java                                                                                                                                      defpackage/cw8.java                                                                                                                                      defpackage/d33.java                                                                                                                                      defpackage/d67.java                                                                                                                                      defpackage/de.java                                                                                                                                      defpackage/de8.java                                                                                                                                      defpackage/do9.java                                                                                                                                      defpackage/du3.java                                                                                                                                      defpackage/e02.java                                                                                                                                      defpackage/e67.java                                                                                                                                      defpackage/eo8.java                                                                                                                                      defpackage/eo9.java                                                                                                                                      defpackage/f02.java                                                                                                                                      defpackage/f23.java                                                                                                                                      defpackage/fe1.java                                                                                                                                      defpackage/ft9.java                                                                                                                                      defpackage/gh9.java                                                                                                                                      defpackage/gz8.java                                                                                                                                      defpackage/h23.java                                                                                                                                      defpackage/hv5.java                                                                                                                                      defpackage/io7.java                                                                                                                                      defpackage/j88.java                                                                                                                                      defpackage/jd0.java                                                                                                                                      defpackage/ld9.java                                                                                                                                      defpackage/lt8.java                                                                                                                                      defpackage/np8.java                                                                                                                                      defpackage/ow6.java                                                                                                                                      defpackage/p79.java                                                                                                                                      defpackage/pi1.java                                                                                                                                      defpackage/py3.java                                                                                                                                      defpackage/qg5.java                                                                                                                                      defpackage/qp2.java                                                                                                                                      defpackage/s44.java                                                                                                                                      defpackage/sv9.java                                                                                                                                      defpackage/t32.java                                                                                                                                      defpackage/tr8.java                                                                                                                                      defpackage/tu9.java                                                                                                                                      defpackage/v39.java                                                                                                                                      defpackage/vq9.java                                                                                                                                      defpackage/w39.java                                                                                                                                      defpackage/wr8.java                                                                                                                                      defpackage/wr9.java                                                                                                                                      defpackage/x29.java                                                                                                                                      defpackage/y39.java                                                                                                                                      defpackage/yv3.java                                                                                                                                      defpackage/zs9.java","Suppress the rule android_logging in com.gm.chevrolet.nomad.ownership                         Suppress the rule android_logging in com.gm.chevrolet.nomad.ownership only from these files"
"7","MD5 is a weak hash known to have hash collisions.","warning","CWE: CWE-327: Use of a Broken or Risky Cryptographic Algorithm                        OWASP Top 10: M5: Insufficient Cryptography                        OWASP MASVS: MSTG-CRYPTO-4","Show Files                                                                                                                                com/RNFetchBlob/RNFetchBlobReq.java                                                                                                                                      com/gm/tardis/core/notifications/TardisNotificationHandler.java                                                                                                                                      defpackage/gj.java                                                                                                                                      defpackage/he9.java                                                                                                                                      defpackage/m22.java                                                                                                                                      defpackage/qp2.java                                                                                                                                      defpackage/sh6.java","Suppress the rule android_md5 in com.gm.chevrolet.nomad.ownership                         Suppress the rule android_md5 in com.gm.chevrolet.nomad.ownership only from these files"
"8","SHA-1 is a weak hash known to have hash collisions.","warning","CWE: CWE-327: Use of a Broken or Risky Cryptographic Algorithm                        OWASP Top 10: M5: Insufficient Cryptography                        OWASP MASVS: MSTG-CRYPTO-4","Show Files                                                                                                                                defpackage/d33.java                                                                                                                                      defpackage/hf.java                                                                                                                                      defpackage/jd0.java                                                                                                                                      defpackage/nf8.java                                                                                                                                      defpackage/nm2.java                                                                                                                                      defpackage/sh6.java                                                                                                                                      defpackage/yx2.java","Suppress the rule android_sha1 in com.gm.chevrolet.nomad.ownership                         Suppress the rule android_sha1 in com.gm.chevrolet.nomad.ownership only from these files"
"9","App can read/write to External Storage. Any App can read data written to External Storage.","warning","CWE: CWE-276: Incorrect Default Permissions                        OWASP Top 10: M2: Insecure Data Storage                        OWASP MASVS: MSTG-STORAGE-2","Show Files                                                                                                                                com/RNFetchBlob/RNFetchBlob.java                                                                                                                                      com/brightcove/player/offline/ExternalFileCreator.java                                                                                                                                      com/brightcove/player/offline/MediaDownloadable.java                                                                                                                                      com/brightcove/player/util/FileUtil.java                                                                                                                                      com/gm/energyassistant/datamodels/JsonSaveFile.java                                                                                                                                      com/gm/energyassistant/datamodels/sharedStorage/LegacyDocumentFileProvider.java                                                                                                                                      com/gm/tardis/core/ownermanual/TardisOwnerManual.java                                                                                                                                      com/gm/vipkit/LogManager.java                                                                                                                                      com/learnium/RNDeviceInfo/RNDeviceModule.java                                                                                                                                      com/rnfs/RNFSManager.java                                                                                                                                      defpackage/cg5.java                                                                                                                                      defpackage/ih7.java                                                                                                                                      defpackage/iq6.java                                                                                                                                      defpackage/je.java                                                                                                                                      defpackage/ma1.java                                                                                                                                      defpackage/wn4.java                                                                                                                                      defpackage/wv.java","Suppress the rule android_read_write_external in com.gm.chevrolet.nomad.ownership                         Suppress the rule android_read_write_external in com.gm.chevrolet.nomad.ownership only from these files"
"10","IP Address disclosure","warning","CWE: CWE-200: Information Exposure                                               OWASP MASVS: MSTG-CODE-2","com/nimbusds/jose/jwk/Curve.java                                                                                                                            defpackage/dz1.java","Suppress the rule android_ip_disclosure in com.gm.chevrolet.nomad.ownership                         Suppress the rule android_ip_disclosure in com.gm.chevrolet.nomad.ownership only from these files"
