"NO","ISSUE","SEVERITY","STANDARDS","FILES","OPTIONS"
"1","The App logs information. Sensitive information should never be logged.","info","CWE: CWE-532: Insertion of Sensitive Information into Log File                                               OWASP MASVS: MSTG-STORAGE-3","Show Files                                                                                                                                b1/a.java                                                                                                                                      b1/c.java                                                                                                                                      b1/h.java                                                                                                                                      com/apptentive/android/sdk/Apptentive.java                                                                                                                                      com/apptentive/android/sdk/ApptentiveInternal.java                                                                                                                                      com/apptentive/android/sdk/ApptentiveLog.java                                                                                                                                      com/apptentive/android/sdk/ApptentiveViewActivity.java                                                                                                                                      com/apptentive/android/sdk/conversation/Conversation.java                                                                                                                                      com/apptentive/android/sdk/conversation/ConversationDispatchTask.java                                                                                                                                      com/apptentive/android/sdk/conversation/ConversationManager.java                                                                                                                                      com/apptentive/android/sdk/conversation/FileMessageStore.java                                                                                                                                      com/apptentive/android/sdk/debug/AsyncLogWriter.java                                                                                                                                      com/apptentive/android/sdk/debug/ErrorMetrics.java                                                                                                                                      com/apptentive/android/sdk/debug/LogBroadcastReceiver.java                                                                                                                                      com/apptentive/android/sdk/debug/LogMonitor.java                                                                                                                                      com/apptentive/android/sdk/debug/LogMonitorSession.java                                                                                                                                      com/apptentive/android/sdk/debug/LogMonitorSessionIO.java                                                                                                                                      com/apptentive/android/sdk/encryption/SecurityManager.java                                                                                                                                      com/apptentive/android/sdk/encryption/resolvers/KeyResolver18.java                                                                                                                                      com/apptentive/android/sdk/external/DefaultEngagement.java                                                                                                                                      com/apptentive/android/sdk/external/DefaultInAppReviewManagerFactory.java                                                                                                                                      com/apptentive/android/sdk/external/GooglePlayReviewManager.java                                                                                                                                      com/apptentive/android/sdk/lifecycle/ApptentiveActivityLifecycleCallbacks.java                                                                                                                                      com/apptentive/android/sdk/migration/Migrator.java                                                                                                                                      com/apptentive/android/sdk/migration/v4_0_0/VersionHistoryStore.java                                                                                                                                      com/apptentive/android/sdk/migration/v4_0_0/VersionHistoryStoreMigrator.java                                                                                                                                      com/apptentive/android/sdk/model/ApptentiveMessage.java                                                                                                                                      com/apptentive/android/sdk/model/CompoundMessage.java                                                                                                                                      com/apptentive/android/sdk/model/Configuration.java                                                                                                                                      com/apptentive/android/sdk/model/ConversationTokenRequest.java                                                                                                                                      com/apptentive/android/sdk/model/CustomData.java                                                                                                                                      com/apptentive/android/sdk/model/EventPayload.java                                                                                                                                      com/apptentive/android/sdk/model/ExtendedData.java                                                                                                                                      com/apptentive/android/sdk/model/JsonPayload.java                                                                                                                                      com/apptentive/android/sdk/model/PayloadType.java                                                                                                                                      com/apptentive/android/sdk/model/SurveyResponsePayload.java                                                                                                                                      com/apptentive/android/sdk/module/engagement/EngagementModule.java                                                                                                                                      com/apptentive/android/sdk/module/engagement/InAppRatingDialogInteractionLauncher.java                                                                                                                                      com/apptentive/android/sdk/module/engagement/NotificationInteractionLauncher.java                                                                                                                                      com/apptentive/android/sdk/module/engagement/interaction/fragment/AboutFragment.java                                                                                                                                      com/apptentive/android/sdk/module/engagement/interaction/fragment/AppStoreRatingFragment.java                                                                                                                                      com/apptentive/android/sdk/module/engagement/interaction/fragment/ApptentiveBaseFragment.java                                                                                                                                      com/apptentive/android/sdk/module/engagement/interaction/fragment/EnjoymentDialogFragment.java                                                                                                                                      com/apptentive/android/sdk/module/engagement/interaction/fragment/MessageCenterErrorFragment.java                                                                                                                                      com/apptentive/android/sdk/module/engagement/interaction/fragment/MessageCenterFragment.java                                                                                                                                      com/apptentive/android/sdk/module/engagement/interaction/fragment/NavigateToLinkFragment.java                                                                                                                                      com/apptentive/android/sdk/module/engagement/interaction/fragment/NoteFragment.java                                                                                                                                      com/apptentive/android/sdk/module/engagement/interaction/fragment/RatingDialogFragment.java                                                                                                                                      com/apptentive/android/sdk/module/engagement/interaction/fragment/SurveyFragment.java                                                                                                                                      com/apptentive/android/sdk/module/engagement/interaction/fragment/UpgradeMessageFragment.java                                                                                                                                      com/apptentive/android/sdk/module/engagement/interaction/model/Interaction.java                                                                                                                                      com/apptentive/android/sdk/module/engagement/interaction/model/InteractionCriteria.java                                                                                                                                      com/apptentive/android/sdk/module/engagement/interaction/model/InteractionManifest.java                                                                                                                                      com/apptentive/android/sdk/module/engagement/interaction/model/Interactions.java                                                                                                                                      com/apptentive/android/sdk/module/engagement/interaction/model/Targets.java                                                                                                                                      com/apptentive/android/sdk/module/engagement/interaction/model/common/Action.java                                                                                                                                      com/apptentive/android/sdk/module/engagement/interaction/model/common/Actions.java                                                                                                                                      com/apptentive/android/sdk/module/engagement/interaction/model/survey/Question.java                                                                                                                                      com/apptentive/android/sdk/module/engagement/interaction/view/survey/BaseSurveyQuestionView.java                                                                                                                                      com/apptentive/android/sdk/module/engagement/interaction/view/survey/MultichoiceSurveyQuestionView.java                                                                                                                                      com/apptentive/android/sdk/module/engagement/interaction/view/survey/RangeSurveyQuestionView.java                                                                                                                                      com/apptentive/android/sdk/module/engagement/interaction/view/survey/SurveyQuestionChoice.java                                                                                                                                      com/apptentive/android/sdk/module/engagement/interaction/view/survey/TextSurveyQuestionView.java                                                                                                                                      com/apptentive/android/sdk/module/engagement/logic/ClauseParser.java                                                                                                                                      com/apptentive/android/sdk/module/engagement/logic/ConditionalClause.java                                                                                                                                      com/apptentive/android/sdk/module/engagement/logic/ConditionalTest.java                                                                                                                                      com/apptentive/android/sdk/module/engagement/logic/FieldManager.java                                                                                                                                      com/apptentive/android/sdk/module/engagement/logic/LogicalClause.java                                                                                                                                      com/apptentive/android/sdk/module/engagement/notification/ApptentiveNotificationInteractionBroadcastReceiver.java                                                                                                                                      com/apptentive/android/sdk/module/engagement/notification/DefaultInteractionNotificationBroadcastReceiverHandler.java                                                                                                                                      com/apptentive/android/sdk/module/engagement/notification/NoteInteractionNotificationAdapter.java                                                                                                                                      com/apptentive/android/sdk/module/messagecenter/MessageManager.java                                                                                                                                      com/apptentive/android/sdk/module/messagecenter/MessagePollingWorker.java                                                                                                                                      com/apptentive/android/sdk/module/messagecenter/model/MessageFactory.java                                                                                                                                      com/apptentive/android/sdk/module/messagecenter/view/ApptentiveAvatarView.java                                                                                                                                      com/apptentive/android/sdk/module/messagecenter/view/AttachmentPreviewDialog.java                                                                                                                                      com/apptentive/android/sdk/module/messagecenter/view/MessageCenterRecyclerViewAdapter.java                                                                                                                                      com/apptentive/android/sdk/module/metric/MetricModule.java                                                                                                                                      com/apptentive/android/sdk/module/rating/impl/GooglePlayRatingProvider.java                                                                                                                                      com/apptentive/android/sdk/network/HttpRequest.java                                                                                                                                      com/apptentive/android/sdk/notifications/ApptentiveNotificationCenter.java                                                                                                                                      com/apptentive/android/sdk/notifications/ApptentiveNotificationObserverList.java                                                                                                                                      com/apptentive/android/sdk/partners/apptimize/ApptentiveApptimize.java                                                                                                                                      com/apptentive/android/sdk/storage/ApptentiveDatabaseHelper.java                                                                                                                                      com/apptentive/android/sdk/storage/ApptentiveTaskManager.java                                                                                                                                      com/apptentive/android/sdk/storage/CustomData.java                                                                                                                                      com/apptentive/android/sdk/storage/DatabaseMigrator.java                                                                                                                                      com/apptentive/android/sdk/storage/DatabaseMigratorV1.java                                                                                                                                      com/apptentive/android/sdk/storage/DatabaseMigratorV2.java                                                                                                                                      com/apptentive/android/sdk/storage/DatabaseMigratorV3.java                                                                                                                                      com/apptentive/android/sdk/storage/DeviceManager.java                                                                                                                                      com/apptentive/android/sdk/storage/OverrideSerialVersionUIDObjectInputStream.java                                                                                                                                      com/apptentive/android/sdk/storage/PayloadSender.java                                                                                                                                      com/apptentive/android/sdk/storage/SdkManager.java                                                                                                                                      com/apptentive/android/sdk/util/RuntimeUtils.java                                                                                                                                      com/apptentive/android/sdk/util/StringUtils.java                                                                                                                                      com/apptentive/android/sdk/util/ThrottleUtils.java                                                                                                                                      com/apptentive/android/sdk/util/Util.java                                                                                                                                      com/apptentive/android/sdk/util/image/ApptentiveAttachmentLoader.java                                                                                                                                      com/apptentive/android/sdk/util/image/ImageGridViewAdapter.java                                                                                                                                      com/apptentive/android/sdk/util/image/ImageUtil.java                                                                                                                                      com/apptentive/android/sdk/util/task/ApptentiveDownloaderTask.java                                                                                                                                      com/apptentive/android/sdk/util/task/ApptentiveDrawableLoaderTask.java                                                                                                                                      com/apptentive/android/sdk/util/threading/DispatchTask.java                                                                                                                                      com/apptentive/android/sdk/view/ApptentiveAlertDialog.java                                                                                                                                      com/bumptech/glide/GeneratedAppGlideModuleImpl.java                                                                                                                                      com/bumptech/glide/c.java                                                                                                                                      com/bumptech/glide/load/data/b.java                                                                                                                                      com/bumptech/glide/load/data/j.java                                                                                                                                      com/bumptech/glide/load/data/l.java                                                                                                                                      com/bumptech/glide/load/engine/DecodeJob.java                                                                                                                                      com/bumptech/glide/load/engine/g.java                                                                                                                                      com/bumptech/glide/load/engine/i.java                                                                                                                                      com/bumptech/glide/load/engine/w.java                                                                                                                                      com/bumptech/glide/load/resource/bitmap/DefaultImageHeaderParser.java                                                                                                                                      com/bumptech/glide/load/resource/bitmap/VideoDecoder.java                                                                                                                                      com/bumptech/glide/load/resource/bitmap/c.java                                                                                                                                      com/bumptech/glide/load/resource/bitmap/e.java                                                                                                                                      com/bumptech/glide/load/resource/bitmap/n.java                                                                                                                                      com/bumptech/glide/load/resource/bitmap/o.java                                                                                                                                      com/bumptech/glide/load/resource/bitmap/s.java                                                                                                                                      com/bumptech/glide/load/resource/bitmap/z.java                                                                                                                                      com/bumptech/glide/manager/e.java                                                                                                                                      com/bumptech/glide/manager/p.java                                                                                                                                      com/bumptech/glide/manager/q.java                                                                                                                                      com/bumptech/glide/request/SingleRequest.java                                                                                                                                      com/eclipsesource/v8/debug/V8DebugServer.java                                                                                                                                      com/idemia/deviceagent/transaction/model/GsonAdaptersAbstractTransactionLog.java                                                                                                                                      com/idemia/deviceagent/transaction/model/TransactionLog.java                                                                                                                                      com/mapbox/common/CommonSdkLog.java                                                                                                                                      com/mapbox/common/CoreInitializer.java                                                                                                                                      com/mapbox/common/LifecycleMonitorAndroid.java                                                                                                                                      com/mapbox/common/LifecycleUtils.java                                                                                                                                      com/mapbox/common/Logger.java                                                                                                                                      com/mapbox/common/MapboxMapsAndroidLogger.java                                                                                                                                      com/mapbox/common/MmeTelemetryProperties.java                                                                                                                                      com/mapbox/common/RunloopErrorHandler.java                                                                                                                                      com/mapbox/common/SettingsServiceHelper.java                                                                                                                                      com/mapbox/common/ValueUtilsKt.java                                                                                                                                      com/mapbox/maps/extension/style/utils/ColorUtils.java                                                                                                                                      com/wdullaer/materialdatetimepicker/date/DayPickerView.java                                                                                                                                      d1/d.java                                                                                                                                      et/j.java                                                                                                                                      f1/d.java                                                                                                                                      f1/k.java                                                                                                                                      iv/a.java                                                                                                                                      j1/a.java                                                                                                                                      jp/co/denso/dklib/DKLib.java                                                                                                                                      k/c.java                                                                                                                                      m2/NdkCrashLog.java                                                                                                                                      net/sqlcipher/database/SQLiteDatabase.java                                                                                                                                      net/sqlcipher/database/SQLiteDebug.java                                                                                                                                      net/sqlcipher/database/SQLiteQueryBuilder.java                                                                                                                                      o0/a.java                                                                                                                                      ob/a.java                                                                                                                                      oneapp/utilsnative/extensions/n.java                                                                                                                                      org/joda/time/tz/DateTimeZoneBuilder.java                                                                                                                                      org/slf4j/helpers/Util.java                                                                                                                                      p0/d.java                                                                                                                                      p0/e.java                                                                                                                                      r/DeviceLog.java                                                                                                                                      r0/c.java                                                                                                                                      r0/e.java                                                                                                                                      rx/internal/util/IndexedRingBuffer.java                                                                                                                                      rx/internal/util/RxRingBuffer.java                                                                                                                                      rx/plugins/RxJavaHooks.java                                                                                                                                      s0/i.java                                                                                                                                      s0/j.java                                                                                                                                      t0/e.java                                                                                                                                      t0/i.java                                                                                                                                      u0/a.java                                                                                                                                      v0/c.java                                                                                                                                      v0/d.java                                                                                                                                      v0/g.java                                                                                                                                      v0/t.java                                                                                                                                      v0/u.java                                                                                                                                      v0/v.java                                                                                                                                      x0/h.java","Suppress the rule android_logging in com.toyota.oneapp.eu                         Suppress the rule android_logging in com.toyota.oneapp.eu only from these files"
"2","App uses SQLite Database and execute raw SQL query. Untrusted user input in raw SQL queries can cause SQL Injection. Also sensitive information should be encrypted and written to the database.","warning","CWE: CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')                        OWASP Top 10: M7: Client Code Quality","Show Files                                                                                                                                com/apptentive/android/sdk/storage/ApptentiveDatabaseHelper.java                                                                                                                                      com/apptentive/android/sdk/storage/DatabaseMigratorV1.java                                                                                                                                      com/apptentive/android/sdk/storage/DatabaseMigratorV2.java                                                                                                                                      com/apptentive/android/sdk/storage/DatabaseMigratorV3.java                                                                                                                                      com/lokalise/sdk/storage/sqlite/SdkDbDaoImpl.java                                                                                                                                      com/optimizely/ab/android/event_handler/e.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/a.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/b.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/c.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/e.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/f.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/g.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/h.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/i.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/j.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/k.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/l.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/m.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/upgrades/a.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/upgrades/b.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/upgrades/c.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/upgrades/d.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/upgrades/e.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/upgrades/f.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/upgrades/g.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/upgrades/h.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/upgrades/i.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/upgrades/j.java                                                                                                                                      net/sqlcipher/DatabaseUtils.java                                                                                                                                      net/sqlcipher/database/SQLiteDatabase.java","Suppress the rule android_sql_raw_query in com.toyota.oneapp.eu                         Suppress the rule android_sql_raw_query in com.toyota.oneapp.eu only from these files"
"3","This App uses SQL Cipher. SQLCipher provides 256-bit AES encryption to sqlite database files.","info","OWASP MASVS: MSTG-CRYPTO-1","i/a.java                                                                                                                            net/sqlcipher/database/SupportHelper.java","Suppress the rule android_sql_cipher_aes256 in com.toyota.oneapp.eu                         Suppress the rule android_sql_cipher_aes256 in com.toyota.oneapp.eu only from these files"
"4","Files may contain hardcoded sensitive information like usernames, passwords, keys etc.","warning","CWE: CWE-312: Cleartext Storage of Sensitive Information                        OWASP Top 10: M9: Reverse Engineering                        OWASP MASVS: MSTG-STORAGE-14","Show Files                                                                                                                                ar/RawTextSource.java                                                                                                                                      bi/ConsentDomainPurpose.java                                                                                                                                      com/abb/junoappsdk/model/TokenProfile.java                                                                                                                                      com/abb/junoappsdk/network/http/model/AbbOAuth2Response.java                                                                                                                                      com/abb/junoappsdk/network/http/model/GetBluetoothSessionKey.java                                                                                                                                      com/apptentive/android/sdk/conversation/ConversationMetadataItem.java                                                                                                                                      com/bumptech/glide/load/engine/c.java                                                                                                                                      com/bumptech/glide/load/engine/n.java                                                                                                                                      com/bumptech/glide/load/engine/u.java                                                                                                                                      com/datadog/android/rum/internal/domain/scope/e.java                                                                                                                                      com/datadog/trace/api/Config.java                                                                                                                                      com/idemia/deviceagent/iotc/model/payloads/payloadValues/DeactivationDataPayloadValueDTO.java                                                                                                                                      com/idemia/keyless/core/vehicle/message/handshake/vdp/r0.java                                                                                                                                      com/idemia/keyless/core/vehicle/message/handshake/vdp/v0.java                                                                                                                                      com/idemia/keyless/core/vehicle/message/handshake/vdp/x0.java                                                                                                                                      com/lokalise/sdk/LokaliseResources.java                                                                                                                                      com/lokalise/sdk/api/poko/Translation.java                                                                                                                                      com/lokalise/sdk/storage/sqlite/SdkDbDaoImpl.java                                                                                                                                      com/lokalise/sdk/storage/sqlite/Table.java                                                                                                                                      com/lokalise/sdk/storage/sqlite/model/SdkTranslation.java                                                                                                                                      com/mapbox/common/MmeTelemetryProperties.java                                                                                                                                      com/mapbox/common/location/GoogleLiveTrackingClient.java                                                                                                                                      com/mapbox/maps/ThreadChecker.java                                                                                                                                      com/mapbox/maps/plugin/animation/MapAnimationOwnerRegistry.java                                                                                                                                      com/mapbox/maps/plugin/annotation/generated/CircleAnnotation.java                                                                                                                                      com/mapbox/maps/plugin/annotation/generated/CircleAnnotationOptions.java                                                                                                                                      com/mapbox/maps/plugin/annotation/generated/PointAnnotation.java                                                                                                                                      com/mapbox/maps/plugin/annotation/generated/PointAnnotationOptions.java                                                                                                                                      com/mapbox/maps/plugin/annotation/generated/PolygonAnnotation.java                                                                                                                                      com/mapbox/maps/plugin/annotation/generated/PolygonAnnotationOptions.java                                                                                                                                      com/mapbox/maps/plugin/annotation/generated/PolylineAnnotation.java                                                                                                                                      com/mapbox/maps/plugin/annotation/generated/PolylineAnnotationOptions.java                                                                                                                                      com/optimizely/ab/config/Attribute.java                                                                                                                                      com/optimizely/ab/config/DatafileProjectConfig.java                                                                                                                                      com/optimizely/ab/config/EventType.java                                                                                                                                      com/optimizely/ab/config/Experiment.java                                                                                                                                      com/optimizely/ab/config/FeatureFlag.java                                                                                                                                      com/optimizely/ab/config/FeatureVariable.java                                                                                                                                      com/optimizely/ab/config/Variation.java                                                                                                                                      com/optimizely/ab/event/internal/payload/DecisionMetadata.java                                                                                                                                      com/optimizely/ab/notification/h.java                                                                                                                                      com/salesforce/marketingcloud/events/Rule.java                                                                                                                                      com/salesforce/marketingcloud/events/Trigger.java                                                                                                                                      com/salesforce/marketingcloud/registration/Registration.java                                                                                                                                      com/toyota/oneapp/digitalkey/ui/receivedshare/DigitalKeyReceivedShareDialogFragmentArguments.java                                                                                                                                      com/toyota/oneapp/domainoneapp/account/IDPTokenExchangeRequest.java                                                                                                                                      com/toyota/oneapp/domainoneapp/combineddataconsent/SubscriptionDecline.java                                                                                                                                      com/toyota/oneapp/domainoneapp/subscription/RSATokenResponsePayload.java                                                                                                                                      com/toyota/oneapp/domainoneapp/vehicle/Features.java                                                                                                                                      com/toyota/oneapp/ui/consents/details/adapter/ConsentItem.java                                                                                                                                      com/toyota/oneapp/ui/consents/parcel/ConsentDomainPurposeParcel.java                                                                                                                                      com/toyota/oneapp/ui/garage/viewmodel/WebPaymentViewModel.java                                                                                                                                      com/toyota/oneapp/ui/notification/settings/adapter/d.java                                                                                                                                      com/toyota/oneapp/ui/olddashboard/digitalkey/DashboardDigitalKeyGuestInvitesVM.java                                                                                                                                      com/toyota/oneapp/ui/vehiclestatus/adapter/a.java                                                                                                                                      io/reactivex/internal/schedulers/SchedulerPoolFactory.java                                                                                                                                      io/reactivex/rxjava3/internal/schedulers/SchedulerPoolFactory.java                                                                                                                                      jp/co/denso/dklib/DKLogRegstration.java                                                                                                                                      jp/co/denso/dklib/DKSettings.java                                                                                                                                      oi/IFrameMetadata.java                                                                                                                                      oi/IFrameParams.java                                                                                                                                      oneapp/app/ui/support/supportform/a.java                                                                                                                                      oneapp/domain/appfeatures/AppFeature.java                                                                                                                                      oneapp/domain/dto/garage/OrdersList.java                                                                                                                                      oneapp/domain/internal/climate/ClimateType.java                                                                                                                                      oneapp/framework/db/entities/notification/NotificationBadgeEntity.java                                                                                                                                      oneapp/framework/network/f.java                                                                                                                                      oneapp/framework/network/models/Attributes.java                                                                                                                                      oneapp/framework/network/models/Step.java                                                                                                                                      oneapp/framework/network/models/payments/IFrameMetadataResponse.java                                                                                                                                      oneapp/framework/sources/preferences/old/SingletonPreferenceModel.java                                                                                                                                      oneapp/usecases/support/supportform/SupportFormState.java                                                                                                                                      oneapp/utilsnative/NativeConstants.java                                                                                                                                      org/forgerock/android/auth/UserInfo.java                                                                                                                                      org/forgerock/android/auth/ui/entity/ConstantsKt.java                                                                                                                                      org/forgerock/android/auth/ui/interceptor/PasswordInterceptorKt.java                                                                                                                                      org/forgerock/android/auth/ui/page/FRConstant.java                                                                                                                                      org/forgerock/android/auth/ui/page/signin/InputPasswordPageFragment.java                                                                                                                                      q0/d.java                                                                                                                                      r/CDBleBaseRequestOptions.java                                                                                                                                      r/CDBleBaseResponseOptions.java                                                                                                                                      r/QueryApnConfigurationResponseBody.java                                                                                                                                      r/QueryWifiConfigurationResponseBody.java                                                                                                                                      rx/internal/schedulers/NewThreadWorker.java                                                                                                                                      s7/d.java                                                                                                                                      s7/f.java                                                                                                                                      w7/d.java                                                                                                                                      x/SdkBluetoothSessionKey.java                                                                                                                                      yc/b.java","Suppress the rule android_hardcoded in com.toyota.oneapp.eu                         Suppress the rule android_hardcoded in com.toyota.oneapp.eu only from these files"
"5","IP Address disclosure","warning","CWE: CWE-200: Information Exposure                                               OWASP MASVS: MSTG-CODE-2","Show Files                                                                                                                                com/nimbusds/jose/jwk/Curve.java                                                                                                                                      mr/b.java                                                                                                                                      pr/a.java                                                                                                                                      qo/a.java                                                                                                                                      rr/a.java                                                                                                                                      sr/b.java                                                                                                                                      tr/a.java                                                                                                                                      ts/e.java                                                                                                                                      ur/a.java                                                                                                                                      vr/a.java                                                                                                                                      wr/b.java                                                                                                                                      xr/b.java                                                                                                                                      zr/j.java","Suppress the rule android_ip_disclosure in com.toyota.oneapp.eu                         Suppress the rule android_ip_disclosure in com.toyota.oneapp.eu only from these files"
"6","This App uses SSL certificate pinning to detect or  prevent MITM attacks in secure communication channel.","secure","OWASP MASVS: MSTG-NETWORK-4","Show Files                                                                                                                                b6/a.java                                                                                                                                      com/idemia/deviceagent/api/internal/c.java                                                                                                                                      com/idemia/deviceagent/api/log/b.java                                                                                                                                      com/lokalise/sdk/api/RetrofitInitImpl.java                                                                                                                                      com/mapbox/common/module/okhttp/CertificatePinnerFactory.java                                                                                                                                      oneapp/framework/di/NetworkModuleKt.java                                                                                                                                      oneapp/framework/network/a.java                                                                                                                                      org/forgerock/android/auth/OkHttpClientProvider.java                                                                                                                                      u4/w.java                                                                                                                                      v4/g.java                                                                                                                                      x4/b.java                                                                                                                                      y/b.java","Suppress the rule android_ssl_pinning in com.toyota.oneapp.eu                         Suppress the rule android_ssl_pinning in com.toyota.oneapp.eu only from these files"
"7","This App may request root (Super User) privileges.","warning","CWE: CWE-250: Execution with Unnecessary Privileges                                               OWASP MASVS: MSTG-RESILIENCE-1","Show Files                                                                                                                                com/toyota/oneapp/util/p.java                                                                                                                                      kb/d.java                                                                                                                                      org/forgerock/android/auth/detector/RootAppDetector.java                                                                                                                                      org/forgerock/android/auth/detector/RootCloakingAppDetector.java","Suppress the rule android_su_detect in com.toyota.oneapp.eu                         Suppress the rule android_su_detect in com.toyota.oneapp.eu only from these files"
"8","App can read/write to External Storage. Any App can read data written to External Storage.","warning","CWE: CWE-276: Incorrect Default Permissions                        OWASP Top 10: M2: Insecure Data Storage                        OWASP MASVS: MSTG-STORAGE-2","Show Files                                                                                                                                com/apptentive/android/sdk/util/Util.java                                                                                                                                      com/apptentive/android/sdk/util/image/ImageGridViewAdapter.java                                                                                                                                      com/gkemon/xmltopdf/custom/OAPdfGenerator.java                                                                                                                                      j4/d.java                                                                                                                                      jp/co/denso/dklib/DebugLog.java                                                                                                                                      jp/co/denso/dklib/DeviceAgentLog.java","Suppress the rule android_read_write_external in com.toyota.oneapp.eu                         Suppress the rule android_read_write_external in com.toyota.oneapp.eu only from these files"
"9","App can write to App Directory. Sensitive Information should be encrypted.","info","CWE: CWE-276: Incorrect Default Permissions                                               OWASP MASVS: MSTG-STORAGE-14","com/lokalise/sdk/storage/preferences/LokaliseInstallationInfo.java                                                                                                                            q5/a.java","Suppress the rule android_write_app_dir in com.toyota.oneapp.eu                         Suppress the rule android_write_app_dir in com.toyota.oneapp.eu only from these files"
"10","The App uses an insecure Random Number Generator.","warning","CWE: CWE-330: Use of Insufficiently Random Values                        OWASP Top 10: M5: Insufficient Cryptography                        OWASP MASVS: MSTG-CRYPTO-6","Show Files                                                                                                                                com/apptentive/android/sdk/module/engagement/logic/DefaultRandomPercentProvider.java                                                                                                                                      com/apptentive/android/sdk/module/engagement/notification/NoteInteractionNotificationAdapter.java                                                                                                                                      com/apptentive/android/sdk/network/HttpRequestRetryPolicyDefault.java                                                                                                                                      com/datadog/android/tracing/a.java                                                                                                                                      com/datadog/opentracing/StringCachingBigInteger.java                                                                                                                                      com/datadog/opentracing/c.java                                                                                                                                      jp/co/denso/dklib/DKSettings.java                                                                                                                                      ms/c.java                                                                                                                                      ms/d.java                                                                                                                                      org/forgerock/android/auth/collector/DeviceIdentifier.java                                                                                                                                      ss/c.java","Suppress the rule android_insecure_random in com.toyota.oneapp.eu                         Suppress the rule android_insecure_random in com.toyota.oneapp.eu only from these files"
