"NO","ISSUE","SEVERITY","DESCRIPTION","OPTIONS"
"1","App can be installed on a vulnerable Android versionAndroid 9, minSdk=28]","warning","This application can be installed on an older version of android that has multiple vulnerabilities. Support an Android version => 10, API 29 to receive reasonable security updates.","Suppression the rule vulnerable_os_version2 in de.myaudi.mobile.assistant"
"2","Clear text traffic is Enabled For App[android:usesCleartextTraffic=true]","high","The app intends to use cleartext network traffic, such as cleartext HTTP, FTP stacks, DownloadManager, and MediaPlayer. The default value for apps that target API level 27 or lower is ""true"". Apps that target API level 28 or higher default to ""false"". The key reason for avoiding cleartext traffic is the lack of confidentiality, authenticity, and protections against tampering; a network attacker can eavesdrop on transmitted data and also modify it without being detected.","Suppression the rule clear_text_traffic in de.myaudi.mobile.assistant"
"3","App has a Network Security Configuration[android:networkSecurityConfig=@xml/network_security_config]","info","The Network Security Configuration feature lets apps customize their network security settings in a safe, declarative configuration file without modifying app code. These settings can be configured for specific domains and for a specific app.","Suppression the rule has_network_security in de.myaudi.mobile.assistant"
"4","Broadcast Receiver (de.audi.onetouch.mobilekey.nfcevent.MobileKeyNFCBroadcastReceiver) is not Protected. [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule receiver_explicitly_exported in de.myaudi.mobile.assistant"
"5","Broadcast Receiver (de.audi.onetouch.util.appupdate.AppUpdateManager) is not Protected. [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule receiver_explicitly_exported in de.myaudi.mobile.assistant"
"6","Service (de.audi.onetouch.mobilekey.cardemulation.OffHostEmulationService) is Protected by a permission, but the protection level of the permission should be checked.Permission: android.permission.BIND_NFC_SERVICE [android:exported=true]","warning","A Service is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.","Suppression the rule service_exported_protected_permission_not_defined in de.myaudi.mobile.assistant"
"7","Activity (com.amazon.identity.auth.device.workflow.WorkflowActivity) is not Protected. [android:exported=true]","warning","An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule activity_explicitly_exported in de.myaudi.mobile.assistant"
"8","Activity (de.audi.onetouch.ShareOverlayActivity) is not Protected. [android:exported=true]","warning","An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule activity_explicitly_exported in de.myaudi.mobile.assistant"
"9","Broadcast Receiver (de.audi.onetouch.widgets.vehiclestatus.VehicleStatusWidgetProvider) is not Protected. [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule receiver_explicitly_exported in de.myaudi.mobile.assistant"
"10","Service (com.google.android.gms.nearby.exposurenotification.WakeUpService) is Protected by a permission, but the protection level of the permission should be checked.Permission: com.google.android.gms.nearby.exposurenotification.EXPOSURE_CALLBACK [android:exported=true]","warning","A Service is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.","Suppression the rule service_exported_protected_permission_not_defined in de.myaudi.mobile.assistant"
