"NO","ISSUE","SEVERITY","STANDARDS","FILES","OPTIONS"
"1","The App logs information. Sensitive information should never be logged.","info","CWE: CWE-532: Insertion of Sensitive Information into Log File                                               OWASP MASVS: MSTG-STORAGE-3","Show Files                                                                                                                                com/adobe/marketing/mobile/Analytics.java                                                                                                                                      com/adobe/marketing/mobile/Assurance.java                                                                                                                                      com/adobe/marketing/mobile/CompletionCallbacksManager.java                                                                                                                                      com/adobe/marketing/mobile/Edge.java                                                                                                                                      com/adobe/marketing/mobile/EdgeConsentUpdate.java                                                                                                                                      com/adobe/marketing/mobile/EdgeDataEntity.java                                                                                                                                      com/adobe/marketing/mobile/EdgeExtension.java                                                                                                                                      com/adobe/marketing/mobile/EdgeHitProcessor.java                                                                                                                                      com/adobe/marketing/mobile/EdgeNetworkService.java                                                                                                                                      com/adobe/marketing/mobile/EdgeProperties.java                                                                                                                                      com/adobe/marketing/mobile/EdgeRequest.java                                                                                                                                      com/adobe/marketing/mobile/EdgeState.java                                                                                                                                      com/adobe/marketing/mobile/Event.java                                                                                                                                      com/adobe/marketing/mobile/ExperienceEvent.java                                                                                                                                      com/adobe/marketing/mobile/ExtensionDiscovery.java                                                                                                                                      com/adobe/marketing/mobile/Identity.java                                                                                                                                      com/adobe/marketing/mobile/KonductorConfig.java                                                                                                                                      com/adobe/marketing/mobile/LifecycleTracker.java                                                                                                                                      com/adobe/marketing/mobile/MobileCore.java                                                                                                                                      com/adobe/marketing/mobile/MobileCoreInitializer$setApplication$1.java                                                                                                                                      com/adobe/marketing/mobile/MobileCoreInitializer$special$$inlined$CoroutineExceptionHandler$1.java                                                                                                                                      com/adobe/marketing/mobile/MobileCoreInitializer.java                                                                                                                                      com/adobe/marketing/mobile/NetworkResponseHandler.java                                                                                                                                      com/adobe/marketing/mobile/RequestBuilder.java                                                                                                                                      com/adobe/marketing/mobile/StateMetadata.java                                                                                                                                      com/adobe/marketing/mobile/StoreResponsePayload.java                                                                                                                                      com/adobe/marketing/mobile/StoreResponsePayloadManager.java                                                                                                                                      com/adobe/marketing/mobile/UserProfile.java                                                                                                                                      com/adobe/marketing/mobile/Utils.java                                                                                                                                      com/adobe/marketing/mobile/VisitorID.java                                                                                                                                      com/adobe/marketing/mobile/analytics/internal/AnalyticsDatabase.java                                                                                                                                      com/adobe/marketing/mobile/analytics/internal/AnalyticsExtension.java                                                                                                                                      com/adobe/marketing/mobile/analytics/internal/AnalyticsHitProcessor.java                                                                                                                                      com/adobe/marketing/mobile/analytics/internal/AnalyticsState.java                                                                                                                                      com/adobe/marketing/mobile/analytics/internal/ContextDataUtil.java                                                                                                                                      com/adobe/marketing/mobile/analytics/internal/TimerState.java                                                                                                                                      com/adobe/marketing/mobile/assurance/internal/AssuranceBlob.java                                                                                                                                      com/adobe/marketing/mobile/assurance/internal/AssuranceClientInfo.java                                                                                                                                      com/adobe/marketing/mobile/assurance/internal/AssuranceComponentRegistry.java                                                                                                                                      com/adobe/marketing/mobile/assurance/internal/AssuranceConnectionDataStore.java                                                                                                                                      com/adobe/marketing/mobile/assurance/internal/AssuranceExtension.java                                                                                                                                      com/adobe/marketing/mobile/assurance/internal/AssuranceIOUtils.java                                                                                                                                      com/adobe/marketing/mobile/assurance/internal/AssuranceListenerHubPlacesRequests.java                                                                                                                                      com/adobe/marketing/mobile/assurance/internal/AssuranceListenerHubPlacesResponses.java                                                                                                                                      com/adobe/marketing/mobile/assurance/internal/AssurancePluginConfigSwitcher.java                                                                                                                                      com/adobe/marketing/mobile/assurance/internal/AssurancePluginFakeEventGenerator.java                                                                                                                                      com/adobe/marketing/mobile/assurance/internal/AssurancePluginLogForwarder.java                                                                                                                                      com/adobe/marketing/mobile/assurance/internal/AssurancePluginManager.java                                                                                                                                      com/adobe/marketing/mobile/assurance/internal/AssurancePluginScreenshot.java                                                                                                                                      com/adobe/marketing/mobile/assurance/internal/AssuranceSession.java                                                                                                                                      com/adobe/marketing/mobile/assurance/internal/AssuranceSessionOrchestrator.java                                                                                                                                      com/adobe/marketing/mobile/assurance/internal/AssuranceSharedStateManager.java                                                                                                                                      com/adobe/marketing/mobile/assurance/internal/AssuranceStateManager.java                                                                                                                                      com/adobe/marketing/mobile/assurance/internal/AssuranceWebViewSocket.java                                                                                                                                      com/adobe/marketing/mobile/assurance/internal/EventQueueWorker.java                                                                                                                                      com/adobe/marketing/mobile/assurance/internal/EventStitcher.java                                                                                                                                      com/adobe/marketing/mobile/assurance/internal/InboundEventQueueWorker.java                                                                                                                                      com/adobe/marketing/mobile/assurance/internal/OutboundEventQueueWorker.java                                                                                                                                      com/adobe/marketing/mobile/assurance/internal/QuickConnectDeviceCreator.java                                                                                                                                      com/adobe/marketing/mobile/assurance/internal/QuickConnectManager.java                                                                                                                                      com/adobe/marketing/mobile/assurance/internal/SessionUIOperationHandler.java                                                                                                                                      com/adobe/marketing/mobile/assurance/internal/ui/floatingbutton/AssuranceFloatingButton.java                                                                                                                                      com/adobe/marketing/mobile/assurance/internal/ui/quickconnect/QuickConnectScreenKt.java                                                                                                                                      com/adobe/marketing/mobile/edge/consent/Consent.java                                                                                                                                      com/adobe/marketing/mobile/edge/consent/ConsentExtension.java                                                                                                                                      com/adobe/marketing/mobile/edge/consent/ConsentManager.java                                                                                                                                      com/adobe/marketing/mobile/edge/consent/Utils.java                                                                                                                                      com/adobe/marketing/mobile/edge/identity/ECID.java                                                                                                                                      com/adobe/marketing/mobile/edge/identity/Identity.java                                                                                                                                      com/adobe/marketing/mobile/edge/identity/IdentityExtension.java                                                                                                                                      com/adobe/marketing/mobile/edge/identity/IdentityItem.java                                                                                                                                      com/adobe/marketing/mobile/edge/identity/IdentityMap.java                                                                                                                                      com/adobe/marketing/mobile/edge/identity/IdentityProperties.java                                                                                                                                      com/adobe/marketing/mobile/edge/identity/IdentityState.java                                                                                                                                      com/adobe/marketing/mobile/edge/identity/IdentityStorageManager.java                                                                                                                                      com/adobe/marketing/mobile/edge/identity/URLUtils.java                                                                                                                                      com/adobe/marketing/mobile/identity/IdentityExtension.java                                                                                                                                      com/adobe/marketing/mobile/identity/IdentityHitsProcessing.java                                                                                                                                      com/adobe/marketing/mobile/internal/DataMarshaller.java                                                                                                                                      com/adobe/marketing/mobile/internal/configuration/ConfigurationDownloader.java                                                                                                                                      com/adobe/marketing/mobile/internal/configuration/ConfigurationExtension.java                                                                                                                                      com/adobe/marketing/mobile/internal/configuration/ConfigurationRulesManager.java                                                                                                                                      com/adobe/marketing/mobile/internal/configuration/ConfigurationStateManager.java                                                                                                                                      com/adobe/marketing/mobile/internal/eventhub/EventHub$dispatchJob$1.java                                                                                                                                      com/adobe/marketing/mobile/internal/eventhub/EventHub.java                                                                                                                                      com/adobe/marketing/mobile/internal/eventhub/ExtensionContainer.java                                                                                                                                      com/adobe/marketing/mobile/internal/eventhub/ExtensionExtKt.java                                                                                                                                      com/adobe/marketing/mobile/internal/eventhub/ExtensionListenerContainer.java                                                                                                                                      com/adobe/marketing/mobile/internal/eventhub/ResponseListenerContainer.java                                                                                                                                      com/adobe/marketing/mobile/internal/eventhub/history/AndroidEventHistory.java                                                                                                                                      com/adobe/marketing/mobile/internal/eventhub/history/AndroidEventHistoryDatabase.java                                                                                                                                      com/adobe/marketing/mobile/internal/migration/V4Migrator.java                                                                                                                                      com/adobe/marketing/mobile/internal/util/FileUtils.java                                                                                                                                      com/adobe/marketing/mobile/internal/util/SQLiteDatabaseHelper.java                                                                                                                                      com/adobe/marketing/mobile/internal/util/UrlEncoder.java                                                                                                                                      com/adobe/marketing/mobile/launch/rulesengine/HistoricalEventsQueryingKt.java                                                                                                                                      com/adobe/marketing/mobile/launch/rulesengine/LaunchRulesConsequence.java                                                                                                                                      com/adobe/marketing/mobile/launch/rulesengine/LaunchTokenFinder.java                                                                                                                                      com/adobe/marketing/mobile/launch/rulesengine/download/RulesLoader.java                                                                                                                                      com/adobe/marketing/mobile/launch/rulesengine/download/RulesZipProcessingHelper.java                                                                                                                                      com/adobe/marketing/mobile/launch/rulesengine/json/GroupCondition.java                                                                                                                                      com/adobe/marketing/mobile/launch/rulesengine/json/HistoricalCondition.java                                                                                                                                      com/adobe/marketing/mobile/launch/rulesengine/json/JSONCondition.java                                                                                                                                      com/adobe/marketing/mobile/launch/rulesengine/json/JSONConsequence.java                                                                                                                                      com/adobe/marketing/mobile/launch/rulesengine/json/JSONRule.java                                                                                                                                      com/adobe/marketing/mobile/launch/rulesengine/json/JSONRuleRoot.java                                                                                                                                      com/adobe/marketing/mobile/launch/rulesengine/json/JSONRulesParser.java                                                                                                                                      com/adobe/marketing/mobile/launch/rulesengine/json/MatcherCondition.java                                                                                                                                      com/adobe/marketing/mobile/lifecycle/LifecycleExtension.java                                                                                                                                      com/adobe/marketing/mobile/lifecycle/LifecycleMetricsBuilder.java                                                                                                                                      com/adobe/marketing/mobile/lifecycle/LifecycleSession.java                                                                                                                                      com/adobe/marketing/mobile/lifecycle/LifecycleState.java                                                                                                                                      com/adobe/marketing/mobile/lifecycle/LifecycleTimerState.java                                                                                                                                      com/adobe/marketing/mobile/lifecycle/LifecycleV2DataStoreCache.java                                                                                                                                      com/adobe/marketing/mobile/lifecycle/LifecycleV2MetricsBuilder.java                                                                                                                                      com/adobe/marketing/mobile/lifecycle/XDMLifecycleApplication.java                                                                                                                                      com/adobe/marketing/mobile/lifecycle/XDMLifecycleEnvironment.java                                                                                                                                      com/adobe/marketing/mobile/reactnative/RCTAEPCoreModule.java                                                                                                                                      com/adobe/marketing/mobile/reactnative/edge/RCTAEPEdgeDataBridge.java                                                                                                                                      com/adobe/marketing/mobile/services/AndroidLoggingService.java                                                                                                                                      com/adobe/marketing/mobile/services/DataQueueService.java                                                                                                                                      com/adobe/marketing/mobile/services/DeviceInfoService.java                                                                                                                                      com/adobe/marketing/mobile/services/HttpConnection.java                                                                                                                                      com/adobe/marketing/mobile/services/HttpConnectionHandler.java                                                                                                                                      com/adobe/marketing/mobile/services/LocalDataStoreService.java                                                                                                                                      com/adobe/marketing/mobile/services/NetworkService.java                                                                                                                                      com/adobe/marketing/mobile/services/SQLiteDataQueue.java                                                                                                                                      com/adobe/marketing/mobile/services/SharedPreferencesNamedCollection.java                                                                                                                                      com/adobe/marketing/mobile/services/internal/caching/CacheFileManager.java                                                                                                                                      com/adobe/marketing/mobile/services/internal/caching/FileCacheService.java                                                                                                                                      com/adobe/marketing/mobile/services/ui/AEPUIService$special$$inlined$CoroutineExceptionHandler$1.java                                                                                                                                      com/adobe/marketing/mobile/services/ui/common/AEPPresentable$dismiss$1.java                                                                                                                                      com/adobe/marketing/mobile/services/ui/common/AEPPresentable$hide$1.java                                                                                                                                      com/adobe/marketing/mobile/services/ui/common/AEPPresentable$show$1.java                                                                                                                                      com/adobe/marketing/mobile/services/ui/common/AEPPresentable.java                                                                                                                                      com/adobe/marketing/mobile/services/ui/message/DefaultInAppMessageEventHandler$handleJavascriptMessage$1.java                                                                                                                                      com/adobe/marketing/mobile/services/ui/message/DefaultInAppMessageEventHandler.java                                                                                                                                      com/adobe/marketing/mobile/services/ui/message/views/MessageContentKt.java                                                                                                                                      com/adobe/marketing/mobile/services/ui/message/views/MessageFrameKt.java                                                                                                                                      com/adobe/marketing/mobile/services/uri/UriService.java                                                                                                                                      com/adobe/marketing/mobile/signal/internal/SignalExtension.java                                                                                                                                      com/adobe/marketing/mobile/signal/internal/SignalHitProcessor.java                                                                                                                                      com/adobe/marketing/mobile/userprofile/JSONUtils.java                                                                                                                                      com/adobe/marketing/mobile/userprofile/ProfileData.java                                                                                                                                      com/adobe/marketing/mobile/userprofile/UserProfileExtension.java                                                                                                                                      com/adobe/marketing/mobile/util/SQLiteUtils.java                                                                                                                                      com/adobe/marketing/mobile/util/SerialWorkDispatcher.java                                                                                                                                      com/adobe/marketing/mobile/util/StringEncoder.java                                                                                                                                      com/adobe/marketing/mobile/util/URLBuilder.java                                                                                                                                      com/calendarevents/RNCalendarEvents.java                                                                                                                                      com/henninghall/date_picker/DerivedData.java                                                                                                                                      com/henninghall/date_picker/pickers/AndroidNative.java                                                                                                                                      com/horcrux/svg/Brush.java                                                                                                                                      com/horcrux/svg/ClipPathView.java                                                                                                                                      com/horcrux/svg/FilterView.java                                                                                                                                      com/horcrux/svg/ImageView.java                                                                                                                                      com/horcrux/svg/LinearGradientView.java                                                                                                                                      com/horcrux/svg/PatternView.java                                                                                                                                      com/horcrux/svg/RadialGradientView.java                                                                                                                                      com/horcrux/svg/SvgViewManager.java                                                                                                                                      com/horcrux/svg/UseView.java                                                                                                                                      com/horcrux/svg/VirtualView.java                                                                                                                                      com/learnium/RNDeviceInfo/RNDeviceModule.java                                                                                                                                      com/learnium/RNDeviceInfo/RNInstallReferrerClient.java                                                                                                                                      com/learnium/RNDeviceInfo/resolver/DeviceIdResolver.java                                                                                                                                      com/oblador/keychain/KeychainModule.java                                                                                                                                      com/oblador/keychain/cipherStorage/CipherStorageBase.java                                                                                                                                      com/oblador/keychain/cipherStorage/CipherStorageFacebookConceal.java                                                                                                                                      com/oblador/keychain/cipherStorage/CipherStorageKeystoreAesCbc.java                                                                                                                                      com/oblador/keychain/cipherStorage/CipherStorageKeystoreRsaEcb.java                                                                                                                                      com/oblador/keychain/decryptionHandler/DecryptionResultHandlerInteractiveBiometric.java                                                                                                                                      com/oblador/keychain/decryptionHandler/DecryptionResultHandlerInteractiveBiometricManualRetry.java                                                                                                                                      com/oblador/storereview/StoreReviewModuleImpl.java                                                                                                                                      com/reactnativecommunity/asyncstorage/AsyncLocalStorageUtil.java                                                                                                                                      com/reactnativecommunity/asyncstorage/AsyncStorageExpoMigration.java                                                                                                                                      com/reactnativecommunity/asyncstorage/AsyncStorageModule.java                                                                                                                                      com/reactnativecommunity/asyncstorage/ReactDatabaseSupplier.java                                                                                                                                      com/reactnativecommunity/geolocation/AndroidLocationManager.java                                                                                                                                      com/reactnativecommunity/geolocation/PlayServicesLocationManager.java                                                                                                                                      com/reactnativecommunity/webview/RNCWebView.java                                                                                                                                      com/reactnativecommunity/webview/RNCWebViewClient.java                                                                                                                                      com/reactnativecommunity/webview/RNCWebViewManagerImpl.java                                                                                                                                      com/rnfs/Downloader.java                                                                                                                                      com/subaru/telematics/app/remote/MainActivity.java                                                                                                                                      com/swmansion/rnscreens/InsetsObserverProxy.java                                                                                                                                      com/swmansion/rnscreens/NativeProxy.java                                                                                                                                      com/swmansion/rnscreens/ScreenStackHeaderConfigViewManager.java                                                                                                                                      com/swmansion/rnscreens/ScreensModule.java                                                                                                                                      com/swmansion/rnscreens/SearchBarManager.java                                                                                                                                      com/swmansion/rnscreens/utils/ScreenDummyLayoutHelper.java                                                                                                                                      com/th3rdwave/safeareacontext/SafeAreaView.java                                                                                                                                      com/verint/xm/react/CustomDigitalListener.java                                                                                                                                      com/verint/xm/react/CustomInviteListener.java                                                                                                                                      com/verint/xm/react/CustomVerintSDKListener.java                                                                                                                                      com/verint/xm/react/VerintXMSdkModule.java                                                                                                                                      com/verint/xm/sdk/common/Logging.java                                                                                                                                      com/verint/xm/sdk/common/configuration/ConfigurationLoader.java                                                                                                                                      com/verint/xm/sdk/internal/PredictiveFacade.java                                                                                                                                      io/invertase/firebase/app/ReactNativeFirebaseApp.java                                                                                                                                      io/invertase/firebase/app/ReactNativeFirebaseAppModule.java                                                                                                                                      io/invertase/firebase/common/RCTConvertFirebase.java                                                                                                                                      io/invertase/firebase/common/ReactNativeFirebaseEventEmitter.java                                                                                                                                      io/invertase/firebase/common/SharedUtils.java                                                                                                                                      io/invertase/firebase/messaging/ReactNativeFirebaseMessagingModule.java                                                                                                                                      io/invertase/firebase/messaging/ReactNativeFirebaseMessagingReceiver.java                                                                                                                                      io/invertase/firebase/utils/ReactNativeFirebaseUtilsModule.java                                                                                                                                      net/time4j/android/ApplicationStarter.java                                                                                                                                      net/time4j/base/ResourceLoader.java                                                                                                                                      net/time4j/format/expert/ChronoFormatter.java                                                                                                                                      net/time4j/format/expert/CustomizedProcessor.java                                                                                                                                      net/time4j/format/expert/DecimalProcessor.java                                                                                                                                      net/time4j/format/expert/FormatStep.java                                                                                                                                      net/time4j/format/expert/FractionProcessor.java                                                                                                                                      net/time4j/format/expert/IgnorableWhitespaceProcessor.java                                                                                                                                      net/time4j/format/expert/Iso8601Format.java                                                                                                                                      net/time4j/format/expert/LiteralProcessor.java                                                                                                                                      net/time4j/format/expert/LocalizedGMTProcessor.java                                                                                                                                      net/time4j/format/expert/LookupProcessor.java                                                                                                                                      net/time4j/format/expert/MultiFormatParser.java                                                                                                                                      net/time4j/format/expert/NumberProcessor.java                                                                                                                                      net/time4j/format/expert/OrdinalProcessor.java                                                                                                                                      net/time4j/format/expert/SkipProcessor.java                                                                                                                                      net/time4j/format/expert/StyleProcessor.java                                                                                                                                      net/time4j/format/expert/TextProcessor.java                                                                                                                                      net/time4j/format/expert/TimezoneGenericProcessor.java                                                                                                                                      net/time4j/format/expert/TimezoneIDProcessor.java                                                                                                                                      net/time4j/format/expert/TimezoneNameProcessor.java                                                                                                                                      net/time4j/format/expert/TimezoneOffsetProcessor.java                                                                                                                                      net/time4j/format/expert/TwoDigitYearProcessor.java                                                                                                                                      net/time4j/i18n/WeekdataProviderSPI.java                                                                                                                                      net/time4j/tz/spi/ZoneNameProviderSPI.java","Suppress the rule android_logging in com.subaru.telematics.app.remote                         Suppress the rule android_logging in com.subaru.telematics.app.remote only from these files"
"2","Files may contain hardcoded sensitive information like usernames, passwords, keys etc.","warning","CWE: CWE-312: Cleartext Storage of Sensitive Information                        OWASP Top 10: M9: Reverse Engineering                        OWASP MASVS: MSTG-STORAGE-14","Show Files                                                                                                                                com/adobe/marketing/mobile/Assurance.java                                                                                                                                      com/adobe/marketing/mobile/EdgeConstants.java                                                                                                                                      com/adobe/marketing/mobile/EdgeDataEntity.java                                                                                                                                      com/adobe/marketing/mobile/EdgeJson.java                                                                                                                                      com/adobe/marketing/mobile/UserProfile.java                                                                                                                                      com/adobe/marketing/mobile/analytics/internal/AnalyticsConstants.java                                                                                                                                      com/adobe/marketing/mobile/assurance/internal/AssuranceConstants.java                                                                                                                                      com/adobe/marketing/mobile/assurance/internal/AssuranceListenerHubPlacesRequests.java                                                                                                                                      com/adobe/marketing/mobile/assurance/internal/AssuranceListenerHubPlacesResponses.java                                                                                                                                      com/adobe/marketing/mobile/edge/identity/IdentityConstants.java                                                                                                                                      com/adobe/marketing/mobile/identity/IdentityConstants.java                                                                                                                                      com/adobe/marketing/mobile/internal/AppResourceStore.java                                                                                                                                      com/adobe/marketing/mobile/internal/CoreConstants.java                                                                                                                                      com/adobe/marketing/mobile/internal/DataMarshaller.java                                                                                                                                      com/adobe/marketing/mobile/internal/configuration/ConfigurationExtension.java                                                                                                                                      com/adobe/marketing/mobile/internal/configuration/ConfigurationStateManager.java                                                                                                                                      com/adobe/marketing/mobile/internal/migration/MigrationConstants.java                                                                                                                                      com/adobe/marketing/mobile/launch/rulesengine/LaunchRulesConsequence.java                                                                                                                                      com/adobe/marketing/mobile/launch/rulesengine/json/JSONDefinition.java                                                                                                                                      com/adobe/marketing/mobile/lifecycle/LifecycleConstants.java                                                                                                                                      com/adobe/marketing/mobile/reactnative/RCTAEPCoreDataBridge.java                                                                                                                                      com/adobe/marketing/mobile/reactnative/RCTAEPCoreModule.java                                                                                                                                      com/adobe/marketing/mobile/reactnative/edge/RCTAEPEdgeDataBridge.java                                                                                                                                      com/adobe/marketing/mobile/reactnative/edgeidentity/RCTAEPEdgeIdentityDataBridge.java                                                                                                                                      com/adobe/marketing/mobile/userprofile/UserProfileConstants.java                                                                                                                                      com/oblador/keychain/KeychainModule.java                                                                                                                                      com/verint/xm/sdk/common/environment/Environment.java                                                                                                                                      com/verint/xm/sdk/common/storyEngine/enums/PredictiveKeys.java                                                                                                                                      com/verint/xm/sdk/rulesEngine/storage/a.java                                                                                                                                      io/invertase/firebase/common/TaskExecutorService.java                                                                                                                                      io/invertase/firebase/messaging/ReactNativeFirebaseMessagingHeadlessService.java                                                                                                                                      io/invertase/firebase/messaging/ReactNativeFirebaseMessagingSerializer.java                                                                                                                                      net/time4j/tz/spi/WinZoneProviderSPI.java","Suppress the rule android_hardcoded in com.subaru.telematics.app.remote                         Suppress the rule android_hardcoded in com.subaru.telematics.app.remote only from these files"
"3","App can write to App Directory. Sensitive Information should be encrypted.","info","CWE: CWE-276: Incorrect Default Permissions                                               OWASP MASVS: MSTG-STORAGE-14","com/verint/xm/sdk/PredictiveLaunchArgumentsHelper.java","Suppress the rule android_write_app_dir in com.subaru.telematics.app.remote                         Suppress the rule android_write_app_dir in com.subaru.telematics.app.remote only from these files"
"4","App can read/write to External Storage. Any App can read data written to External Storage.","warning","CWE: CWE-276: Incorrect Default Permissions                        OWASP Top 10: M2: Insecure Data Storage                        OWASP MASVS: MSTG-STORAGE-2","Show Files                                                                                                                                com/learnium/RNDeviceInfo/RNDeviceModule.java                                                                                                                                      com/reactnativecommunity/webview/RNCWebViewModuleImpl.java                                                                                                                                      com/rnfs/RNFSManager.java                                                                                                                                      com/verint/xm/sdk/common/LaunchArgumentsHelper.java                                                                                                                                      io/invertase/firebase/utils/ReactNativeFirebaseUtilsModule.java","Suppress the rule android_read_write_external in com.subaru.telematics.app.remote                         Suppress the rule android_read_write_external in com.subaru.telematics.app.remote only from these files"
"5","Insecure WebView Implementation. Execution of user controlled code in WebView is a critical Security Hole.","warning","CWE: CWE-749: Exposed Dangerous Method or Function                        OWASP Top 10: M1: Improper Platform Usage                        OWASP MASVS: MSTG-PLATFORM-7","Show Files                                                                                                                                com/adobe/marketing/mobile/assurance/internal/AssuranceWebViewSocket.java                                                                                                                                      com/verint/xm/sdk/common/storyEngine/webSdkInterface/WebSdkInterface.java                                                                                                                                      com/verint/xm/sdk/digital/view/DigitalActivity.java                                                                                                                                      com/verint/xm/sdk/predictive/tracker/app/survey/SurveyActivity.java","Suppress the rule android_webview in com.subaru.telematics.app.remote                         Suppress the rule android_webview in com.subaru.telematics.app.remote only from these files"
"6","The App uses an insecure Random Number Generator.","warning","CWE: CWE-330: Use of Insufficiently Random Values                        OWASP Top 10: M5: Insufficient Cryptography                        OWASP MASVS: MSTG-CRYPTO-6","Show Files                                                                                                                                com/adobe/marketing/mobile/services/ui/common/AEPPresentable.java                                                                                                                                      com/verint/xm/sdk/common/b.java                                                                                                                                      com/verint/xm/sdk/common/configuration/a.java                                                                                                                                      com/verint/xm/sdk/common/utils/UserSamplingSelection.java                                                                                                                                      com/verint/xm/sdk/predictive/tracker/NotificationWorker.java                                                                                                                                      com/verint/xm/sdk/predictive/tracker/services/NotificationServiceImpl.java","Suppress the rule android_insecure_random in com.subaru.telematics.app.remote                         Suppress the rule android_insecure_random in com.subaru.telematics.app.remote only from these files"
"7","App creates temp file. Sensitive information should never be written into a temp file.","warning","CWE: CWE-276: Incorrect Default Permissions                        OWASP Top 10: M2: Insecure Data Storage                        OWASP MASVS: MSTG-STORAGE-2","com/reactnativecommunity/webview/RNCWebViewModuleImpl.java","Suppress the rule android_temp_file in com.subaru.telematics.app.remote                         Suppress the rule android_temp_file in com.subaru.telematics.app.remote only from these files"
"8","Remote WebView debugging is enabled.","high","CWE: CWE-919: Weaknesses in Mobile Applications                        OWASP Top 10: M1: Improper Platform Usage                        OWASP MASVS: MSTG-RESILIENCE-2","com/reactnativecommunity/webview/RNCWebViewManagerImpl.java","Suppress the rule android_webview_debug in com.subaru.telematics.app.remote                         Suppress the rule android_webview_debug in com.subaru.telematics.app.remote only from these files"
"9","MD5 is a weak hash known to have hash collisions.","warning","CWE: CWE-327: Use of a Broken or Risky Cryptographic Algorithm                        OWASP Top 10: M5: Insufficient Cryptography                        OWASP MASVS: MSTG-CRYPTO-4","com/verint/xm/sdk/common/utils/Util.java","Suppress the rule android_md5 in com.subaru.telematics.app.remote                         Suppress the rule android_md5 in com.subaru.telematics.app.remote only from these files"
"10","App uses SQLite Database and execute raw SQL query. Untrusted user input in raw SQL queries can cause SQL Injection. Also sensitive information should be encrypted and written to the database.","warning","CWE: CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')                        OWASP Top 10: M7: Client Code Quality","Show Files                                                                                                                                com/adobe/marketing/mobile/internal/eventhub/history/AndroidEventHistoryDatabase.java                                                                                                                                      com/adobe/marketing/mobile/internal/util/SQLiteDatabaseHelper.java                                                                                                                                      com/reactnativecommunity/asyncstorage/AsyncLocalStorageUtil.java                                                                                                                                      com/reactnativecommunity/asyncstorage/ReactDatabaseSupplier.java                                                                                                                                      com/verint/xm/sdk/common/eventLogging/persistence/SQLPersister.java","Suppress the rule android_sql_raw_query in com.subaru.telematics.app.remote                         Suppress the rule android_sql_raw_query in com.subaru.telematics.app.remote only from these files"
