"PERMISSION","STATUS","INFO","DESCRIPTION","CODE MAPPINGS"
"android.permission.ACCESS_ADSERVICES_AD_ID","normal","allow app to access the device's advertising ID.","This ID is a unique, user-resettable identifier provided by Google's advertising services, allowing apps to track user behavior for advertising purposes while maintaining user privacy.",""
"android.permission.ACCESS_ADSERVICES_ATTRIBUTION","normal","allow applications to access advertising service attribution","This enables the app to retrieve information related to advertising attribution, which can be used for targeted advertising purposes. App can gather data about how users interact with ads, such as clicks or impressions, to measure the effectiveness of advertising campaigns.",""
"android.permission.ACCESS_COARSE_LOCATION","dangerous","coarse (network-based) location","Access coarse location sources, such as the mobile network database, to determine an approximate phone location, where available. Malicious applications can use this to determine approximately where you are.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                c/t/m/g/b5.java                                                                                                                                                                                                    c/t/m/g/e0.java                                                                                                                                                                                                    c/t/m/g/f5.java                                                                                                                                                                                                    c/t/m/g/i5.java                                                                                                                                                                                                    c/t/m/g/k5.java                                                                                                                                                                                                    c/t/m/g/p6.java                                                                                                                                                                                                    c/t/m/g/q0.java                                                                                                                                                                                                    c/t/m/g/t3.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/connectivity/internal/wifi/WifiBroadcastReceiverImpl.java                                                                                                                                                                                                    com/mapbox/common/location/AndroidDeviceLocationProvider.java                                                                                                                                                                                                    d9/o.java                                                                                                                                                                                                    d9/p.java                                                                                                                                                                                                    d9/u.java                                                                                                                                                                                                    d9/w.java                                                                                                                                                                                                    g2/c.java                                                                                                                                                                                                    sp/f.java                                                                                                                                                                                                    zr/a.java"
"android.permission.ACCESS_FINE_LOCATION","dangerous","fine (GPS) location","Access fine location sources, such as the Global Positioning System on the phone, where available. Malicious applications can use this to determine where you are and may consume additional battery power.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                c/t/m/g/e0.java                                                                                                                                                                                                    c/t/m/g/f5.java                                                                                                                                                                                                    c/t/m/g/k5.java                                                                                                                                                                                                    c/t/m/g/p6.java                                                                                                                                                                                                    c/t/m/g/q0.java                                                                                                                                                                                                    c/t/m/g/t3.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/connectivity/internal/wifi/WifiBroadcastReceiverImpl.java                                                                                                                                                                                                    com/mapbox/common/location/AndroidDeviceLocationProvider.java                                                                                                                                                                                                    d9/o.java                                                                                                                                                                                                    d9/p.java                                                                                                                                                                                                    d9/u.java                                                                                                                                                                                                    d9/w.java                                                                                                                                                                                                    g2/c.java                                                                                                                                                                                                    sp/f.java                                                                                                                                                                                                    zr/a.java"
"android.permission.ACCESS_LOCATION_EXTRA_COMMANDS","normal","access extra location provider commands","Access extra location provider commands. Malicious applications could use this to interfere with the operation of the GPS or other location sources.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        c/t/m/g/f5.java"
"android.permission.ACCESS_NETWORK_STATE","normal","view network status","Allows an application to view the status of all networks.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                b5/a.java                                                                                                                                                                                                    c/t/m/g/e7.java                                                                                                                                                                                                    c/t/m/g/g.java                                                                                                                                                                                                    c/t/m/g/h4.java                                                                                                                                                                                                    c/t/m/g/k4.java                                                                                                                                                                                                    c/t/m/g/w6.java                                                                                                                                                                                                    c/t/m/g/z3.java                                                                                                                                                                                                    com/baseflow/geolocator/GeolocatorLocationService.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/connectivity/internal/wifi/WifiServiceImpl.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/connectivity/internal/wifi/network/Android29WifiEstablisher.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/connectivity/internal/wifi/network/Ipv4Checker.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/connectivity/internal/wifi/network/PreAndroid29WifiEstablisher.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/connectivity/internal/wifi/network/ProcessBinderImpl.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/connectivity/internal/wifi/network/tracker/NetworkCallbackWifiMonitor.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/connectivity/internal/wifi/network/tracker/WifiNetworkFetcher.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/connectivity/internal/wifi/network/tracker/WifiNetworkTracker.java                                                                                                                                                                                                    com/bmwgroup/connected/util/localization/LocalizationManager.java                                                                                                                                                                                                    com/criticalblue/approovsdk/b.java                                                                                                                                                                                                    com/mapbox/common/Reachability.java                                                                                                                                                                                                    com/mapbox/maps/module/telemetry/PhoneState.java                                                                                                                                                                                                    com/sensorsdata/analytics/android/sdk/util/NetworkUtils.java                                                                                                                                                                                                    da/b.java                                                                                                                                                                                                    g9/u.java                                                                                                                                                                                                    hj/r.java                                                                                                                                                                                                    i2/a.java                                                                                                                                                                                                    j4/l0.java                                                                                                                                                                                                    j4/u.java                                                                                                                                                                                                    k8/k.java                                                                                                                                                                                                    kf/m.java                                                                                                                                                                                                    kf/n.java                                                                                                                                                                                                    kf/o.java                                                                                                                                                                                                    km/i.java                                                                                                                                                                                                    l9/b.java                                                                                                                                                                                                    ly/count/android/sdk/t.java                                                                                                                                                                                                    me/a.java                                                                                                                                                                                                    n4/u2.java                                                                                                                                                                                                    n8/n.java                                                                                                                                                                                                    n8/o.java                                                                                                                                                                                                    n8/p.java                                                                                                                                                                                                    oe/i.java                                                                                                                                                                                                    rk/s6.java                                                                                                                                                                                                    rk/x7.java                                                                                                                                                                                                    ui/a.java                                                                                                                                                                                                    wi/c.java                                                                                                                                                                                                    wi/g.java                                                                                                                                                                                                    yg/a.java                                                                                                                                                                                                    yi/d.java                                                                                                                                                                                                    yt/a.java                                                                                                                                                                                                    yt/d.java"
"android.permission.ACCESS_WIFI_STATE","normal","view Wi-Fi status","Allows an application to view the information about the status of Wi-Fi.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        c/t/m/g/e7.java                                                                                                                                                                                                    c/t/m/g/k4.java                                                                                                                                                                                                    c/t/m/g/p.java                                                                                                                                                                                                    c/t/m/g/t3.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/connectivity/internal/wifi/WifiBroadcastReceiverImpl.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/connectivity/internal/wifi/WifiServiceImpl.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/connectivity/internal/wifi/network/Android29WifiEstablisher.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/connectivity/internal/wifi/network/PreAndroid29WifiEstablisher.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/connectivity/internal/wifi/network/ProcessBinderImpl.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/connectivity/internal/wifi/network/tracker/NetworkCallbackWifiMonitor.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/connectivity/internal/wifi/network/tracker/WifiNetworkTracker.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/connectivity/wifiscanner/DeviceStateReceiver.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/connectivity/wifiscanner/ScanningHandler.java                                                                                                                                                                                                    com/mapbox/common/Reachability.java                                                                                                                                                                                                    com/sensorsdata/analytics/android/sdk/util/NetworkUtils.java                                                                                                                                                                                                    da/b.java                                                                                                                                                                                                    kf/j.java                                                                                                                                                                                                    kf/m.java                                                                                                                                                                                                    kf/n.java                                                                                                                                                                                                    kf/o.java                                                                                                                                                                                                    l9/b.java                                                                                                                                                                                                    n8/n.java                                                                                                                                                                                                    n8/p.java                                                                                                                                                                                                    wi/c.java                                                                                                                                                                                                    wi/g.java                                                                                                                                                                                                    yt/d.java"
"android.permission.BLUETOOTH","normal","create Bluetooth connections","Allows applications to connect to paired bluetooth devices.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            b1/s.java                                                                                                                                                                                                    b5/a.java                                                                                                                                                                                                    bg/j.java                                                                                                                                                                                                    c/t/m/g/e7.java                                                                                                                                                                                                    c/t/m/g/k4.java                                                                                                                                                                                                    c/t/m/g/t5.java                                                                                                                                                                                                    c/t/m/g/w6.java                                                                                                                                                                                                    c/t/m/g/z3.java                                                                                                                                                                                                    c/t/m/g/z4.java                                                                                                                                                                                                    com/bmw/alexaincar/flutterplugin/bridge/AccountInfoService.java                                                                                                                                                                                                    com/bmwgroup/connected/coex/discovery/BluetoothBroadcastReceiver.java                                                                                                                                                                                                    com/bmwgroup/connected/core/services/accessory/BtAccessorySocket.java                                                                                                                                                                                                    com/bmwgroup/connected/core/services/accessory/BtServiceWorkerThread.java                                                                                                                                                                                                    com/bmwgroup/connected/core/services/accessory/LegacyBtHandler.java                                                                                                                                                                                                    com/bmwgroup/connected/core/services/accessory/UsbAudioVolumeHandler.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/connectivity/internal/lifecycle/BaseCarConnectionProvider.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/connectivity/internal/wifi/network/Ipv4Checker.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/connectivity/internal/wifi/network/tracker/WifiNetworkFetcher.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/connectivity/internal/wifi/network/tracker/WifiNetworkTracker.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/internal/connectivity/protocol/PairingBroadcastReceiver.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/util/BtAdapterWrapper$bondedDevices$1.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/util/BtAdapterWrapper$cancelDiscovery$1.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/util/BtAdapterWrapper$closeProfileProxy$1.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/util/BtAdapterWrapper$getProfileConnectionState$1.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/util/BtAdapterWrapper$getProfileProxy$1.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/util/BtAdapterWrapper.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/util/BtDeviceWrapper$address$1.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/util/BtDeviceWrapper$bondState$1.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/util/BtDeviceWrapper$createBond$result$1.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/util/BtDeviceWrapper$createRfcommSocketToServiceRecord$socket$1.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/util/BtDeviceWrapper$fetchUuidsWithSdp$result$1.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/util/BtDeviceWrapper$name$1.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/util/BtDeviceWrapper.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/util/BtProfileWrapper$connectedDevices$1.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/util/BtProfileWrapper.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/util/BtSocketWrapper$close$1.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/util/BtSocketWrapper$connect$1.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/util/BtSocketWrapper$isConnected$1.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/util/BtSocketWrapper.java                                                                                                                                                                                                    com/bmwgroup/connected/util/util/BluetoothHelper.java                                                                                                                                                                                                    com/criticalblue/approovsdk/b.java                                                                                                                                                                                                    com/mapbox/common/Reachability.java                                                                                                                                                                                                    de/bmw/connected/lib/audio/source/AudioOutputHandler.java                                                                                                                                                                                                    de/bmw/connected/lib/audio/source/BluetoothDeviceInfoProvider.java                                                                                                                                                                                                    de/bmw/connected/lib/audio/volume/AudioManagerService.java                                                                                                                                                                                                    df/c.java                                                                                                                                                                                                    g9/u.java                                                                                                                                                                                                    gf/e.java                                                                                                                                                                                                    h5/n.java                                                                                                                                                                                                    hf/a.java                                                                                                                                                                                                    hf/c.java                                                                                                                                                                                                    hj/r.java                                                                                                                                                                                                    i9/l.java                                                                                                                                                                                                    j4/l0.java                                                                                                                                                                                                    j4/u.java                                                                                                                                                                                                    j9/g.java                                                                                                                                                                                                    k8/k.java                                                                                                                                                                                                    km/i.java                                                                                                                                                                                                    l9/b.java                                                                                                                                                                                                    le/a.java                                                                                                                                                                                                    ly/count/android/sdk/t.java                                                                                                                                                                                                    oe/i.java                                                                                                                                                                                                    p4/e.java                                                                                                                                                                                                    rf/b.java                                                                                                                                                                                                    rk/s6.java                                                                                                                                                                                                    rk/x7.java                                                                                                                                                                                                    td/a.java                                                                                                                                                                                                    tf/b.java                                                                                                                                                                                                    tf/c.java                                                                                                                                                                                                    tf/d.java                                                                                                                                                                                                    u9/a.java                                                                                                                                                                                                    ui/a.java                                                                                                                                                                                                    yg/a.java                                                                                                                                                                                                    yi/d.java"
"android.permission.BLUETOOTH_ADMIN","normal","bluetooth administration","Allows applications to discover and pair bluetooth devices.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        bg/j.java                                                                                                                                                                                                    c/t/m/g/e7.java                                                                                                                                                                                                    c/t/m/g/z4.java                                                                                                                                                                                                    com/bmwgroup/connected/core/services/accessory/BtAccessorySocket.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/util/BtAdapterWrapper$cancelDiscovery$1.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/util/BtAdapterWrapper.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/util/BtDeviceWrapper$createBond$result$1.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/util/BtDeviceWrapper.java                                                                                                                                                                                                    gf/e.java                                                                                                                                                                                                    hf/a.java                                                                                                                                                                                                    tf/b.java"
"android.permission.BLUETOOTH_CONNECT","dangerous","necessary for connecting to paired Bluetooth devices.","Required to be able to connect to paired Bluetooth devices.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            bg/j.java                                                                                                                                                                                                    com/bmwgroup/connected/core/services/accessory/BtAccessorySocket.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/util/BtDeviceWrapper$createBond$result$1.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/util/BtDeviceWrapper.java                                                                                                                                                                                                    hf/a.java"
