"NO","ISSUE","SEVERITY","STANDARDS","FILES","OPTIONS"
"1","The App logs information. Sensitive information should never be logged.","info","CWE: CWE-532: Insertion of Sensitive Information into Log File                                               OWASP MASVS: MSTG-STORAGE-3","Show Files                                                                                                                                A1/d.java                                                                                                                                      D/a.java                                                                                                                                      D/d.java                                                                                                                                      G2/f.java                                                                                                                                      H/g.java                                                                                                                                      H0/c.java                                                                                                                                      H2/d.java                                                                                                                                      J/A.java                                                                                                                                      J/AbstractC0405b.java                                                                                                                                      J/C0406c.java                                                                                                                                      J/D.java                                                                                                                                      J/E.java                                                                                                                                      J/k.java                                                                                                                                      J/x.java                                                                                                                                      J/y.java                                                                                                                                      J2/u.java                                                                                                                                      K/AbstractC0423l.java                                                                                                                                      K/C0418g.java                                                                                                                                      K/C0424m.java                                                                                                                                      K/D.java                                                                                                                                      K/I.java                                                                                                                                      K/M.java                                                                                                                                      K/q.java                                                                                                                                      K/z.java                                                                                                                                      M/B.java                                                                                                                                      M/C0481e.java                                                                                                                                      M/E.java                                                                                                                                      M/F.java                                                                                                                                      M/Q.java                                                                                                                                      M/V.java                                                                                                                                      N/A.java                                                                                                                                      N/AbstractBinderC0506a.java                                                                                                                                      N/AbstractC0508c.java                                                                                                                                      N/D.java                                                                                                                                      N/Y.java                                                                                                                                      N/c0.java                                                                                                                                      N/d0.java                                                                                                                                      N/e0.java                                                                                                                                      N/g0.java                                                                                                                                      N/m0.java                                                                                                                                      N/o0.java                                                                                                                                      Q/a.java                                                                                                                                      R/b.java                                                                                                                                      T0/b.java                                                                                                                                      U0/c.java                                                                                                                                      V/d.java                                                                                                                                      b/x.java                                                                                                                                      b1/C1118h.java                                                                                                                                      b1/C1123m.java                                                                                                                                      b1/O.java                                                                                                                                      b1/X.java                                                                                                                                      c1/C1186b.java                                                                                                                                      c2/AbstractC1188a.java                                                                                                                                      com/davemorrissey/labs/subscaleview/SubsamplingScaleImageView.java                                                                                                                                      com/davemorrissey/labs/subscaleview/decoder/SkiaPooledImageRegionDecoder.java                                                                                                                                      com/mbridge/msdk/dycreator/a/a.java                                                                                                                                      com/mbridge/msdk/dycreator/baseview/MBScrollView.java                                                                                                                                      com/mbridge/msdk/dycreator/baseview/extview/MBExtAcquireRewardPopView.java                                                                                                                                      com/mbridge/msdk/dycreator/baseview/extview/MBExtFeedBackView.java                                                                                                                                      com/mbridge/msdk/dycreator/baseview/extview/MBExtMBridgeBaitClickView.java                                                                                                                                      com/mbridge/msdk/dycreator/baseview/extview/MBExtMBridgeTextView.java                                                                                                                                      com/mbridge/msdk/dycreator/bus/BackgroundPoster.java                                                                                                                                      com/mbridge/msdk/dycreator/bus/EventBus.java                                                                                                                                      com/mbridge/msdk/dycreator/e/g.java                                                                                                                                      com/mbridge/msdk/foundation/controller/b.java                                                                                                                                      com/mbridge/msdk/foundation/same/report/b/b.java                                                                                                                                      com/mbridge/msdk/foundation/same/report/b/d.java                                                                                                                                      com/mbridge/msdk/foundation/same/report/d.java                                                                                                                                      com/mbridge/msdk/foundation/same/report/l.java                                                                                                                                      com/mbridge/msdk/foundation/tools/ac.java                                                                                                                                      com/mbridge/msdk/foundation/tools/af.java                                                                                                                                      com/mbridge/msdk/newreward/function/a/a/a.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/DefaultRenderersFactory.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/ExoPlayerImpl.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/ExoPlayerImplInternal.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/MediaPeriodHolder.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/SimpleExoPlayer.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/audio/DefaultAudioSink.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/drm/ClearKeyUtil.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/drm/DefaultDrmSession.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/drm/DefaultDrmSessionManager.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/extractor/mkv/MatroskaExtractor.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/extractor/mp3/VbriSeeker.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/extractor/mp3/XingSeeker.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/extractor/mp4/AtomParsers.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/extractor/mp4/FragmentedMp4Extractor.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/extractor/mp4/MetadataUtil.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/extractor/mp4/PsshAtomUtil.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/extractor/mp4/TrackEncryptionBox.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/extractor/ogg/VorbisUtil.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/extractor/ts/AdtsReader.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/extractor/ts/H265Reader.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/extractor/ts/Id3Reader.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/extractor/ts/PesReader.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/extractor/wav/WavHeaderReader.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/mediacodec/MediaCodecInfo.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/mediacodec/MediaCodecRenderer.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/mediacodec/MediaCodecUtil.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/metadata/id3/Id3Decoder.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/offline/DownloadManager.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/offline/DownloadService.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/source/chunk/BaseMediaChunkOutput.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/source/chunk/ChunkSampleStream.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/source/chunk/ChunkedTrackBlacklistUtil.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/text/cea/Cea708Decoder.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/text/cea/CeaUtil.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/text/dvb/DvbParser.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/text/ssa/SsaDecoder.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/text/subrip/SubripDecoder.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/text/ttml/TtmlDecoder.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/text/webvtt/WebvttCue.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/text/webvtt/WebvttCueParser.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/upstream/DefaultDataSource.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/upstream/DefaultHttpDataSource.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/upstream/Loader.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/upstream/cache/CachedRegionTracker.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/upstream/cache/SimpleCache.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/util/AtomicFile.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/util/EventLogger.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/util/NalUnitUtil.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/util/Util.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/video/DummySurface.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/video/MediaCodecVideoRenderer.java                                                                                                                                      com/mbridge/msdk/tracker/b.java                                                                                                                                      com/mbridge/msdk/tracker/c.java                                                                                                                                      com/mbridge/msdk/tracker/j.java                                                                                                                                      com/mbridge/msdk/tracker/k.java                                                                                                                                      com/mbridge/msdk/tracker/m.java                                                                                                                                      com/mbridge/msdk/tracker/n.java                                                                                                                                      com/mbridge/msdk/tracker/network/ae.java                                                                                                                                      com/mbridge/msdk/tracker/p.java                                                                                                                                      com/mbridge/msdk/tracker/r.java                                                                                                                                      com/mbridge/msdk/tracker/w.java                                                                                                                                      com/mbridge/msdk/tracker/y.java                                                                                                                                      com/mbridge/msdk/video/module/MBridgeBaseView.java                                                                                                                                      com/mbridge/msdk/widget/FeedbackRadioGroup.java                                                                                                                                      e1/C1808d.java                                                                                                                                      g0/AbstractC1876a.java                                                                                                                                      i0/C1970a.java                                                                                                                                      j0/C2259a.java                                                                                                                                      o0/f.java                                                                                                                                      r0/C2539g.java                                                                                                                                      r0/o.java                                                                                                                                      s/k.java                                                                                                                                      u0/g.java                                                                                                                                      u4/d.java                                                                                                                                      v/AbstractC2718a.java                                                                                                                                      x0/C2870x.java                                                                                                                                      z1/C2968c.java                                                                                                                                      z2/C2970B.java","Suppress the rule android_logging in com.uptodown                         Suppress the rule android_logging in com.uptodown only from these files"
"2","Files may contain hardcoded sensitive information like usernames, passwords, keys etc.","warning","CWE: CWE-312: Cleartext Storage of Sensitive Information                        OWASP Top 10: M9: Reverse Engineering                        OWASP MASVS: MSTG-STORAGE-14","Show Files                                                                                                                                A0/C0306e.java                                                                                                                                      A0/w.java                                                                                                                                      L3/C0445j0.java                                                                                                                                      com/mbridge/msdk/MBridgeConstans.java                                                                                                                                      com/mbridge/msdk/foundation/download/core/DownloadCommon.java                                                                                                                                      com/mbridge/msdk/foundation/download/core/DownloaderReporter.java                                                                                                                                      com/mbridge/msdk/foundation/entity/CampaignEx.java                                                                                                                                      com/mbridge/msdk/foundation/entity/n.java                                                                                                                                      com/mbridge/msdk/newreward/player/MBRewardVideoActivity.java                                                                                                                                      com/mbridge/msdk/newreward/player/imodel/IBigTempModel.java                                                                                                                                      com/mbridge/msdk/newreward/player/imodel/IECModel.java                                                                                                                                      com/mbridge/msdk/newreward/player/imodel/IMoreOfferModel.java                                                                                                                                      com/mbridge/msdk/newreward/player/imodel/IPlayModel.java                                                                                                                                      com/mbridge/msdk/newreward/player/iview/IBaseWebView.java                                                                                                                                      com/mbridge/msdk/newreward/player/iview/IMetaData.java                                                                                                                                      com/mbridge/msdk/newreward/player/iview/IPlayTempleView.java                                                                                                                                      com/mbridge/msdk/newreward/player/model/BigTemplateModel.java                                                                                                                                      com/mbridge/msdk/newreward/player/model/ECTempleModel.java                                                                                                                                      com/mbridge/msdk/newreward/player/model/MoreOfferModel.java                                                                                                                                      com/mbridge/msdk/newreward/player/model/PlayTempleModel.java                                                                                                                                      com/mbridge/msdk/newreward/player/model/WebTemplateModel.java                                                                                                                                      com/mbridge/msdk/newreward/player/model/WebViewECModel.java                                                                                                                                      com/mbridge/msdk/newreward/player/view/WebViewTemplate.java                                                                                                                                      com/mbridge/msdk/newreward/player/view/ectemplate/WebViewEC.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/drm/DefaultDrmSessionManager.java                                                                                                                                      com/mbridge/msdk/video/dynview/moffer/MOfferModel.java                                                                                                                                      z0/C2958b.java","Suppress the rule android_hardcoded in com.uptodown                         Suppress the rule android_hardcoded in com.uptodown only from these files"
"3","App creates temp file. Sensitive information should never be written into a temp file.","warning","CWE: CWE-276: Incorrect Default Permissions                        OWASP Top 10: M2: Insecure Data Storage                        OWASP MASVS: MSTG-STORAGE-2","T0/c.java                                                                                                                            com/mbridge/msdk/playercommon/exoplayer2/util/Util.java","Suppress the rule android_temp_file in com.uptodown                         Suppress the rule android_temp_file in com.uptodown only from these files"
"4","The App uses an insecure Random Number Generator.","warning","CWE: CWE-330: Use of Insufficiently Random Values                        OWASP Top 10: M5: Insufficient Cryptography                        OWASP MASVS: MSTG-CRYPTO-6","Show Files                                                                                                                                com/mbridge/msdk/dycreator/baseview/rewardpopview/MBAcquireRewardPopView.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/source/ShuffleOrder.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/trackselection/RandomTrackSelection.java                                                                                                                                      com/mbridge/msdk/playercommon/exoplayer2/upstream/cache/CachedContentIndex.java                                                                                                                                      com/mbridge/msdk/thrid/okhttp/OkHttpClient.java                                                                                                                                      com/mbridge/msdk/thrid/okhttp/internal/ws/RealWebSocket.java                                                                                                                                      com/mbridge/msdk/thrid/okhttp/internal/ws/WebSocketWriter.java                                                                                                                                      g4/e.java                                                                                                                                      j$/util/concurrent/ThreadLocalRandom.java                                                                                                                                      o3/AbstractC2465a.java                                                                                                                                      o3/C2466b.java                                                                                                                                      p3/C2487a.java","Suppress the rule android_insecure_random in com.uptodown                         Suppress the rule android_insecure_random in com.uptodown only from these files"
"5","App can read/write to External Storage. Any App can read data written to External Storage.","warning","CWE: CWE-276: Incorrect Default Permissions                        OWASP Top 10: M2: Insecure Data Storage                        OWASP MASVS: MSTG-STORAGE-2","Show Files                                                                                                                                b2/C1144I.java                                                                                                                                      b2/C1146K.java                                                                                                                                      b2/C1156i.java                                                                                                                                      b2/C1157j.java                                                                                                                                      com/mbridge/msdk/foundation/same/report/b/d.java                                                                                                                                      com/mbridge/msdk/foundation/tools/ai.java                                                                                                                                      com/uptodown/core/activities/FileExplorerActivity.java                                                                                                                                      z2/C2984m.java                                                                                                                                      z2/E.java","Suppress the rule android_read_write_external in com.uptodown                         Suppress the rule android_read_write_external in com.uptodown only from these files"
"6","App uses SQLite Database and execute raw SQL query. Untrusted user input in raw SQL queries can cause SQL Injection. Also sensitive information should be encrypted and written to the database.","warning","CWE: CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')                        OWASP Top 10: M7: Client Code Quality","Show Files                                                                                                                                com/mbridge/msdk/foundation/db/BatchReportDao.java                                                                                                                                      com/mbridge/msdk/foundation/db/b.java                                                                                                                                      com/mbridge/msdk/foundation/db/c.java                                                                                                                                      com/mbridge/msdk/foundation/db/e.java                                                                                                                                      com/mbridge/msdk/foundation/db/g.java                                                                                                                                      com/mbridge/msdk/foundation/download/database/DatabaseHelper.java                                                                                                                                      com/mbridge/msdk/newreward/function/d/c.java                                                                                                                                      com/mbridge/msdk/tracker/b.java                                                                                                                                      z/M.java                                                                                                                                      z/W.java                                                                                                                                      z2/C2970B.java","Suppress the rule android_sql_raw_query in com.uptodown                         Suppress the rule android_sql_raw_query in com.uptodown only from these files"
"7","This App copies data to clipboard. Sensitive data should not be copied to clipboard as other applications can access it.","info","OWASP MASVS: MSTG-STORAGE-10","com/uptodown/activities/MoreInfo.java                                                                                                                            com/uptodown/activities/preferences/AdvancedPreferencesActivity.java","Suppress the rule android_clipboard_copy in com.uptodown                         Suppress the rule android_clipboard_copy in com.uptodown only from these files"
"8","MD5 is a weak hash known to have hash collisions.","warning","CWE: CWE-327: Use of a Broken or Risky Cryptographic Algorithm                        OWASP Top 10: M5: Insufficient Cryptography                        OWASP MASVS: MSTG-CRYPTO-4","Show Files                                                                                                                                b2/C1153f.java                                                                                                                                      com/mbridge/msdk/foundation/download/core/OkHTTPFileDownloadTask.java                                                                                                                                      com/mbridge/msdk/foundation/download/resource/MBResourceManager.java                                                                                                                                      com/mbridge/msdk/foundation/tools/ac.java                                                                                                                                      j4/b.java                                                                                                                                      l4/e.java                                                                                                                                      q2/C2514b.java","Suppress the rule android_md5 in com.uptodown                         Suppress the rule android_md5 in com.uptodown only from these files"
"9","This App uses SSL certificate pinning to detect or  prevent MITM attacks in secure communication channel.","secure","OWASP MASVS: MSTG-NETWORK-4","U3/u.java                                                                                                                            com/mbridge/msdk/thrid/okhttp/internal/Util.java","Suppress the rule android_ssl_pinning in com.uptodown                         Suppress the rule android_ssl_pinning in com.uptodown only from these files"
"10","This App may have root detection capabilities.","secure","OWASP MASVS: MSTG-RESILIENCE-1","x0/AbstractC2857j.java","Suppress the rule android_detect_root in com.uptodown                         Suppress the rule android_detect_root in com.uptodown only from these files"
