PERMISSION,STATUS,INFO,DESCRIPTION,CODE MAPPINGS,app,source_path,NO,SCOPE,SEVERITY
android.permission.ACCESS_BACKGROUND_LOCATION,dangerous,access location in background,Allows an app to access location in the background.,Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Lf/e.java                                                                                                                                                                                                    com/honda/common/module/gdo/services/GDOForegroundNotificationService.java                                                                                                                                                                                                    com/honda/common/module/map/view/fragment/C.java                                                                                                                                                                                                    com/honda/common/module/map/view/fragment/h0.java,Acura,/home/jovyan/work/SOEN 321/car_app_analysis/Acura/application_permissions.csv,,,
android.permission.ACCESS_COARSE_LOCATION,dangerous,coarse (network-based) location,"Access coarse location sources, such as the mobile network database, to determine an approximate phone location, where available. Malicious applications can use this to determine approximately where you are.",Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Lf/e.java                                                                                                                                                                                                    M0/a.java                                                                                                                                                                                                    com/honda/common/module/gdo/services/GDOForegroundNotificationService.java                                                                                                                                                                                                    com/honda/common/module/map/view/fragment/C.java                                                                                                                                                                                                    com/honda/common/module/map/view/fragment/h0.java                                                                                                                                                                                                    dc/c.java                                                                                                                                                                                                    nc/i.java                                                                                                                                                                                                    sc/ViewOnClickListenerC3386d.java                                                                                                                                                                                                    xd/k.java                                                                                                                                                                                                    xf/h.java,Acura,/home/jovyan/work/SOEN 321/car_app_analysis/Acura/application_permissions.csv,,,
android.permission.ACCESS_FINE_LOCATION,dangerous,fine (GPS) location,"Access fine location sources, such as the Global Positioning System on the phone, where available. Malicious applications can use this to determine where you are and may consume additional battery power.",Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Lf/e.java                                                                                                                                                                                                    M0/a.java                                                                                                                                                                                                    com/honda/common/module/gdo/services/GDOForegroundNotificationService.java                                                                                                                                                                                                    com/honda/common/module/map/view/fragment/C.java                                                                                                                                                                                                    com/honda/common/module/map/view/fragment/h0.java                                                                                                                                                                                                    xd/k.java                                                                                                                                                                                                    xf/h.java,Acura,/home/jovyan/work/SOEN 321/car_app_analysis/Acura/application_permissions.csv,,,
android.permission.ACCESS_NETWORK_STATE,normal,view network status,Allows an application to view the status of all networks.,Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        C/a.java                                                                                                                                                                                                    H2/r.java                                                                                                                                                                                                    H5/i.java                                                                                                                                                                                                    I5/n.java                                                                                                                                                                                                    K0/f.java                                                                                                                                                                                                    K0/g.java                                                                                                                                                                                                    M0/a.java                                                                                                                                                                                                    O1/P.java                                                                                                                                                                                                    Z0/u0.java                                                                                                                                                                                                    com/adjust/sdk/DeviceInfo.java                                                                                                                                                                                                    com/amazonaws/mobile/client/AWSMobileClient.java                                                                                                                                                                                                    com/honda/common/utils/J.java                                                                                                                                                                                                    com/uievolution/microserver/modules/d.java                                                                                                                                                                                                    q1/r.java                                                                                                                                                                                                    s0/k.java                                                                                                                                                                                                    t0/AbstractC3469m.java                                                                                                                                                                                                    t0/AbstractC3470n.java                                                                                                                                                                                                    t0/AbstractC3472p.java,Acura,/home/jovyan/work/SOEN 321/car_app_analysis/Acura/application_permissions.csv,,,
android.permission.ACCESS_WIFI_STATE,normal,view Wi-Fi status,Allows an application to view the information about the status of Wi-Fi.,Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            I5/n.java                                                                                                                                                                                                    K0/g.java                                                                                                                                                                                                    com/amazonaws/mobile/client/AWSMobileClient.java                                                                                                                                                                                                    com/honda/common/utils/J.java                                                                                                                                                                                                    q1/r.java                                                                                                                                                                                                    t0/AbstractC3469m.java                                                                                                                                                                                                    t0/AbstractC3472p.java,Acura,/home/jovyan/work/SOEN 321/car_app_analysis/Acura/application_permissions.csv,,,
android.permission.BLUETOOTH,normal,create Bluetooth connections,Allows applications to connect to paired bluetooth devices.,Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        H2/r.java                                                                                                                                                                                                    I5/n.java                                                                                                                                                                                                    Q5/j.java                                                                                                                                                                                                    Z0/u0.java                                                                                                                                                                                                    com/adjust/sdk/DeviceInfo.java                                                                                                                                                                                                    com/amazonaws/mobile/client/AWSMobileClient.java                                                                                                                                                                                                    com/honda/common/module/microserver/braodcastreciever/BluetoothConnectionReceiver.java                                                                                                                                                                                                    com/honda/common/utils/J.java                                                                                                                                                                                                    com/uievolution/microserver/lwipdriver/a.java                                                                                                                                                                                                    com/uievolution/microserver/lwipdriver/b.java                                                                                                                                                                                                    com/uievolution/microserver/lwipdriver/c.java                                                                                                                                                                                                    com/uievolution/microserver/modules/d.java                                                                                                                                                                                                    q1/r.java                                                                                                                                                                                                    s0/k.java,Acura,/home/jovyan/work/SOEN 321/car_app_analysis/Acura/application_permissions.csv,,,
android.permission.BLUETOOTH_ADMIN,normal,bluetooth administration,Allows applications to discover and pair bluetooth devices.,Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                com/honda/common/utils/J.java                                                                                                                                                                                                    com/uievolution/microserver/lwipdriver/a.java,Acura,/home/jovyan/work/SOEN 321/car_app_analysis/Acura/application_permissions.csv,,,
android.permission.BLUETOOTH_CONNECT,dangerous,necessary for connecting to paired Bluetooth devices.,Required to be able to connect to paired Bluetooth devices.,,Acura,/home/jovyan/work/SOEN 321/car_app_analysis/Acura/application_permissions.csv,,,
android.permission.CALL_PHONE,dangerous,directly call phone numbers,Allows the application to call phone numbers without your intervention. Malicious applications may cause unexpected calls on your phone bill. Note that this does not allow the application to call emergency numbers.,Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Y2/F.java                                                                                                                                                                                                    com/honda/common/app/HondaApplication.java,Acura,/home/jovyan/work/SOEN 321/car_app_analysis/Acura/application_permissions.csv,,,
android.permission.CAMERA,dangerous,take pictures and videos,Allows application to take pictures and videos with the camera. This allows the application to collect images that the camera is seeing at any time.,Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                B6/a.java,Acura,/home/jovyan/work/SOEN 321/car_app_analysis/Acura/application_permissions.csv,,,
