"PERMISSION","STATUS","INFO","DESCRIPTION","CODE MAPPINGS"
"android.permission.ACCESS_BACKGROUND_LOCATION","dangerous","access location in background","Allows an app to access location in the background.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        technology/cariad/cat/locationkit/BaseLocationProvider.java"
"android.permission.ACCESS_COARSE_LOCATION","dangerous","coarse (network-based) location","Access coarse location sources, such as the mobile network database, to determine an approximate phone location, where available. Malicious applications can use this to determine approximately where you are.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                de/audi/onetouch/configuration/DeviceConfiguration.java                                                                                                                                                                                                    de/audi/onetouch/navigation/LocationProvider.java                                                                                                                                                                                                    de/quartettmobile/google/location/GooglePlayLocationProvider.java                                                                                                                                                                                                    technology/cariad/cat/locationkit/BaseLocationProvider.java                                                                                                                                                                                                    technology/cariad/cat/locationkit/LocationManager.java"
"android.permission.ACCESS_FINE_LOCATION","dangerous","fine (GPS) location","Access fine location sources, such as the Global Positioning System on the phone, where available. Malicious applications can use this to determine where you are and may consume additional battery power.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    de/audi/onetouch/configuration/DeviceConfiguration.java                                                                                                                                                                                                    de/audi/onetouch/navigation/LocationProvider.java                                                                                                                                                                                                    de/quartettmobile/google/location/GooglePlayLocationProvider.java                                                                                                                                                                                                    technology/cariad/cat/locationkit/BaseLocationProvider.java                                                                                                                                                                                                    technology/cariad/cat/locationkit/LocationManager.java"
"android.permission.ACCESS_NETWORK_STATE","normal","view network status","Allows an application to view the status of all networks.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    com/adobe/marketing/mobile/AndroidSystemInfoService.java                                                                                                                                                                                                    com/adobe/marketing/mobile/services/DeviceInfoService.java                                                                                                                                                                                                    com/microsoft/appcenter/utils/NetworkStateHelper.java                                                                                                                                                                                                    de/audi/onetouch/gem/backend/WiremockServerDetectionGemViewModel.java                                                                                                                                                                                                    de/audi/onetouch/rhmi/WifiStateBindable.java                                                                                                                                                                                                    technology/cariad/cat/audiostream/audio/AudioServer.java                                                                                                                                                                                                    technology/cariad/cat/network/ConnectivityImpl$registerNetworkCallback$1.java                                                                                                                                                                                                    technology/cariad/cat/network/ConnectivityKt.java                                                                                                                                                                                                    technology/cariad/cat/reachability/ReachabilityManager.java                                                                                                                                                                                                    technology/cariad/cat/reachability/WifiManager.java                                                                                                                                                                                                    technology/cariad/cat/rhmi/discovery/bonjour/BonjourDiscovery.java                                                                                                                                                                                                    technology/cariad/cat/rhmi/discovery/legacy/UDPAdvertiseSender.java                                                                                                                                                                                                    technology/cariad/cat/rhmi/service/RhmiService.java"
"android.permission.ACCESS_WIFI_STATE","normal","view Wi-Fi status","Allows an application to view the information about the status of Wi-Fi.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            com/microsoft/appcenter/utils/NetworkStateHelper.java                                                                                                                                                                                                    technology/cariad/cat/audiostream/audio/AudioServer.java                                                                                                                                                                                                    technology/cariad/cat/network/ConnectivityImpl$registerNetworkCallback$1.java                                                                                                                                                                                                    technology/cariad/cat/reachability/WifiManager.java"
"android.permission.AUTHENTICATE_ACCOUNTS","dangerous","act as an account authenticator","Allows an application to use the account authenticator capabilities of the Account Manager, including creating accounts as well as obtaining and setting their passwords.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        de/audi/onetouch/account/AccountAuthenticator.java                                                                                                                                                                                                    de/audi/onetouch/login/LoginManager.java"
"android.permission.BLUETOOTH","normal","create Bluetooth connections","Allows applications to connect to paired bluetooth devices.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        com/adobe/marketing/mobile/AndroidSystemInfoService.java                                                                                                                                                                                                    com/microsoft/appcenter/utils/NetworkStateHelper.java                                                                                                                                                                                                    de/audi/onetouch/configuration/BluetoothServiceStateBindable.java                                                                                                                                                                                                    org/altbeacon/beacon/BeaconManager.java                                                                                                                                                                                                    org/altbeacon/beacon/BeaconParser.java                                                                                                                                                                                                    org/altbeacon/beacon/BeaconTransmitter.java                                                                                                                                                                                                    org/altbeacon/beacon/service/IntentScanStrategyCoordinator$runBackupScan$1.java                                                                                                                                                                                                    org/altbeacon/beacon/service/ScanHelper.java                                                                                                                                                                                                    org/altbeacon/beacon/service/scanner/CycledLeScanner.java                                                                                                                                                                                                    org/altbeacon/beacon/service/scanner/CycledLeScannerForJellyBeanMr2.java                                                                                                                                                                                                    org/altbeacon/beacon/service/scanner/CycledLeScannerForLollipop.java                                                                                                                                                                                                    org/altbeacon/bluetooth/BluetoothCrashResolver.java                                                                                                                                                                                                    org/altbeacon/bluetooth/BluetoothMedic.java                                                                                                                                                                                                    technology/cariad/cat/audiostream/audio/AudioServer.java                                                                                                                                                                                                    technology/cariad/cat/genx/bluetooth/Bluetooth.java                                                                                                                                                                                                    technology/cariad/cat/genx/bluetooth/BluetoothClient$disconnect$2.java                                                                                                                                                                                                    technology/cariad/cat/genx/bluetooth/BluetoothClient.java                                                                                                                                                                                                    technology/cariad/cat/genx/bluetooth/BluetoothClientKt.java                                                                                                                                                                                                    technology/cariad/cat/genx/bluetooth/BluetoothConnectionManager.java                                                                                                                                                                                                    technology/cariad/cat/genx/bluetooth/BluetoothGattExtensionKt.java                                                                                                                                                                                                    technology/cariad/cat/holoridecompanion/BridgePeripheral$connectToGatt$2.java                                                                                                                                                                                                    technology/cariad/cat/holoridecompanion/BridgePeripheral$gattCallback$1.java                                                                                                                                                                                                    technology/cariad/cat/holoridecompanion/BridgePeripheral.java                                                                                                                                                                                                    technology/cariad/cat/holoridecompanion/HolorideCompanion$Manager$startScanning$2.java                                                                                                                                                                                                    technology/cariad/cat/holoridecompanion/HolorideCompanion$Manager$startScanningForBridgePeripherals$2.java                                                                                                                                                                                                    technology/cariad/cat/holoridecompanion/HolorideCompanion$Manager$stopScan$2.java                                                                                                                                                                                                    technology/cariad/cat/holoridecompanion/HolorideCompanion.java                                                                                                                                                                                                    technology/cariad/cat/reachability/ReachabilityManager.java                                                                                                                                                                                                    technology/cariad/cat/rhmi/service/RhmiService.java"
"android.permission.BLUETOOTH_ADMIN","normal","bluetooth administration","Allows applications to discover and pair bluetooth devices.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            org/altbeacon/beacon/BeaconTransmitter.java                                                                                                                                                                                                    org/altbeacon/beacon/service/IntentScanStrategyCoordinator$runBackupScan$1.java                                                                                                                                                                                                    org/altbeacon/beacon/service/ScanHelper.java                                                                                                                                                                                                    org/altbeacon/beacon/service/scanner/CycledLeScanner.java                                                                                                                                                                                                    org/altbeacon/beacon/service/scanner/CycledLeScannerForJellyBeanMr2.java                                                                                                                                                                                                    org/altbeacon/beacon/service/scanner/CycledLeScannerForLollipop.java                                                                                                                                                                                                    org/altbeacon/bluetooth/BluetoothCrashResolver.java                                                                                                                                                                                                    org/altbeacon/bluetooth/BluetoothMedic.java                                                                                                                                                                                                    technology/cariad/cat/audiostream/audio/AudioServer.java                                                                                                                                                                                                    technology/cariad/cat/genx/bluetooth/BluetoothClient.java                                                                                                                                                                                                    technology/cariad/cat/genx/bluetooth/BluetoothConnectionManager.java                                                                                                                                                                                                    technology/cariad/cat/holoridecompanion/BridgePeripheral$gattCallback$1.java                                                                                                                                                                                                    technology/cariad/cat/holoridecompanion/HolorideCompanion$Manager$startScanning$2.java                                                                                                                                                                                                    technology/cariad/cat/holoridecompanion/HolorideCompanion$Manager$startScanningForBridgePeripherals$2.java                                                                                                                                                                                                    technology/cariad/cat/holoridecompanion/HolorideCompanion$Manager$stopScan$2.java                                                                                                                                                                                                    technology/cariad/cat/reachability/ReachabilityManager.java"
"android.permission.BLUETOOTH_CONNECT","dangerous","necessary for connecting to paired Bluetooth devices.","Required to be able to connect to paired Bluetooth devices.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            technology/cariad/cat/genx/bluetooth/BluetoothClient.java                                                                                                                                                                                                    technology/cariad/cat/holoridecompanion/BridgePeripheral$gattCallback$1.java"
"android.permission.BLUETOOTH_SCAN","dangerous","required for discovering and pairing Bluetooth devices.","Required to be able to discover and pair nearby Bluetooth devices.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                org/altbeacon/beacon/service/IntentScanStrategyCoordinator$runBackupScan$1.java                                                                                                                                                                                                    org/altbeacon/beacon/service/ScanHelper.java                                                                                                                                                                                                    org/altbeacon/beacon/service/scanner/CycledLeScannerForLollipop.java                                                                                                                                                                                                    org/altbeacon/bluetooth/BluetoothCrashResolver.java                                                                                                                                                                                                    org/altbeacon/bluetooth/BluetoothMedic.java                                                                                                                                                                                                    technology/cariad/cat/genx/bluetooth/BluetoothConnectionManager.java                                                                                                                                                                                                    technology/cariad/cat/holoridecompanion/HolorideCompanion$Manager$startScanning$2.java                                                                                                                                                                                                    technology/cariad/cat/holoridecompanion/HolorideCompanion$Manager$stopScan$2.java"
"android.permission.CAMERA","dangerous","take pictures and videos","Allows application to take pictures and videos with the camera. This allows the application to collect images that the camera is seeing at any time.",""
"android.permission.CHANGE_NETWORK_STATE","normal","change network connectivity","Allows applications to change network connectivity state.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            com/microsoft/appcenter/utils/NetworkStateHelper.java                                                                                                                                                                                                    technology/cariad/cat/audiostream/audio/AudioServer.java                                                                                                                                                                                                    technology/cariad/cat/network/ConnectivityImpl$registerNetworkCallback$1.java                                                                                                                                                                                                    technology/cariad/cat/reachability/ReachabilityManager.java                                                                                                                                                                                                    technology/cariad/cat/reachability/WifiManager.java"
"android.permission.CHANGE_WIFI_MULTICAST_STATE","normal","allow Wi-Fi Multicast reception","Allows an application to receive packets not directly addressed to your device. This can be useful when discovering services offered nearby. It uses more power than the non-multicast mode.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                de/audi/onetouch/gem/backend/WiremockServerDetectionGemViewModel.java                                                                                                                                                                                                    technology/cariad/cat/reachability/ReachabilityManager.java                                                                                                                                                                                                    technology/cariad/cat/rhmi/discovery/bonjour/BonjourDiscovery.java                                                                                                                                                                                                    technology/cariad/cat/rhmi/discovery/legacy/UDPAdvertiseSender.java                                                                                                                                                                                                    technology/cariad/cat/rhmi/service/RhmiService.java"
"android.permission.CHANGE_WIFI_STATE","normal","change Wi-Fi status","Allows an application to connect to and disconnect from Wi-Fi access points and to make changes to configured Wi-Fi networks.",""
"android.permission.FLASHLIGHT","normal","control flashlight","Allows the application to control the flashlight.",""
"android.permission.FOREGROUND_SERVICE","normal","enables regular apps to use Service.startForeground.","Allows a regular application to use Service.startForeground.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                    com/microsoft/appcenter/channel/DefaultChannel.java                                                                                                                                                                                                    de/audi/onetouch/errorhandling/ErrorTelematics.java                                                                                                                                                                                                    de/audi/onetouch/mobilekey/services/CardletService.java                                                                                                                                                                                                    de/audi/onetouch/mobilekey/services/MobileKeyCardletInstallationService.java                                                                                                                                                                                                    de/audi/onetouch/mobilekey/services/MobileKeyCardletPersonalizationService.java                                                                                                                                                                                                    de/audi/onetouch/mobilekey/services/MobileKeyInstallationService.java                                                                                                                                                                                                    de/audi/onetouch/mobilekey/services/MobileKeyInstallationUpdateService.java                                                                                                                                                                                                    de/audi/onetouch/mobilekey/services/MobileKeyService.java                                                                                                                                                                                                    org/altbeacon/beacon/BeaconManager.java                                                                                                                                                                                                    org/altbeacon/beacon/service/BeaconService.java                                                                                                                                                                                                    technology/cariad/cat/rhmi/manager/RhmiManager.java                                                                                                                                                                                                    technology/cariad/cat/rhmi/service/RhmiService.java"
"android.permission.GET_ACCOUNTS","dangerous","list accounts","Allows access to the list of accounts in the Accounts Service.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    de/audi/onetouch/account/AccountAuthenticator.java                                                                                                                                                                                                    de/audi/onetouch/login/LoginManager.java"
